"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12165","external_page_harvard.html","external-html","0","12481","0.0-0.0","A2OIHB0WTFC3BJ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2145","","image-button-response","1","14636","0.0-1.0","A2OIHB0WTFC3BJ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2014","","image-button-response","2","16667","0.0-2.0-0.0","A2OIHB0WTFC3BJ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"12821","","survey-text","3","29493","0.0-3.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""A2OIHB0WTFC3BJ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6836","","image-button-response_instructions","4","36335","0.0-4.0","A2OIHB0WTFC3BJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15042","","image-button-response_instructions","5","51383","0.0-5.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6255","","image-button-response_instructions","6","57646","0.0-6.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9844","","image-button-response_instructions","7","67496","0.0-7.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"26582","","image-button-response_instructions","8","94084","0.0-8.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4428","","image-button-response_instructions","9","98518","0.0-9.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3812","","image-button-response_instructions","10","102337","0.0-10.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2937","","image-button-response_instructions","11","105280","0.0-11.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7939","","image-button-response_instructions","12","113225","0.0-12.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13277","","image-button-response_instructions","13","126508","0.0-13.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8107","","image-button-response_instructions","14","134621","0.0-14.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6155","","image-button-response_instructions","15","140779","0.0-15.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8403","","image-button-response_instructions","16","149187","0.0-16.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4902","","image-button-response_instructions","17","154093","0.0-17.0","A2OIHB0WTFC3BJ","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2899","","image-button-response_instructions","18","156996","0.0-18.0","A2OIHB0WTFC3BJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6376","","survey-text","19","163466","0.0-19.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13287","","survey-text","20","176759","0.0-20.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""Looks like messy candy""}","","","","","","","","","","","","","","","","","","","","","","",""
"4530","","image-slider-response","21","181300","0.0-21.0","A2OIHB0WTFC3BJ","","","","","-16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","186311","0.0-22.0","A2OIHB0WTFC3BJ","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7019","","image-button-response","23","193333","0.0-23.0","A2OIHB0WTFC3BJ","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3112","","image-button-response","24","196450","0.0-24.0-0.0","A2OIHB0WTFC3BJ","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2669","","image-button-response","25","199126","0.0-25.0-0.0","A2OIHB0WTFC3BJ","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","200634","0.0-26.0","A2OIHB0WTFC3BJ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-16","Looks like messy candy","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Adam","Seems like doodles,-20,20,20","Daniel","It looks like a murder scene.,-48,100,20","0"
"31488","","survey-text","27","232137","0.0-27.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""Looks like a ship on fire""}","","","","","","","","","","","","","","","","","","","","","","",""
"3709","","image-slider-response","28","235850","0.0-28.0","A2OIHB0WTFC3BJ","","","","","-10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","240858","0.0-29.0","A2OIHB0WTFC3BJ","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2002","","image-button-response","30","242863","0.0-30.0","A2OIHB0WTFC3BJ","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2317","","image-button-response","31","245185","0.0-31.0-0.0","A2OIHB0WTFC3BJ","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2870","","image-button-response","32","248060","0.0-32.0-0.0","A2OIHB0WTFC3BJ","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","249064","0.0-33.0","A2OIHB0WTFC3BJ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-10","Looks like a ship on fire","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Ben","meaningless painting,-45,60,20","Kyle","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","0"
"17243","","survey-text","34","266320","0.0-34.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""Seems icey and chilly""}","","","","","","","","","","","","","","","","","","","","","","",""
"3404","","image-slider-response","35","269731","0.0-35.0","A2OIHB0WTFC3BJ","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","274737","0.0-36.0","A2OIHB0WTFC3BJ","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"534","","image-button-response","37","275273","0.0-37.0","A2OIHB0WTFC3BJ","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5115","","image-button-response","38","280394","0.0-38.0-0.0","A2OIHB0WTFC3BJ","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4976","","image-button-response","39","285376","0.0-39.0-0.0","A2OIHB0WTFC3BJ","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","285880","0.0-40.0","A2OIHB0WTFC3BJ","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","21","Seems icey and chilly","Sam,Mike,Ben,James,Ron,Kyle","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","It looks like a playground for bats,-36,180,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","Kyle","It looks like a playground for bats,-36,180,20","0"
"5415","","image-button-response_instructions","41","291309","0.0-41.0","A2OIHB0WTFC3BJ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16837","","survey-likert","42","308151","0.0-42.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4115","","survey-text","43","312279","0.0-43.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"14333","","survey-text","44","326616","0.0-44.0-0.0","A2OIHB0WTFC3BJ","","","","{""Q0"":""Looks like death""}","","","","","","","","","","","","","","","","","","","","","","",""
"3082","","image-slider-response","45","329703","0.0-45.0","A2OIHB0WTFC3BJ","","","","","27","","","","","","","","","","","","","","","","","","","","","",""
"4683","","image-button-response","46","334751","0.0-46.0","A2OIHB0WTFC3BJ","img_art/18.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1438","","image-button-response","47","336192","0.0-47.0","A2OIHB0WTFC3BJ","img_art/18.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2506","","image-button-response","48","338702","0.0-48.0-0.0","A2OIHB0WTFC3BJ","img_art/18.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3475","","image-button-response","49","342181","0.0-49.0-0.0","A2OIHB0WTFC3BJ","img_art/18.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
