"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5320","external_page_harvard.html","external-html","0","5330","0.0-0.0","A2OSK04AGTLY6J","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","1","6853","0.0-1.0","A2OSK04AGTLY6J","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1344","","image-button-response","2","8206","0.0-2.0-0.0","A2OSK04AGTLY6J","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4311","","survey-text","3","12520","0.0-3.0-0.0","A2OSK04AGTLY6J","","","","{""Q0"":""A2OSK04AGTLY6J""}","","","","","","","","","","","","","","","","","","","","","","",""
"2162","","image-button-response_instructions","4","14686","0.0-4.0","A2OSK04AGTLY6J","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21585","","image-button-response_instructions","5","36273","0.0-5.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13607","","image-button-response_instructions","6","49881","0.0-6.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11485","","image-button-response_instructions","7","61369","0.0-7.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18054","","image-button-response_instructions","8","79426","0.0-8.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5384","","image-button-response_instructions","9","84813","0.0-9.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5602","","image-button-response_instructions","10","90417","0.0-10.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3928","","image-button-response_instructions","11","94347","0.0-11.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7211","","image-button-response_instructions","12","101559","0.0-12.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33185","","image-button-response_instructions","13","134746","0.0-13.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"40698","","image-button-response_instructions","14","175446","0.0-14.0","A2OSK04AGTLY6J","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
