"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"26302","external_page_harvard.html","external-html","0","26395","0.0-0.0","A2OU4EI5K6LZ0Z","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2635","","image-button-response","1","29033","0.0-1.0","A2OU4EI5K6LZ0Z","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3284","","image-button-response","2","32329","0.0-2.0-0.0","A2OU4EI5K6LZ0Z","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8312","","survey-text","3","40645","0.0-3.0-0.0","A2OU4EI5K6LZ0Z","","","","{""Q0"":""A2OU4EI5K6LZ0Z""}","","","","","","","","","","","","","","","","","","","","","","",""
"9900","","image-button-response_instructions","4","50549","0.0-4.0","A2OU4EI5K6LZ0Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"45833","","image-button-response_instructions","5","96385","0.0-5.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18349","","image-button-response_instructions","6","114737","0.0-6.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12700","","image-button-response_instructions","7","127438","0.0-7.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9354","","image-button-response_instructions","8","136794","0.0-8.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11697","","image-button-response_instructions","9","148494","0.0-9.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4254","","image-button-response_instructions","10","152749","0.0-10.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3118","","image-button-response_instructions","11","155870","0.0-11.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14653","","image-button-response_instructions","12","170525","0.0-12.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"64550","","image-button-response_instructions","13","235078","0.0-13.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28037","","image-button-response_instructions","14","263117","0.0-14.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8693","","image-button-response_instructions","15","271813","0.0-15.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"106442","","image-button-response_instructions","16","378257","0.0-16.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11954","","image-button-response_instructions","17","390213","0.0-17.0","A2OU4EI5K6LZ0Z","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2990","","image-button-response_instructions","18","393205","0.0-18.0","A2OU4EI5K6LZ0Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10141","","survey-text","19","403384","0.0-19.0-0.0","A2OU4EI5K6LZ0Z","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"71209","","survey-text","20","474597","0.0-20.0-0.0","A2OU4EI5K6LZ0Z","","","","{""Q0"":""Nondescript, and I don't really like the color combination.""}","","","","","","","","","","","","","","","","","","","","","","",""
"20012.299999952316","","image-slider-response","21","494613","0.0-21.0","A2OU4EI5K6LZ0Z","","","","","-18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","499620","0.0-22.0","A2OU4EI5K6LZ0Z","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"21097","","image-button-response","23","520721","0.0-23.0","A2OU4EI5K6LZ0Z","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"22740","","image-button-response","24","543465","0.0-24.0-0.0","A2OU4EI5K6LZ0Z","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"15687","","image-button-response","25","559157","0.0-25.0-0.0","A2OU4EI5K6LZ0Z","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","560664","0.0-26.0","A2OU4EI5K6LZ0Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-18","Nondescript, and I don't really like the color combination.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Jack","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","0"
"84306","","survey-text","27","644984","0.0-27.0-0.0","A2OU4EI5K6LZ0Z","","","","{""Q0"":""I appreciate the texture and like the red colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"17284.900000095367","","image-slider-response","28","662272","0.0-28.0","A2OU4EI5K6LZ0Z","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","667278","0.0-29.0","A2OU4EI5K6LZ0Z","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4106","","image-button-response","30","671388","0.0-30.0","A2OU4EI5K6LZ0Z","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"9573","","image-button-response","31","680964","0.0-31.0-0.0","A2OU4EI5K6LZ0Z","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"30828","","image-button-response","32","711796","0.0-32.0-0.0","A2OU4EI5K6LZ0Z","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","713300","0.0-33.0","A2OU4EI5K6LZ0Z","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","15","I appreciate the texture and like the red colors.","Kyle,John,Ben,James,Daniel,Jack","Idk, it is just annoying,-32,180,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","I would never be able to compose a sophisticated pallete like this,48,120,20","John","love the texture of paint,48,160,20","Jack","I would never be able to compose a sophisticated pallete like this,48,120,20","James","looks too angry,-50,140,20","0"
"26118","","survey-text","34","739432","0.0-34.0-0.0","A2OU4EI5K6LZ0Z","","","","{""Q0"":""I find this relaxing.""}","","","","","","","","","","","","","","","","","","","","","","",""
