"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"41794","external_page_harvard.html","external-html","0","41916","0.0-0.0","A2PQDK3MLDFXYM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2709","","image-button-response","1","44626","0.0-1.0","A2PQDK3MLDFXYM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1556","","image-button-response","2","46186","0.0-2.0-0.0","A2PQDK3MLDFXYM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5023","","survey-text","3","51210","0.0-3.0-0.0","A2PQDK3MLDFXYM","","","","{""Q0"":""A2PQDK3MLDFXYM""}","","","","","","","","","","","","","","","","","","","","","","",""
"7272","","image-button-response_instructions","4","58483","0.0-4.0","A2PQDK3MLDFXYM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12167","","image-button-response_instructions","5","70651","0.0-5.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3239","","image-button-response_instructions","6","73891","0.0-6.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4343","","image-button-response_instructions","7","78235","0.0-7.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6207","","image-button-response_instructions","8","84443","0.0-8.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5871","","image-button-response_instructions","9","90315","0.0-9.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3935","","image-button-response_instructions","10","94251","0.0-10.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2823","","image-button-response_instructions","11","97075","0.0-11.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9799","","image-button-response_instructions","12","106875","0.0-12.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13791","","image-button-response_instructions","13","120666","0.0-13.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6903","","image-button-response_instructions","14","127570","0.0-14.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9327","","image-button-response_instructions","15","136898","0.0-15.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7055","","image-button-response_instructions","16","143954","0.0-16.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10735","","image-button-response_instructions","17","154690","0.0-17.0","A2PQDK3MLDFXYM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2559","","image-button-response_instructions","18","157250","0.0-18.0","A2PQDK3MLDFXYM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6260","","survey-text","19","163530","0.0-19.0-0.0","A2PQDK3MLDFXYM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11607","","survey-text","20","175138","0.0-20.0-0.0","A2PQDK3MLDFXYM","","","","{""Q0"":""I love the soft pink colors.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5014.099999904633","","image-slider-response","21","180153","0.0-21.0","A2PQDK3MLDFXYM","","","","","36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","185168","0.0-22.0","A2PQDK3MLDFXYM","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"16447","","image-button-response","23","201618","0.0-23.0","A2PQDK3MLDFXYM","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1382","","image-button-response","24","203002","0.0-24.0-0.0","A2PQDK3MLDFXYM","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2894","","image-button-response","25","205897","0.0-25.0-0.0","A2PQDK3MLDFXYM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","207406","0.0-26.0","A2PQDK3MLDFXYM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","36","I love the soft pink colors.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"12737","","survey-text","27","220153","0.0-27.0-0.0","A2PQDK3MLDFXYM","","","","{""Q0"":""The red in this really stands out to me.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2902.7000000476837","","image-slider-response","28","223057","0.0-28.0","A2PQDK3MLDFXYM","","","","","21","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","228062","0.0-29.0","A2PQDK3MLDFXYM","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5369","","image-button-response","30","233434","0.0-30.0","A2PQDK3MLDFXYM","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3070","","image-button-response","31","236505","0.0-31.0-0.0","A2PQDK3MLDFXYM","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1878","","image-button-response","32","238386","0.0-32.0-0.0","A2PQDK3MLDFXYM","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","238888","0.0-33.0","A2PQDK3MLDFXYM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","21","The red in this really stands out to me.","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"14056","","survey-text","34","252953","0.0-34.0-0.0","A2PQDK3MLDFXYM","","","","{""Q0"":""This reminds me of snow and the cold. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"3846.4000000953674","","image-slider-response","35","256801","0.0-35.0","A2PQDK3MLDFXYM","","","","","33","","","","","","","","","","","","","","","","","","","","","",""
"3983","","image-button-response","36","261808","0.0-36.0","A2PQDK3MLDFXYM","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1623","","image-button-response","37","263434","0.0-37.0","A2PQDK3MLDFXYM","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"455","","image-button-response","38","263889","0.0-38.0-0.0","A2PQDK3MLDFXYM","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5894","","image-button-response","39","269785","0.0-39.0-0.0","A2PQDK3MLDFXYM","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
