"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15490","external_page_harvard.html","external-html","0","15573","0.0-0.0","A2QOB4FDI8ZHOB","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2174","","image-button-response","1","17749","0.0-1.0","A2QOB4FDI8ZHOB","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2352","","image-button-response","2","20106","0.0-2.0-0.0","A2QOB4FDI8ZHOB","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4712","","survey-text","3","24819","0.0-3.0-0.0","A2QOB4FDI8ZHOB","","","","{""Q0"":""A2QOB4FDI8ZHOB""}","","","","","","","","","","","","","","","","","","","","","","",""
"13000","","image-button-response_instructions","4","37822","0.0-4.0","A2QOB4FDI8ZHOB","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"35822","","image-button-response_instructions","5","73645","0.0-5.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13276","","image-button-response_instructions","6","86922","0.0-6.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5755","","image-button-response_instructions","7","92678","0.0-7.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19657","","image-button-response_instructions","8","112336","0.0-8.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7765","","image-button-response_instructions","9","120102","0.0-9.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4220","","image-button-response_instructions","10","124324","0.0-10.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2125","","image-button-response_instructions","11","126449","0.0-11.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5471","","image-button-response_instructions","12","131922","0.0-12.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23059","","image-button-response_instructions","13","154982","0.0-13.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14830","","image-button-response_instructions","14","169812","0.0-14.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6568","","image-button-response_instructions","15","176381","0.0-15.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12208","","image-button-response_instructions","16","188591","0.0-16.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8170","","image-button-response_instructions","17","196762","0.0-17.0","A2QOB4FDI8ZHOB","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
