"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"14975","external_page_harvard.html","external-html","0","15089","0.0-0.0","A2R9OK4M877ZCC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1068","","image-button-response","1","16162","0.0-1.0","A2R9OK4M877ZCC","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1417","","image-button-response","2","17593","0.0-2.0-0.0","A2R9OK4M877ZCC","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9517","","survey-text","3","27115","0.0-3.0-0.0","A2R9OK4M877ZCC","","","","{""Q0"":""A2R9OK4M877ZCC""}","","","","","","","","","","","","","","","","","","","","","","",""
"795175","","image-button-response_instructions","4","822295","0.0-4.0","A2R9OK4M877ZCC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4955","","image-button-response_instructions","5","827252","0.0-5.0","A2R9OK4M877ZCC","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"71509","","image-button-response_instructions","6","898763","0.0-6.0","A2R9OK4M877ZCC","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14742","","image-button-response_instructions","7","913507","0.0-7.0","A2R9OK4M877ZCC","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8710","","image-button-response_instructions","8","922219","0.0-8.0","A2R9OK4M877ZCC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3227","","image-button-response_instructions","9","925449","0.0-9.0","A2R9OK4M877ZCC","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
