"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"120384","external_page_harvard.html","external-html","0","120487","0.0-0.0","A2RBVMD2HTBCZ9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1292","","image-button-response","1","121783","0.0-1.0","A2RBVMD2HTBCZ9","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1363","","image-button-response","2","123152","0.0-2.0-0.0","A2RBVMD2HTBCZ9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5037","","survey-text","3","128191","0.0-3.0-0.0","A2RBVMD2HTBCZ9","","","","{""Q0"":""A2RBVMD2HTBCZ9""}","","","","","","","","","","","","","","","","","","","","","","",""
"6910","","image-button-response_instructions","4","135103","0.0-4.0","A2RBVMD2HTBCZ9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12064","","image-button-response_instructions","5","147168","0.0-5.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4615","","image-button-response_instructions","6","151785","0.0-6.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3414","","image-button-response_instructions","7","155201","0.0-7.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6008","","image-button-response_instructions","8","161211","0.0-8.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3022","","image-button-response_instructions","9","164234","0.0-9.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4303","","image-button-response_instructions","10","168539","0.0-10.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2630","","image-button-response_instructions","11","171170","0.0-11.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5422","","image-button-response_instructions","12","176594","0.0-12.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12640","","image-button-response_instructions","13","189236","0.0-13.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5375","","image-button-response_instructions","14","194612","0.0-14.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4623","","image-button-response_instructions","15","199236","0.0-15.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15415","","image-button-response_instructions","16","214653","0.0-16.0","A2RBVMD2HTBCZ9","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
