"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"14443","external_page_harvard.html","external-html","0","14545","0.0-0.0","A2RMQJTHVSI59R","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1657","","image-button-response","1","16203","0.0-1.0","A2RMQJTHVSI59R","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2175","","image-button-response","2","18382","0.0-2.0-0.0","A2RMQJTHVSI59R","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"15565","","survey-text","3","33948","0.0-3.0-0.0","A2RMQJTHVSI59R","","","","{""Q0"":""A2RMQJTHVSI59R""}","","","","","","","","","","","","","","","","","","","","","","",""
"8703","","image-button-response_instructions","4","42652","0.0-4.0","A2RMQJTHVSI59R","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22868","","image-button-response_instructions","5","65521","0.0-5.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7750","","image-button-response_instructions","6","73272","0.0-6.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6214","","image-button-response_instructions","7","79486","0.0-7.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7740","","image-button-response_instructions","8","87227","0.0-8.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5158","","image-button-response_instructions","9","92386","0.0-9.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5658","","image-button-response_instructions","10","98044","0.0-10.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2940","","image-button-response_instructions","11","100984","0.0-11.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8490","","image-button-response_instructions","12","109475","0.0-12.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11419","","image-button-response_instructions","13","120895","0.0-13.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10293","","image-button-response_instructions","14","131189","0.0-14.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5085","","image-button-response_instructions","15","136275","0.0-15.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11491","","image-button-response_instructions","16","147767","0.0-16.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5205","","image-button-response_instructions","17","152972","0.0-17.0","A2RMQJTHVSI59R","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3847","","image-button-response_instructions","18","156820","0.0-18.0","A2RMQJTHVSI59R","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10864","","survey-text","19","167704","0.0-19.0-0.0","A2RMQJTHVSI59R","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13623","","survey-text","20","181328","0.0-20.0-0.0","A2RMQJTHVSI59R","","","","{""Q0"":""A peaceful feeling.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6883","","image-slider-response","21","188213","0.0-21.0","A2RMQJTHVSI59R","","","","","29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","193216","0.0-22.0","A2RMQJTHVSI59R","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9762","","image-button-response","23","202979","0.0-23.0","A2RMQJTHVSI59R","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3727","","image-button-response","24","206707","0.0-24.0-0.0","A2RMQJTHVSI59R","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"8567","","image-button-response","25","215276","0.0-25.0-0.0","A2RMQJTHVSI59R","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","216279","0.0-26.0","A2RMQJTHVSI59R","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","29","A peaceful feeling.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"22845","","survey-text","27","239130","0.0-27.0-0.0","A2RMQJTHVSI59R","","","","{""Q0"":""Love the saturated colors but I don't see any real meaning in this piece.""}","","","","","","","","","","","","","","","","","","","","","","",""
