"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"44977","external_page_harvard.html","external-html","0","45079","0.0-0.0","A2SXOQZNH7UCC5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2084","","image-button-response","1","47166","0.0-1.0","A2SXOQZNH7UCC5","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2682","","image-button-response","2","49856","0.0-2.0-0.0","A2SXOQZNH7UCC5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7623","","survey-text","3","57495","0.0-3.0-0.0","A2SXOQZNH7UCC5","","","","{""Q0"":""A2SXOQZNH7UCC5""}","","","","","","","","","","","","","","","","","","","","","","",""
"6081","","image-button-response_instructions","4","63585","0.0-4.0","A2SXOQZNH7UCC5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15066","","image-button-response_instructions","5","78654","0.0-5.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5787","","image-button-response_instructions","6","84444","0.0-6.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7958","","image-button-response_instructions","7","92404","0.0-7.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28377","","image-button-response_instructions","8","120783","0.0-8.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4040","","image-button-response_instructions","9","124825","0.0-9.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4127","","image-button-response_instructions","10","128955","0.0-10.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4024","","image-button-response_instructions","11","132982","0.0-11.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4339","","image-button-response_instructions","12","137325","0.0-12.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21764","","image-button-response_instructions","13","159092","0.0-13.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"338","","image-button-response_instructions","14","159432","0.0-14.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6029","","image-button-response_instructions","15","165463","0.0-15.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11906","","image-button-response_instructions","16","177372","0.0-16.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4226","","image-button-response_instructions","17","181601","0.0-17.0","A2SXOQZNH7UCC5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1235","","image-button-response_instructions","18","182839","0.0-18.0","A2SXOQZNH7UCC5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7086","","survey-text","19","189961","0.0-19.0-0.0","A2SXOQZNH7UCC5","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10300","","survey-text","20","200266","0.0-20.0-0.0","A2SXOQZNH7UCC5","","","","{""Q0"":""very messy and cluttered""}","","","","","","","","","","","","","","","","","","","","","","",""
"7778.299999999814","","image-slider-response","21","208051","0.0-21.0","A2SXOQZNH7UCC5","","","","","-28","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","213061","0.0-22.0","A2SXOQZNH7UCC5","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"217","","image-button-response","23","213285","0.0-23.0","A2SXOQZNH7UCC5","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4131","","image-button-response","24","217422","0.0-24.0-0.0","A2SXOQZNH7UCC5","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6517","","image-button-response","25","223949","0.0-25.0-0.0","A2SXOQZNH7UCC5","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","224956","0.0-26.0","A2SXOQZNH7UCC5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-28","very messy and cluttered","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Beth","This color reminds me of poo,-46,60,20","0"
"13006","","survey-text","27","237975","0.0-27.0-0.0","A2SXOQZNH7UCC5","","","","{""Q0"":""love the texture of this piece""}","","","","","","","","","","","","","","","","","","","","","","",""
"4304.100000000559","","image-slider-response","28","242284","0.0-28.0","A2SXOQZNH7UCC5","","","","","41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","247294","0.0-29.0","A2SXOQZNH7UCC5","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2567","","image-button-response","30","249867","0.0-30.0","A2SXOQZNH7UCC5","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"8952","","image-button-response","31","258824","0.0-31.0-0.0","A2SXOQZNH7UCC5","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5481","","image-button-response","32","264312","0.0-32.0-0.0","A2SXOQZNH7UCC5","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","265320","0.0-33.0","A2SXOQZNH7UCC5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","41","love the texture of this piece","Allison,Katie,Beth,Jenna,Kara,Jen","I don't have strong feelings about this,10,20,20","too much color!,-28,180,20","meaningless painting,-45,60,20","One of my pet peevs,-48,140,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Allison","I don't have strong feelings about this,10,20,20","0"
"21018","","survey-text","34","286350","0.0-34.0-0.0","A2SXOQZNH7UCC5","","","","{""Q0"":""the chilled colors make me feel cold yet happy""}","","","","","","","","","","","","","","","","","","","","","","",""
"4043.7999999998137","","image-slider-response","35","290400","0.0-35.0","A2SXOQZNH7UCC5","","","","","34","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","295410","0.0-36.0","A2SXOQZNH7UCC5","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"549","","image-button-response","37","295970","0.0-37.0","A2SXOQZNH7UCC5","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2277","","image-button-response","38","298253","0.0-38.0-0.0","A2SXOQZNH7UCC5","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6578","","image-button-response","39","304836","0.0-39.0-0.0","A2SXOQZNH7UCC5","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","305342","0.0-40.0","A2SXOQZNH7UCC5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","34","the chilled colors make me feel cold yet happy","Allison,Rose,Mary,Leslie,Kara,Jen","enjoy the different shades of blue,22,20,20","My daily routine, it's depressing,-20,240,20","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","calming blue is very nice,36,160,20","I can feel a rainy day from this painting,18,120,20","Kara","calming blue is very nice,36,160,20","Jen","I can feel a rainy day from this painting,18,120,20","Allison","enjoy the different shades of blue,22,20,20","0"
"5238","","image-button-response_instructions","41","310592","0.0-41.0","A2SXOQZNH7UCC5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15882","","survey-likert","42","326480","0.0-42.0-0.0","A2SXOQZNH7UCC5","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
