"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8971","external_page_harvard.html","external-html","0","9346","0.0-0.0","A2T6PX7CHWLQAS","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7347","","image-button-response","1","16696","0.0-1.0","A2T6PX7CHWLQAS","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1911","","image-button-response","2","18615","0.0-2.0-0.0","A2T6PX7CHWLQAS","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7014","","survey-text","3","25631","0.0-3.0-0.0","A2T6PX7CHWLQAS","","","","{""Q0"":""A2T6PX7CHWLQAS""}","","","","","","","","","","","","","","","","","","","","","","",""
"11853","","image-button-response_instructions","4","37487","0.0-4.0","A2T6PX7CHWLQAS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15078","","image-button-response_instructions","5","52568","0.0-5.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"27782","","image-button-response_instructions","6","80351","0.0-6.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4335","","image-button-response_instructions","7","84687","0.0-7.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4567","","image-button-response_instructions","8","89255","0.0-8.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3726","","image-button-response_instructions","9","92983","0.0-9.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13767","","image-button-response_instructions","10","106751","0.0-10.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2879","","image-button-response_instructions","11","109630","0.0-11.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4743","","image-button-response_instructions","12","114375","0.0-12.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16447","","image-button-response_instructions","13","130823","0.0-13.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7277","","image-button-response_instructions","14","138102","0.0-14.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2751","","image-button-response_instructions","15","140854","0.0-15.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25278","","image-button-response_instructions","16","166134","0.0-16.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6431","","image-button-response_instructions","17","172566","0.0-17.0","A2T6PX7CHWLQAS","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2047","","image-button-response_instructions","18","174614","0.0-18.0","A2T6PX7CHWLQAS","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5155","","survey-text","19","179806","0.0-19.0-0.0","A2T6PX7CHWLQAS","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19254","","survey-text","20","199062","0.0-20.0-0.0","A2T6PX7CHWLQAS","","","","{""Q0"":""No real cohesion, but oddly comforting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5157.439999980852","","image-slider-response","21","204222","0.0-21.0","A2T6PX7CHWLQAS","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","209226","0.0-22.0","A2T6PX7CHWLQAS","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"346","","image-button-response","23","209574","0.0-23.0","A2T6PX7CHWLQAS","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3093","","image-button-response","24","212670","0.0-24.0-0.0","A2T6PX7CHWLQAS","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
