"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13156","external_page_harvard.html","external-html","0","13238","0.0-0.0","A2V3TUCFVUAKOM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2039","","image-button-response","1","15279","0.0-1.0","A2V3TUCFVUAKOM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4569","","image-button-response","2","19855","0.0-2.0-0.0","A2V3TUCFVUAKOM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"11616","","survey-text","3","31472","0.0-3.0-0.0","A2V3TUCFVUAKOM","","","","{""Q0"":""A2V3TUCFVUAKOM""}","","","","","","","","","","","","","","","","","","","","","","",""
"9565","","image-button-response_instructions","4","41039","0.0-4.0","A2V3TUCFVUAKOM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21","","image-button-response_instructions","5","41062","0.0-5.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9556","","image-button-response_instructions","6","50619","0.0-6.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16132","","image-button-response_instructions","7","66753","0.0-7.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8093","","image-button-response_instructions","8","74848","0.0-8.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7961","","image-button-response_instructions","9","82811","0.0-9.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4595","","image-button-response_instructions","10","87407","0.0-10.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8082","","image-button-response_instructions","11","95490","0.0-11.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15317","","image-button-response_instructions","12","110809","0.0-12.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17492","","image-button-response_instructions","13","128303","0.0-13.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15230","","image-button-response_instructions","14","143534","0.0-14.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8556","","image-button-response_instructions","15","152093","0.0-15.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14659","","image-button-response_instructions","16","166753","0.0-16.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8123","","image-button-response_instructions","17","174876","0.0-17.0","A2V3TUCFVUAKOM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2420","","image-button-response_instructions","18","177298","0.0-18.0","A2V3TUCFVUAKOM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8673","","survey-text","19","185997","0.0-19.0-0.0","A2V3TUCFVUAKOM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"28160","","survey-text","20","214162","0.0-20.0-0.0","A2V3TUCFVUAKOM","","","","{""Q0"":""The colors are soothing. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"6270.399999976158","","image-slider-response","21","220436","0.0-21.0","A2V3TUCFVUAKOM","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","225441","0.0-22.0","A2V3TUCFVUAKOM","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"16393","","image-button-response","23","241837","0.0-23.0","A2V3TUCFVUAKOM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"10418","","image-button-response","24","252258","0.0-24.0-0.0","A2V3TUCFVUAKOM","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3642","","image-button-response","25","255902","0.0-25.0-0.0","A2V3TUCFVUAKOM","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
