"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"11001","external_page_harvard.html","external-html","0","11110","0.0-0.0","A2V66KLFVJTLKC","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1903","","image-button-response","1","13024","0.0-1.0","A2V66KLFVJTLKC","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6148","","image-button-response","2","19214","0.0-2.0-0.0","A2V66KLFVJTLKC","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"11416","","survey-text","3","30641","0.0-3.0-0.0","A2V66KLFVJTLKC","","","","{""Q0"":""A2V66KLFVJTLKC""}","","","","","","","","","","","","","","","","","","","","","","",""
"17034","","image-button-response_instructions","4","47691","0.0-4.0","A2V66KLFVJTLKC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33474","","image-button-response_instructions","5","81175","0.0-5.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8022","","image-button-response_instructions","6","89206","0.0-6.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3998","","image-button-response_instructions","7","93211","0.0-7.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28613","","image-button-response_instructions","8","121831","0.0-8.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3446","","image-button-response_instructions","9","125285","0.0-9.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4330","","image-button-response_instructions","10","129621","0.0-10.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4401","","image-button-response_instructions","11","134029","0.0-11.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9016","","image-button-response_instructions","12","143051","0.0-12.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18119","","image-button-response_instructions","13","161180","0.0-13.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11581","","image-button-response_instructions","14","172767","0.0-14.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5391","","image-button-response_instructions","15","178164","0.0-15.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18322","","image-button-response_instructions","16","196493","0.0-16.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7455","","image-button-response_instructions","17","203955","0.0-17.0","A2V66KLFVJTLKC","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2918","","image-button-response_instructions","18","206881","0.0-18.0","A2V66KLFVJTLKC","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7743","","survey-text","19","214710","0.0-19.0-0.0","A2V66KLFVJTLKC","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16785","","survey-text","20","231506","0.0-20.0-0.0","A2V66KLFVJTLKC","","","","{""Q0"":""i don't call that art""}","","","","","","","","","","","","","","","","","","","","","","",""
"5913.300000000745","","image-slider-response","21","237434","0.0-21.0","A2V66KLFVJTLKC","","","","","-47","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","242454","0.0-22.0","A2V66KLFVJTLKC","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7286","","image-button-response","23","249753","0.0-23.0","A2V66KLFVJTLKC","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4232","","image-button-response","24","253999","0.0-24.0-0.0","A2V66KLFVJTLKC","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1618","","image-button-response","25","255633","0.0-25.0-0.0","A2V66KLFVJTLKC","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","256144","0.0-26.0","A2V66KLFVJTLKC","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-47","i don't call that art","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Beth","This color reminds me of poo,-46,60,20","0"
"19111","","survey-text","27","275276","0.0-27.0-0.0","A2V66KLFVJTLKC","","","","{""Q0"":""reminds me of a painting i have""}","","","","","","","","","","","","","","","","","","","","","","",""
"4909.5","","image-slider-response","28","280194","0.0-28.0","A2V66KLFVJTLKC","","","","","40","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","285210","0.0-29.0","A2V66KLFVJTLKC","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"12538","","image-button-response","30","297759","0.0-30.0","A2V66KLFVJTLKC","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"5266","","image-button-response","31","303039","0.0-31.0-0.0","A2V66KLFVJTLKC","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1878","","image-button-response","32","304932","0.0-32.0-0.0","A2V66KLFVJTLKC","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","306441","0.0-33.0","A2V66KLFVJTLKC","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","40","reminds me of a painting i have","Jenna,Ashley,Beth,Dora,Kara,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Dora","looks too angry,-50,80,20","Kara","I like the blocks of color arrangements,30,160,20","Beth","meaningless painting,-45,60,20","0"
"10433","","survey-text","34","316894","0.0-34.0-0.0","A2V66KLFVJTLKC","","","","{""Q0"":""too much blue""}","","","","","","","","","","","","","","","","","","","","","","",""
"4887.10000000149","","image-slider-response","35","321791","0.0-35.0","A2V66KLFVJTLKC","","","","","-9","","","","","","","","","","","","","","","","","","","","","",""
"3869","","image-button-response","36","326806","0.0-36.0","A2V66KLFVJTLKC","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
