"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5471","external_page_harvard.html","external-html","0","5560","0.0-0.0","A2WNW8A4MOR7T7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1987","","image-button-response","1","7550","0.0-1.0","A2WNW8A4MOR7T7","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"45222","","image-button-response","2","52781","0.0-2.0-0.0","A2WNW8A4MOR7T7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7110","","survey-text","3","59893","0.0-3.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""A2WNW8A4MOR7T7""}","","","","","","","","","","","","","","","","","","","","","","",""
"17301","","image-button-response_instructions","4","77197","0.0-4.0","A2WNW8A4MOR7T7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"101054","","image-button-response_instructions","5","178253","0.0-5.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6023","","image-button-response_instructions","6","184278","0.0-6.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6262","","image-button-response_instructions","7","190541","0.0-7.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9837","","image-button-response_instructions","8","200381","0.0-8.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5462","","image-button-response_instructions","9","205845","0.0-9.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5399","","image-button-response_instructions","10","211245","0.0-10.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2453","","image-button-response_instructions","11","213701","0.0-11.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8109","","image-button-response_instructions","12","221813","0.0-12.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16397","","image-button-response_instructions","13","238213","0.0-13.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5365","","image-button-response_instructions","14","243581","0.0-14.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7189","","image-button-response_instructions","15","250773","0.0-15.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7974","","image-button-response_instructions","16","258749","0.0-16.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4630","","image-button-response_instructions","17","263381","0.0-17.0","A2WNW8A4MOR7T7","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2439","","image-button-response_instructions","18","265821","0.0-18.0","A2WNW8A4MOR7T7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12416","","survey-text","19","278269","0.0-19.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16557","","survey-text","20","294829","0.0-20.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""mixed up and confusing""}","","","","","","","","","","","","","","","","","","","","","","",""
"4132.600000023842","","image-slider-response","21","298965","0.0-21.0","A2WNW8A4MOR7T7","","","","","8","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","303970","0.0-22.0","A2WNW8A4MOR7T7","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"600","","image-button-response","23","304573","0.0-23.0","A2WNW8A4MOR7T7","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021","","image-button-response","24","306597","0.0-24.0-0.0","A2WNW8A4MOR7T7","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2428","","image-button-response","25","309029","0.0-25.0-0.0","A2WNW8A4MOR7T7","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","310539","0.0-26.0","A2WNW8A4MOR7T7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","8","mixed up and confusing","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Jack","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","0"
"18028","","survey-text","27","328573","0.0-27.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""looks bloody and depressing""}","","","","","","","","","","","","","","","","","","","","","","",""
"5141.199999988079","","image-slider-response","28","333716","0.0-28.0","A2WNW8A4MOR7T7","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"2358","","image-button-response","29","338720","0.0-29.0","A2WNW8A4MOR7T7","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7186","","image-button-response","30","345909","0.0-30.0","A2WNW8A4MOR7T7","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2109","","image-button-response","31","348021","0.0-31.0-0.0","A2WNW8A4MOR7T7","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2381","","image-button-response","32","350405","0.0-32.0-0.0","A2WNW8A4MOR7T7","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","351916","0.0-33.0","A2WNW8A4MOR7T7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","12","looks bloody and depressing","James,Alex,Kyle,Carl,John,Jack","looks too angry,-50,140,20","I like the blocks of color arrangements,30,40,20","Idk, it is just annoying,-32,180,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","I would never be able to compose a sophisticated pallete like this,48,120,20","Alex","I like the blocks of color arrangements,30,40,20","Carl","I can feel the artist's passion in it,45,80,20","John","love the texture of paint,48,160,20","0"
"20971","","survey-text","34","372894","0.0-34.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""simple calming feel relaxed""}","","","","","","","","","","","","","","","","","","","","","","",""
"2972.699999988079","","image-slider-response","35","375869","0.0-35.0","A2WNW8A4MOR7T7","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"1661","","image-button-response","36","380880","0.0-36.0","A2WNW8A4MOR7T7","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3395","","image-button-response","37","384278","0.0-37.0","A2WNW8A4MOR7T7","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2860","","image-button-response","38","387141","0.0-38.0-0.0","A2WNW8A4MOR7T7","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1532","","image-button-response","39","388678","0.0-39.0-0.0","A2WNW8A4MOR7T7","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","389685","0.0-40.0","A2WNW8A4MOR7T7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","22","simple calming feel relaxed","Mike,Alex,Ron,Carl,John,Sam","enjoy the different shades of blue,22,200,20","calming blue is very nice,36,40,20","It looks depressing,-26,220,20","It's an alright work,15,80,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","Alex","calming blue is very nice,36,40,20","John","I like the overlapping of brushes,41,160,20","Sam","I can feel a rainy day from this painting,18,240,20","0"
"5810","","image-button-response_instructions","41","395501","0.0-41.0","A2WNW8A4MOR7T7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17678","","survey-likert","42","413181","0.0-42.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"6647","","survey-text","43","419836","0.0-43.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"26038","","survey-text","44","445877","0.0-44.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""mixed up and confused not appealing""}","","","","","","","","","","","","","","","","","","","","","","",""
"3508.2000000476837","","image-slider-response","45","449388","0.0-45.0","A2WNW8A4MOR7T7","","","","","-15","","","","","","","","","","","","","","","","","","","","","",""
"4164","","image-button-response","46","454432","0.0-46.0","A2WNW8A4MOR7T7","img_art/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1793","","image-button-response","47","456228","0.0-47.0","A2WNW8A4MOR7T7","img_art/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2181","","image-button-response","48","458412","0.0-48.0-0.0","A2WNW8A4MOR7T7","img_art/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2486","","image-button-response","49","464204","0.0-48.1-0.1","A2WNW8A4MOR7T7","img_art/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"4500","","image-button-response","50","468709","0.0-49.0-0.0","A2WNW8A4MOR7T7","img_art/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","469713","0.0-50.0","A2WNW8A4MOR7T7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/3.jpg","-15","mixed up and confused not appealing","Evan,Vincent,Joseph,Eric,Aaron,Mitchell","It feels like a half assed and failed imitation of Japanese signatures on old paintings,-22,140,20","Iike this one it's a piece that I need to spend more time with to understand how i feel about it,20,360,20","Really have no idea what I'm looking at.,1,220,20","This piece makes me think it has a backstory or a reason which I like.,5,100,20","Definition of mediocre abstract art,-12,20,20","Anger, like something a serial killer may paint.,-30,180,20","Evan","It feels like a half assed and failed imitation of Japanese signatures on old paintings,-22,140,20","Mitchell","Anger, like something a serial killer may paint.,-30,180,20","Aaron","Definition of mediocre abstract art,-12,20,20","2"
"18774","","survey-text","52","488493","0.0-51.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""kinda weird dull colors just not me""}","","","","","","","","","","","","","","","","","","","","","","",""
"2212.300000011921","","image-slider-response","53","490708","0.0-52.0","A2WNW8A4MOR7T7","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","495715","0.0-53.0","A2WNW8A4MOR7T7","img_art/27.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1400","","image-button-response","55","497117","0.0-54.0","A2WNW8A4MOR7T7","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2846","","image-button-response","56","499965","0.0-55.0-0.0","A2WNW8A4MOR7T7","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3237","","image-button-response","57","503205","0.0-56.0-0.0","A2WNW8A4MOR7T7","img_art/27.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","503717","0.0-57.0","A2WNW8A4MOR7T7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/27.jpg","-32","kinda weird dull colors just not me","Evan,Richard,Ian,Mason,Aaron,Mitchell","I am bothered by the green doodles,-20,140,20","like the patterns and colors all but the orange blob on the right,32,340,20","I'm not a fan. It looks like something my nephews (1 and 2) would make,-8,260,20","dont like it, don't hate it, meh.,2,100,20","It looks like when my little sister took magic markers to the wall.,-11,20,20","Angelic, childlike. happiness but also with sadness.,40,180,20","Evan","I am bothered by the green doodles,-20,140,20","Ian","I'm not a fan. It looks like something my nephews (1 and 2) would make,-8,260,20","Aaron","It looks like when my little sister took magic markers to the wall.,-11,20,20","2"
"19369","","survey-text","59","523093","0.0-58.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""dreamy reminds me of a dream ""}","","","","","","","","","","","","","","","","","","","","","","",""
"1924.800000011921","","image-slider-response","60","525020","0.0-59.0","A2WNW8A4MOR7T7","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","61","530023","0.0-60.0","A2WNW8A4MOR7T7","img_art/10.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"515","","image-button-response","62","530541","0.0-61.0","A2WNW8A4MOR7T7","img_art/10.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2652","","image-button-response","63","533197","0.0-62.0-0.0","A2WNW8A4MOR7T7","img_art/10.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2789","","image-button-response","64","535989","0.0-63.0-0.0","A2WNW8A4MOR7T7","img_art/10.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","536493","0.0-64.0","A2WNW8A4MOR7T7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","3","img_art/10.jpg","13","dreamy reminds me of a dream ","Evan,Noah,Ian,Mark,Aaron,Seth","My immediate thought is WTF is this,-20,140,20","not sure what to make of this one,0,260,20","It reminds me of how my dog has to run all over the place just to poop in one specific location.,-20,260,20","Kraken, and I love it.,39,80,20","I like how simple but intricate it is.,30,20,20","It reminds me of the ocean. Almost like a battlefield, but on the water.,19,60,20","Mark","Kraken, and I love it.,39,80,20","Seth","It reminds me of the ocean. Almost like a battlefield, but on the water.,19,60,20","Noah","not sure what to make of this one,0,260,20","2"
"24195","","survey-text","66","560693","0.0-65.0-0.0","A2WNW8A4MOR7T7","","","","{""Q0"":""just stupid looks like a crow on a deers back""}","","","","","","","","","","","","","","","","","","","","","","",""
"3565","","image-slider-response","67","564260","0.0-66.0","A2WNW8A4MOR7T7","","","","","-26","","","","","","","","","","","","","","","","","","","","","",""
"2629","","image-button-response","68","569268","0.0-67.0","A2WNW8A4MOR7T7","img_art/6.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1637","","image-button-response","69","570909","0.0-68.0","A2WNW8A4MOR7T7","img_art/6.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3205","","image-button-response","70","574117","0.0-69.0-0.0","A2WNW8A4MOR7T7","img_art/6.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2613","","image-button-response","71","576732","0.0-70.0-0.0","A2WNW8A4MOR7T7","img_art/6.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
