"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4609","external_page_harvard.html","external-html","0","4614","0.0-0.0","A2X823PACMMOKP","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2493","","image-button-response","1","7109","0.0-1.0","A2X823PACMMOKP","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1636","","image-button-response","2","8748","0.0-2.0-0.0","A2X823PACMMOKP","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3335","","survey-text","3","12084","0.0-3.0-0.0","A2X823PACMMOKP","","","","{""Q0"":""A2X823PACMMOKP""}","","","","","","","","","","","","","","","","","","","","","","",""
"2374","","image-button-response_instructions","4","14460","0.0-4.0","A2X823PACMMOKP","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3631","","image-button-response_instructions","5","18092","0.0-5.0","A2X823PACMMOKP","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4407","","image-button-response_instructions","6","22500","0.0-6.0","A2X823PACMMOKP","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14247","","image-button-response_instructions","7","36748","0.0-7.0","A2X823PACMMOKP","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"33526","","image-button-response_instructions","8","70275","0.0-8.0","A2X823PACMMOKP","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9055","","image-button-response_instructions","9","79331","0.0-9.0","A2X823PACMMOKP","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3943","","image-button-response_instructions","10","83276","0.0-10.0","A2X823PACMMOKP","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3175","","image-button-response_instructions","11","86451","0.0-11.0","A2X823PACMMOKP","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4662","","image-button-response_instructions","12","91115","0.0-12.0","A2X823PACMMOKP","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
