"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8206","external_page_harvard.html","external-html","0","8366","0.0-0.0","A2XS2OFYZKF9UW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1520","","image-button-response","1","9891","0.0-1.0","A2XS2OFYZKF9UW","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2096","","image-button-response","2","12006","0.0-2.0-0.0","A2XS2OFYZKF9UW","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2704","","survey-text","3","14714","0.0-3.0-0.0","A2XS2OFYZKF9UW","","","","{""Q0"":""A2XS2OFYZKF9UW""}","","","","","","","","","","","","","","","","","","","","","","",""
"2926","","image-button-response_instructions","4","17648","0.0-4.0","A2XS2OFYZKF9UW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7616","","image-button-response_instructions","5","25266","0.0-5.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2960","","image-button-response_instructions","6","28230","0.0-6.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4565","","image-button-response_instructions","7","32800","0.0-7.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5164","","image-button-response_instructions","8","37969","0.0-8.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2208","","image-button-response_instructions","9","40180","0.0-9.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2191","","image-button-response_instructions","10","42375","0.0-10.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1264","","image-button-response_instructions","11","43642","0.0-11.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6105","","image-button-response_instructions","12","49750","0.0-12.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11346","","image-button-response_instructions","13","61099","0.0-13.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6520","","image-button-response_instructions","14","67621","0.0-14.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3435","","image-button-response_instructions","15","71059","0.0-15.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6698","","image-button-response_instructions","16","77759","0.0-16.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4228","","image-button-response_instructions","17","81989","0.0-17.0","A2XS2OFYZKF9UW","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1608","","image-button-response_instructions","18","83600","0.0-18.0","A2XS2OFYZKF9UW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4523","","survey-text","19","88175","0.0-19.0-0.0","A2XS2OFYZKF9UW","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"20692","","survey-text","20","108870","0.0-20.0-0.0","A2XS2OFYZKF9UW","","","","{""Q0"":""Looks like paint got spilled on canvas""}","","","","","","","","","","","","","","","","","","","","","","",""
"5014.5","","image-slider-response","21","113893","0.0-21.0","A2XS2OFYZKF9UW","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
