"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"27708","external_page_harvard.html","external-html","0","27766","0.0-0.0","A2Y08M7NDYFO56","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1883","","image-button-response","1","29654","0.0-1.0","A2Y08M7NDYFO56","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1652","","image-button-response","2","31312","0.0-2.0-0.0","A2Y08M7NDYFO56","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9844","","survey-text","3","41158","0.0-3.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""A2Y08M7NDYFO56""}","","","","","","","","","","","","","","","","","","","","","","",""
"3876","","image-button-response_instructions","4","45036","0.0-4.0","A2Y08M7NDYFO56","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19565","","image-button-response_instructions","5","64603","0.0-5.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12026","","image-button-response_instructions","6","76631","0.0-6.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8575","","image-button-response_instructions","7","85207","0.0-7.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6788","","image-button-response_instructions","8","91996","0.0-8.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3369","","image-button-response_instructions","9","95367","0.0-9.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6210","","image-button-response_instructions","10","101577","0.0-10.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4066","","image-button-response_instructions","11","105644","0.0-11.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6395","","image-button-response_instructions","12","112040","0.0-12.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"48903","","image-button-response_instructions","13","160944","0.0-13.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"36688","","image-button-response_instructions","14","197634","0.0-14.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6316","","image-button-response_instructions","15","203951","0.0-15.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8994","","image-button-response_instructions","16","212947","0.0-16.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3484","","image-button-response_instructions","17","216433","0.0-17.0","A2Y08M7NDYFO56","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3933","","image-button-response_instructions","18","220366","0.0-18.0","A2Y08M7NDYFO56","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4668","","survey-text","19","225060","0.0-19.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"32417","","survey-text","20","257478","0.0-20.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""I like the colors, not the style""}","","","","","","","","","","","","","","","","","","","","","","",""
"7983","","image-slider-response","21","265465","0.0-21.0","A2Y08M7NDYFO56","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","270469","0.0-22.0","A2Y08M7NDYFO56","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2556","","image-button-response","23","273026","0.0-23.0","A2Y08M7NDYFO56","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4744","","image-button-response","24","277772","0.0-24.0-0.0","A2Y08M7NDYFO56","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1678","","image-button-response","25","279452","0.0-25.0-0.0","A2Y08M7NDYFO56","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","280456","0.0-26.0","A2Y08M7NDYFO56","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","3","I like the colors, not the style","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","0"
"34183","","survey-text","27","314646","0.0-27.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""I would hang this in my home. I really like it. ""}","","","","","","","","","","","","","","","","","","","","","","",""
"12899","","image-slider-response","28","327546","0.0-28.0","A2Y08M7NDYFO56","","","","","36","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","332550","0.0-29.0","A2Y08M7NDYFO56","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1468","","image-button-response","30","334019","0.0-30.0","A2Y08M7NDYFO56","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1591","","image-button-response","31","335611","0.0-31.0-0.0","A2Y08M7NDYFO56","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5599","","image-button-response","32","341212","0.0-32.0-0.0","A2Y08M7NDYFO56","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","341713","0.0-33.0","A2Y08M7NDYFO56","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","36","I would hang this in my home. I really like it. ","Jenna,Ashley,Katie,Dora,Kara,Jen","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Jen","It reminds me of a fireplace,36,120,20","Jenna","One of my pet peevs,-48,140,20","0"
"34957","","survey-text","34","376675","0.0-34.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""Its like an icy snowscape.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5949","","image-slider-response","35","382626","0.0-35.0","A2Y08M7NDYFO56","","","","","18","","","","","","","","","","","","","","","","","","","","","",""
"3610","","image-button-response","36","387629","0.0-36.0","A2Y08M7NDYFO56","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2295","","image-button-response","37","389925","0.0-37.0","A2Y08M7NDYFO56","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1470","","image-button-response","38","391397","0.0-38.0-0.0","A2Y08M7NDYFO56","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"61457","","image-button-response","39","452855","0.0-39.0-0.0","A2Y08M7NDYFO56","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","453858","0.0-40.0","A2Y08M7NDYFO56","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","18","Its like an icy snowscape.","Jenna,Rose,Mary,Leslie,Kara,Jen","looks like a murder room,-35,140,20","My daily routine, it's depressing,-20,240,20","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","calming blue is very nice,36,160,20","I can feel a rainy day from this painting,18,120,20","Jen","I can feel a rainy day from this painting,18,120,20","Mary","I like the overlapping of brushes,41,220,20","Leslie","It's an alright work,15,200,20","0"
"4183","","image-button-response_instructions","41","458046","0.0-41.0","A2Y08M7NDYFO56","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9166","","survey-likert","42","467214","0.0-42.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4629","","survey-text","43","471849","0.0-43.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"27446","","survey-text","44","499296","0.0-44.0-0.0","A2Y08M7NDYFO56","","","","{""Q0"":""interesting, chaotic scene""}","","","","","","","","","","","","","","","","","","","","","","",""
"6698","","image-slider-response","45","505996","0.0-45.0","A2Y08M7NDYFO56","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","511025","0.0-46.0","A2Y08M7NDYFO56","img_art/14.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9084","","image-button-response","47","520110","0.0-47.0","A2Y08M7NDYFO56","img_art/14.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1341","","image-button-response","48","521455","0.0-48.0-0.0","A2Y08M7NDYFO56","img_art/14.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3485","","image-button-response","49","524942","0.0-49.0-0.0","A2Y08M7NDYFO56","img_art/14.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","525443","0.0-50.0","A2Y08M7NDYFO56","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/14.jpg","19","interesting, chaotic scene","Hannah,Isabella,Destiny,Erika,Cheyenne,Alexa","This doesn't speak to me on an emotional level,-6,240,20","Feels like a camp fire among friends,22,280,20","I dont really vibe with the grayish color palette,-7,360,20","It's alright, something I'd see in a guest bedroom,10,100,20","I'm a fan of the background.,13,200,20","Very abstract and colorful,40,40,20","Isabella","Feels like a camp fire among friends,22,280,20","Cheyenne","I'm a fan of the background.,13,200,20","Alexa","Very abstract and colorful,40,40,20","0"
