"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6411","external_page_harvard.html","external-html","0","6468","0.0-0.0","A2YC6PEMIRSOAA","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4072","","image-button-response","1","10544","0.0-1.0","A2YC6PEMIRSOAA","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6714","","image-button-response","2","17266","0.0-2.0-0.0","A2YC6PEMIRSOAA","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10323","","survey-text","3","27592","0.0-3.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""A2YC6PEMIRSOAA""}","","","","","","","","","","","","","","","","","","","","","","",""
"3697","","image-button-response_instructions","4","31292","0.0-4.0","A2YC6PEMIRSOAA","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19438","","image-button-response_instructions","5","50732","0.0-5.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7315","","image-button-response_instructions","6","58049","0.0-6.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11478","","image-button-response_instructions","7","69528","0.0-7.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10267","","image-button-response_instructions","8","79798","0.0-8.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4653","","image-button-response_instructions","9","84452","0.0-9.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3370","","image-button-response_instructions","10","87824","0.0-10.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2186","","image-button-response_instructions","11","90012","0.0-11.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4324","","image-button-response_instructions","12","94338","0.0-12.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8660","","image-button-response_instructions","13","103000","0.0-13.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6498","","image-button-response_instructions","14","109500","0.0-14.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3101","","image-button-response_instructions","15","112603","0.0-15.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4878","","image-button-response_instructions","16","117483","0.0-16.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4074","","image-button-response_instructions","17","121559","0.0-17.0","A2YC6PEMIRSOAA","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1986","","image-button-response_instructions","18","123547","0.0-18.0","A2YC6PEMIRSOAA","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7259","","survey-text","19","130847","0.0-19.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"9008","","survey-text","20","139856","0.0-20.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""This is not for me""}","","","","","","","","","","","","","","","","","","","","","","",""
"4218","","image-slider-response","21","144078","0.0-21.0","A2YC6PEMIRSOAA","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","149084","0.0-22.0","A2YC6PEMIRSOAA","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"12121","","image-button-response","23","161208","0.0-23.0","A2YC6PEMIRSOAA","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1238","","image-button-response","24","162450","0.0-24.0-0.0","A2YC6PEMIRSOAA","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3160","","image-button-response","25","165614","0.0-25.0-0.0","A2YC6PEMIRSOAA","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","166117","0.0-26.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-42","This is not for me","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Beth","This color reminds me of poo,-46,60,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","0"
"11214","","survey-text","27","177337","0.0-27.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""Its okay but not for me""}","","","","","","","","","","","","","","","","","","","","","","",""
"2371","","image-slider-response","28","179711","0.0-28.0","A2YC6PEMIRSOAA","","","","","-30","","","","","","","","","","","","","","","","","","","","","",""
"4740","","image-button-response","29","184714","0.0-29.0","A2YC6PEMIRSOAA","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"962","","image-button-response","30","185679","0.0-30.0","A2YC6PEMIRSOAA","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2561","","image-button-response","31","188244","0.0-31.0-0.0","A2YC6PEMIRSOAA","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5890","","image-button-response","32","194137","0.0-32.0-0.0","A2YC6PEMIRSOAA","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","195640","0.0-33.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-30","Its okay but not for me","Jenna,Ashley,Beth,Dora,Kara,Katie","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","Jenna","One of my pet peevs,-48,140,20","Beth","meaningless painting,-45,60,20","Dora","looks too angry,-50,80,20","0"
"5026","","survey-text","34","200673","0.0-34.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""Yuk""}","","","","","","","","","","","","","","","","","","","","","","",""
"11392","","survey-text","35","214812","0.0-34.1-0.1","A2YC6PEMIRSOAA","","","","{""Q0"":""meaningless piece of work""}","","","","","","","","","","","","","","","","","","","","","","",""
"2323.5","","image-slider-response","36","217138","0.0-35.0","A2YC6PEMIRSOAA","","","","","-38","","","","","","","","","","","","","","","","","","","","","",""
"4857","","image-button-response","37","222141","0.0-36.0","A2YC6PEMIRSOAA","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1680","","image-button-response","38","223824","0.0-37.0","A2YC6PEMIRSOAA","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"957","","image-button-response","39","224784","0.0-38.0-0.0","A2YC6PEMIRSOAA","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"5461","","image-button-response","40","230248","0.0-39.0-0.0","A2YC6PEMIRSOAA","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"769","","image-button-response","41","235540","0.0-39.1-0.1","A2YC6PEMIRSOAA","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","42","236542","0.0-40.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","-38","meaningless piece of work","Jenna,Leslie,Beth,Dora,Mary,Rose","looks like a murder room,-35,140,20","It's an alright work,15,200,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Jenna","looks like a murder room,-35,140,20","Beth","This thing gives me anxiety,-41,60,20","Dora","My worst nightmare,-42,80,20","2"
"4380","","image-button-response_instructions","43","240929","0.0-41.0","A2YC6PEMIRSOAA","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14465","","survey-likert","44","255397","0.0-42.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4211","","survey-text","45","259612","0.0-43.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"9408","","survey-text","46","269022","0.0-44.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""omg this is bad""}","","","","","","","","","","","","","","","","","","","","","","",""
"2842.0999999046326","","image-slider-response","47","271866","0.0-45.0","A2YC6PEMIRSOAA","","","","","-47","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","48","276888","0.0-46.0","A2YC6PEMIRSOAA","img_art/23.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1248","","image-button-response","49","278138","0.0-47.0","A2YC6PEMIRSOAA","img_art/23.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2352","","image-button-response","50","280492","0.0-48.0-0.0","A2YC6PEMIRSOAA","img_art/23.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3248","","image-button-response","51","283742","0.0-49.0-0.0","A2YC6PEMIRSOAA","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","284744","0.0-50.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","1","img_art/23.jpg","-47","omg this is bad","Sophia,Grace,Victoria,Jessica,Morgan,Erika","I like the contrast and the bright colors in this one.,6,280,20","Looks like fireworks.,21,180,20","enjoy the colors,23,400,20","This is very cool!,24,400,20","Unicorns flying through a colorful space.,25,380,20","Very intense and unique,3,100,20","Erika","Very intense and unique,3,100,20","Sophia","I like the contrast and the bright colors in this one.,6,280,20","Grace","Looks like fireworks.,21,180,20","2"
"7358","","survey-text","53","292105","0.0-51.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""this would be okay""}","","","","","","","","","","","","","","","","","","","","","","",""
"2754.5","","image-slider-response","54","294865","0.0-52.0","A2YC6PEMIRSOAA","","","","","-20","","","","","","","","","","","","","","","","","","","","","",""
"4148","","image-button-response","55","299868","0.0-53.0","A2YC6PEMIRSOAA","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2566","","image-button-response","56","302435","0.0-54.0","A2YC6PEMIRSOAA","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1745","","image-button-response","57","304181","0.0-55.0-0.0","A2YC6PEMIRSOAA","img_art/10.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1220","","image-button-response","58","305403","0.0-56.0-0.0","A2YC6PEMIRSOAA","img_art/10.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","306405","0.0-57.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/10.jpg","-20","this would be okay","Sophia,Grace,Sydney,Briana,Stephanie,Erika","This piece is very intriguing to me.,3,280,20","First impression was musical instrument then, because of the gray colors, death.,5,180,20","This piece is unusual in a way that makes me uncomfortable.,-5,320,20","It confuses me. I dont know whats going on,14,400,20","The black color is depressing.,-50,300,20","Good texture, expressive,18,100,20","Stephanie","The black color is depressing.,-50,300,20","Sydney","This piece is unusual in a way that makes me uncomfortable.,-5,320,20","Sophia","This piece is very intriguing to me.,3,280,20","2"
"8792","","survey-text","60","315201","0.0-58.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""this look like vomit""}","","","","","","","","","","","","","","","","","","","","","","",""
"2378.199999809265","","image-slider-response","61","317581","0.0-59.0","A2YC6PEMIRSOAA","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"4492","","image-button-response","62","322582","0.0-60.0","A2YC6PEMIRSOAA","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1149","","image-button-response","63","323733","0.0-61.0","A2YC6PEMIRSOAA","img_art/9.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1368","","image-button-response","64","325103","0.0-62.0-0.0","A2YC6PEMIRSOAA","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3418","","image-button-response","65","328523","0.0-63.0-0.0","A2YC6PEMIRSOAA","img_art/9.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","66","330026","0.0-64.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","3","img_art/9.jpg","-50","this look like vomit","Sophia,Shannon,Sydney,Mikayla,Stephanie,Katie","Yikes. I'm not sure what to make of this one.,-14,280,20","This looks like someone sleeping in a bed, and I think the colors make it look interesting.,20,220,20","I see some of my favorite colors which I like, but I don't like what's portrayed.,35,320,20","Looks like a crayon drawing.,21,300,20","Someone sleeping in a cave. Dont like the scribble look.,-30,300,20","I like the blues and pinks. The woman lying down communicates relaxation. It is a serene, calming scene,30,160,20","Sophia","Yikes. I'm not sure what to make of this one.,-14,280,20","Stephanie","Someone sleeping in a cave. Dont like the scribble look.,-30,300,20","Shannon","This looks like someone sleeping in a bed, and I think the colors make it look interesting.,20,220,20","2"
"7974","","survey-text","67","338006","0.0-65.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""Not my style""}","","","","","","","","","","","","","","","","","","","","","","",""
"3791.2999997138977","","image-slider-response","68","341800","0.0-66.0","A2YC6PEMIRSOAA","","","","","-39","","","","","","","","","","","","","","","","","","","","","",""
"4403","","image-button-response","69","346804","0.0-67.0","A2YC6PEMIRSOAA","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"281","","image-button-response","70","347087","0.0-68.0","A2YC6PEMIRSOAA","img_art/27.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1392","","image-button-response","71","348481","0.0-69.0-0.0","A2YC6PEMIRSOAA","img_art/27.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3930","","image-button-response","72","352414","0.0-70.0-0.0","A2YC6PEMIRSOAA","img_art/27.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","73","353916","0.0-71.0","A2YC6PEMIRSOAA","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","4","img_art/27.jpg","-39","Not my style","Sophia,Shannon,Emily,Natalie,Stephanie,Alexandria","Yikes. I think I made this in kindergarten.,-20,280,20","This image could do a better job of showing what is going on and it could use more colors.,-42,220,20","Anyone could do that.,-31,40,20","also gives me anxiety,-21,400,20","The black sketchy over the colors doesn't fit.,-4,300,20","it looks very simple and childlike,-31,80,20","Sophia","Yikes. I think I made this in kindergarten.,-20,280,20","Shannon","This image could do a better job of showing what is going on and it could use more colors.,-42,220,20","Emily","Anyone could do that.,-31,40,20","2"
"61220","","survey-text","74","415139","0.0-72.0-0.0","A2YC6PEMIRSOAA","","","","{""Q0"":""I like the pic""}","","","","","","","","","","","","","","","","","","","","","","",""
"2321","","image-slider-response","75","417463","0.0-73.0","A2YC6PEMIRSOAA","","","","","38","","","","","","","","","","","","","","","","","","","","","",""
"2706","","image-button-response","76","422466","0.0-74.0","A2YC6PEMIRSOAA","img_art/13.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"802","","image-button-response","77","423271","0.0-75.0","A2YC6PEMIRSOAA","img_art/13.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2287","","image-button-response","78","425561","0.0-76.0-0.0","A2YC6PEMIRSOAA","img_art/13.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2065","","image-button-response","79","427629","0.0-77.0-0.0","A2YC6PEMIRSOAA","img_art/13.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
