"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6746","external_page_harvard.html","external-html","0","6815","0.0-0.0","A2YG71R13G0CYR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8516","","image-button-response","1","15333","0.0-1.0","A2YG71R13G0CYR","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2066","","image-button-response","2","17405","0.0-2.0-0.0","A2YG71R13G0CYR","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4510","","survey-text","3","21917","0.0-3.0-0.0","A2YG71R13G0CYR","","","","{""Q0"":""A2YG71R13G0CYR""}","","","","","","","","","","","","","","","","","","","","","","",""
"6590","","image-button-response_instructions","4","28509","0.0-4.0","A2YG71R13G0CYR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13695","","image-button-response_instructions","5","42205","0.0-5.0","A2YG71R13G0CYR","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5126","","image-button-response_instructions","6","47333","0.0-6.0","A2YG71R13G0CYR","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8150","","image-button-response_instructions","7","55484","0.0-7.0","A2YG71R13G0CYR","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4247","","image-button-response_instructions","8","59732","0.0-8.0","A2YG71R13G0CYR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2503","","image-button-response_instructions","9","62237","0.0-9.0","A2YG71R13G0CYR","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2343","","image-button-response_instructions","10","64580","0.0-10.0","A2YG71R13G0CYR","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2031","","image-button-response_instructions","11","66613","0.0-11.0","A2YG71R13G0CYR","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1671","","image-button-response_instructions","12","68284","0.0-12.0","A2YG71R13G0CYR","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
