"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"406800","external_page_harvard.html","external-html","0","407543","0.0-0.0","A2YZPA1SIVXL23","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1890","","image-button-response","1","409439","0.0-1.0","A2YZPA1SIVXL23","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2061","","image-button-response","2","411510","0.0-2.0-0.0","A2YZPA1SIVXL23","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3931","","survey-text","3","415443","0.0-3.0-0.0","A2YZPA1SIVXL23","","","","{""Q0"":""A2YZPA1SIVXL23""}","","","","","","","","","","","","","","","","","","","","","","",""
"16553","","image-button-response_instructions","4","432002","0.0-4.0","A2YZPA1SIVXL23","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19892","","image-button-response_instructions","5","451897","0.0-5.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3961","","image-button-response_instructions","6","455862","0.0-6.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3346","","image-button-response_instructions","7","459210","0.0-7.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11076","","image-button-response_instructions","8","470287","0.0-8.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3294","","image-button-response_instructions","9","473584","0.0-9.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3642","","image-button-response_instructions","10","477228","0.0-10.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2338","","image-button-response_instructions","11","479568","0.0-11.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2290","","image-button-response_instructions","12","481860","0.0-12.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1008","","image-button-response_instructions","13","482872","0.0-13.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1062","","image-button-response_instructions","14","483936","0.0-14.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"902","","image-button-response_instructions","15","484840","0.0-15.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1541","","image-button-response_instructions","16","486382","0.0-16.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6745","","image-button-response_instructions","17","493129","0.0-17.0","A2YZPA1SIVXL23","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1838","","image-button-response_instructions","18","494969","0.0-18.0","A2YZPA1SIVXL23","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5341","","survey-text","19","500345","0.0-19.0-0.0","A2YZPA1SIVXL23","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"7333","","survey-text","20","507680","0.0-20.0-0.0","A2YZPA1SIVXL23","","","","{""Q0"":""not bad""}","","","","","","","","","","","","","","","","","","","","","","",""
"3590","","image-slider-response","21","511277","0.0-21.0","A2YZPA1SIVXL23","","","","","32","","","","","","","","","","","","","","","","","","","","","",""
"3824","","image-button-response","22","516291","0.0-22.0","A2YZPA1SIVXL23","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2640","","image-button-response","23","518934","0.0-23.0","A2YZPA1SIVXL23","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"8871","","image-button-response","24","527810","0.0-24.0-0.0","A2YZPA1SIVXL23","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1012","","image-button-response","25","528829","0.0-25.0-0.0","A2YZPA1SIVXL23","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","530334","0.0-26.0","A2YZPA1SIVXL23","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","32","not bad","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Alex","very creative work.,36,40,20","Adam","Seems like doodles,-20,20,20","0"
"9156","","survey-text","27","539498","0.0-27.0-0.0","A2YZPA1SIVXL23","","","","{""Q0"":""Slightly good""}","","","","","","","","","","","","","","","","","","","","","","",""
"2914","","image-slider-response","28","542418","0.0-28.0","A2YZPA1SIVXL23","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"1382","","image-button-response","29","548193","0.0-29.0","A2YZPA1SIVXL23","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2156","","image-button-response","30","550354","0.0-30.0","A2YZPA1SIVXL23","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"840","","image-button-response","31","551198","0.0-31.0-0.0","A2YZPA1SIVXL23","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1153","","image-button-response","32","552355","0.0-32.0-0.0","A2YZPA1SIVXL23","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
