"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"114359","external_page_harvard.html","external-html","0","114487","0.0-0.0","A2ZSL0EDN3H4AT","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1902","","image-button-response","1","116391","0.0-1.0","A2ZSL0EDN3H4AT","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025","","image-button-response","2","118422","0.0-2.0-0.0","A2ZSL0EDN3H4AT","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7112","","survey-text","3","125537","0.0-3.0-0.0","A2ZSL0EDN3H4AT","","","","{""Q0"":""A2ZSL0EDN3H4AT""}","","","","","","","","","","","","","","","","","","","","","","",""
"6304","","image-button-response_instructions","4","131843","0.0-4.0","A2ZSL0EDN3H4AT","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20122","","image-button-response_instructions","5","151966","0.0-5.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4813","","image-button-response_instructions","6","156780","0.0-6.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2192","","image-button-response_instructions","7","158974","0.0-7.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9203","","image-button-response_instructions","8","168178","0.0-8.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4711","","image-button-response_instructions","9","172891","0.0-9.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1826","","image-button-response_instructions","10","174718","0.0-10.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1281","","image-button-response_instructions","11","176000","0.0-11.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1461","","image-button-response_instructions","12","177462","0.0-12.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1053","","image-button-response_instructions","13","178517","0.0-13.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1858","","image-button-response_instructions","14","180376","0.0-14.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1451","","image-button-response_instructions","15","181828","0.0-15.0","A2ZSL0EDN3H4AT","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
