"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"93671","external_page_harvard.html","external-html","0","93746","0.0-0.0","A31842X2M9HQ4O","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1961","","image-button-response","1","95711","0.0-1.0","A31842X2M9HQ4O","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6106","","image-button-response","2","101823","0.0-2.0-0.0","A31842X2M9HQ4O","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9880","","survey-text","3","111707","0.0-3.0-0.0","A31842X2M9HQ4O","","","","{""Q0"":""A31842X2M9HQ4O""}","","","","","","","","","","","","","","","","","","","","","","",""
"19305","","image-button-response_instructions","4","131015","0.0-4.0","A31842X2M9HQ4O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21397","","image-button-response_instructions","5","152414","0.0-5.0","A31842X2M9HQ4O","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8448","","image-button-response_instructions","6","160864","0.0-6.0","A31842X2M9HQ4O","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5238","","image-button-response_instructions","7","166104","0.0-7.0","A31842X2M9HQ4O","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7458","","image-button-response_instructions","8","173564","0.0-8.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5124","","image-button-response_instructions","9","178689","0.0-9.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7362","","image-button-response_instructions","10","186053","0.0-10.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4054","","image-button-response_instructions","11","190109","0.0-11.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6544","","image-button-response_instructions","12","196655","0.0-12.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10026","","image-button-response_instructions","13","206683","0.0-13.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7088","","image-button-response_instructions","14","213772","0.0-14.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5485","","image-button-response_instructions","15","219260","0.0-15.0","A31842X2M9HQ4O","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10211","","image-button-response_instructions","16","229473","0.0-16.0","A31842X2M9HQ4O","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4293","","image-button-response_instructions","17","233768","0.0-17.0","A31842X2M9HQ4O","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8082","","image-button-response_instructions","18","241851","0.0-18.0","A31842X2M9HQ4O","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9620","","survey-text","19","251500","0.0-19.0-0.0","A31842X2M9HQ4O","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
