"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"1774132","external_page_harvard.html","external-html","0","1774241","0.0-0.0","A3388HIWAKD3DV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1469","","image-button-response","1","1775711","0.0-1.0","A3388HIWAKD3DV","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9542","","image-button-response","2","1785256","0.0-2.0-0.0","A3388HIWAKD3DV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2533","","survey-text","3","1787790","0.0-3.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""A3388HIWAKD3DV""}","","","","","","","","","","","","","","","","","","","","","","",""
"1591","","image-button-response_instructions","4","1789382","0.0-4.0","A3388HIWAKD3DV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3943","","image-button-response_instructions","5","1793325","0.0-5.0","A3388HIWAKD3DV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2265","","image-button-response_instructions","6","1795590","0.0-6.0","A3388HIWAKD3DV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1614","","image-button-response_instructions","7","1797204","0.0-7.0","A3388HIWAKD3DV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2278","","image-button-response_instructions","8","1799482","0.0-8.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"990","","image-button-response_instructions","9","1800473","0.0-9.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"778","","image-button-response_instructions","10","1801252","0.0-10.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"731","","image-button-response_instructions","11","1801984","0.0-11.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"510","","image-button-response_instructions","12","1802495","0.0-12.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"420","","image-button-response_instructions","13","1802915","0.0-13.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"217","","image-button-response_instructions","14","1803133","0.0-14.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"187","","image-button-response_instructions","15","1803321","0.0-15.0","A3388HIWAKD3DV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"185","","image-button-response_instructions","16","1803507","0.0-16.0","A3388HIWAKD3DV","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"163","","image-button-response_instructions","17","1803670","0.0-17.0","A3388HIWAKD3DV","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"174","","image-button-response_instructions","18","1803844","0.0-18.0","A3388HIWAKD3DV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4624","","survey-text","19","1808485","0.0-19.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"5202","","survey-text","20","1813687","0.0-20.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""abstract""}","","","","","","","","","","","","","","","","","","","","","","",""
"1735.5","","image-slider-response","21","1815424","0.0-21.0","A3388HIWAKD3DV","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"2417","","image-button-response","22","1820429","0.0-22.0","A3388HIWAKD3DV","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2030","","image-button-response","23","1822460","0.0-23.0","A3388HIWAKD3DV","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"409","","image-button-response","24","1822871","0.0-24.0-0.0","A3388HIWAKD3DV","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"662","","image-button-response","25","1823535","0.0-25.0-0.0","A3388HIWAKD3DV","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","1824036","0.0-26.0","A3388HIWAKD3DV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","20","abstract","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Adam","Seems like doodles,-20,20,20","Daniel","It looks like a murder scene.,-48,100,20","0"
"4061","","survey-text","27","1828100","0.0-27.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""Dark""}","","","","","","","","","","","","","","","","","","","","","","",""
"3176","","survey-text","28","1832985","0.0-27.1-0.1","A3388HIWAKD3DV","","","","{""Q0"":""Darkest""}","","","","","","","","","","","","","","","","","","","","","","",""
"2327.2999999970198","","image-slider-response","29","1835313","0.0-28.0","A3388HIWAKD3DV","","","","","-17","","","","","","","","","","","","","","","","","","","","","",""
"2894","","image-button-response","30","1840318","0.0-29.0","A3388HIWAKD3DV","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"71072","","image-button-response","31","1911393","0.0-30.0","A3388HIWAKD3DV","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"785","","image-button-response","32","1912178","0.0-31.0-0.0","A3388HIWAKD3DV","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"704","","image-button-response","33","1912884","0.0-32.0-0.0","A3388HIWAKD3DV","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","1913885","0.0-33.0","A3388HIWAKD3DV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","-17","Darkest","Adam,Alex,John,James,Daniel,Kyle","too much color,-18,20,20","I like the blocks of color arrangements,30,40,20","love the texture of paint,48,160,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Adam","too much color,-18,20,20","Daniel","One of my pet peevs,-48,100,20","Kyle","Idk, it is just annoying,-32,180,20","0"
"9518","","survey-text","35","1923405","0.0-34.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""The ocean and seas""}","","","","","","","","","","","","","","","","","","","","","","",""
"1224.7999999970198","","image-slider-response","36","1924631","0.0-35.0","A3388HIWAKD3DV","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"1287","","image-button-response","37","1929645","0.0-36.0","A3388HIWAKD3DV","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1474","","image-button-response","38","1931120","0.0-37.0","A3388HIWAKD3DV","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3710","","image-button-response","39","1934832","0.0-38.0-0.0","A3388HIWAKD3DV","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"410","","image-button-response","40","1935243","0.0-39.0-0.0","A3388HIWAKD3DV","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","1936246","0.0-40.0","A3388HIWAKD3DV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","20","The ocean and seas","Adam,Ron,Sam,Mike,Daniel,Kyle","My daily routine, it's depressing,-20,20,20","It looks depressing,-26,220,20","I can feel a rainy day from this painting,18,240,20","enjoy the different shades of blue,22,200,20","looks like a murder room,-35,100,20","It looks like a playground for bats,-36,180,20","Kyle","It looks like a playground for bats,-36,180,20","Daniel","looks like a murder room,-35,100,20","Mike","enjoy the different shades of blue,22,200,20","0"
"4406","","image-button-response_instructions","42","1940655","0.0-41.0","A3388HIWAKD3DV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7330","","survey-likert","43","1947987","0.0-42.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":"""",""Q1"":1,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"2494","","survey-likert","44","1953228","0.0-42.1-0.1","A3388HIWAKD3DV","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3372","","survey-text","45","1956605","0.0-43.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"4663","","survey-text","46","1961269","0.0-44.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""looks like a city""}","","","","","","","","","","","","","","","","","","","","","","",""
"1961.2999999970198","","image-slider-response","47","1963231","0.0-45.0","A3388HIWAKD3DV","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"1508","","image-button-response","48","1968258","0.0-46.0","A3388HIWAKD3DV","img_art/20.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"16657","","image-button-response","49","1984916","0.0-47.0","A3388HIWAKD3DV","img_art/20.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"308","","image-button-response","50","1985226","0.0-48.0-0.0","A3388HIWAKD3DV","img_art/20.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"334","","image-button-response","51","1985561","0.0-49.0-0.0","A3388HIWAKD3DV","img_art/20.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","52","1987062","0.0-50.0","A3388HIWAKD3DV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/20.jpg","13","looks like a city","Jeffrey,Cole,Stephen,Derek,Daniel,Victor","looks like an auto accident,-30,40,20","Someone trying to be dali,-15,200,20","Liked the background,15,140,20","I like the calming mood of this painting,35,360,20","Fails to capture what similar styles do,-12,320,20","sort of pleasant to look at, but can't tell if it's supposed to be something,13,340,20","Daniel","Fails to capture what similar styles do,-12,320,20","Derek","I like the calming mood of this painting,35,360,20","Victor","sort of pleasant to look at, but can't tell if it's supposed to be something,13,340,20","1"
"4904","","survey-text","53","1991968","0.0-51.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""looks like faces""}","","","","","","","","","","","","","","","","","","","","","","",""
"1378.2999999970198","","image-slider-response","54","1993350","0.0-52.0","A3388HIWAKD3DV","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","55","1998355","0.0-53.0","A3388HIWAKD3DV","img_art/8.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"780","","image-button-response","56","1999136","0.0-54.0","A3388HIWAKD3DV","img_art/8.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"318","","image-button-response","57","1999456","0.0-55.0-0.0","A3388HIWAKD3DV","img_art/8.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"534","","image-button-response","58","1999991","0.0-56.0-0.0","A3388HIWAKD3DV","img_art/8.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","59","2001499","0.0-57.0","A3388HIWAKD3DV","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","2","img_art/8.jpg","20","looks like faces","Michael,Nathaniel,Steven,Derek,Daniel,Victor","It is interesting to look at. Abstract but ordered.,9,140,20","Not a fan of abstract looking pieces with too many focal points. The tunnel and face, for example,-31,220,20","very nice, i love what's going on here,21,160,20","It's simply gorgeous. This artist is very talented,50,360,20","Cortez's influence with fair color choices,10,320,20","I like the colors,10,340,20","Michael","It is interesting to look at. Abstract but ordered.,9,140,20","Nathaniel","Not a fan of abstract looking pieces with too many focal points. The tunnel and face, for example,-31,220,20","Daniel","Cortez's influence with fair color choices,10,320,20","1"
"8548","","survey-text","60","2010052","0.0-58.0-0.0","A3388HIWAKD3DV","","","","{""Q0"":""a workout machine?""}","","","","","","","","","","","","","","","","","","","","","","",""
"1889.0999999940395","","image-slider-response","61","2011942","0.0-59.0","A3388HIWAKD3DV","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","62","2016944","0.0-60.0","A3388HIWAKD3DV","img_art/28.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"339","","image-button-response","63","2017285","0.0-61.0","A3388HIWAKD3DV","img_art/28.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"324","","image-button-response","64","2017609","0.0-62.0-0.0","A3388HIWAKD3DV","img_art/28.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
