"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6027","external_page_harvard.html","external-html","0","6174","0.0-0.0","A33B85TN97HQ33","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1933","","image-button-response","1","8110","0.0-1.0","A33B85TN97HQ33","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1826","","image-button-response","2","9941","0.0-2.0-0.0","A33B85TN97HQ33","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6791","","survey-text","3","16733","0.0-3.0-0.0","A33B85TN97HQ33","","","","{""Q0"":""A33B85TN97HQ33""}","","","","","","","","","","","","","","","","","","","","","","",""
"16486","","image-button-response_instructions","4","33221","0.0-4.0","A33B85TN97HQ33","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21158","","image-button-response_instructions","5","54381","0.0-5.0","A33B85TN97HQ33","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5455","","image-button-response_instructions","6","59837","0.0-6.0","A33B85TN97HQ33","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4870","","image-button-response_instructions","7","64709","0.0-7.0","A33B85TN97HQ33","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3742","","image-button-response_instructions","8","68452","0.0-8.0","A33B85TN97HQ33","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2024","","image-button-response_instructions","9","70478","0.0-9.0","A33B85TN97HQ33","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2005","","image-button-response_instructions","10","72485","0.0-10.0","A33B85TN97HQ33","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3182","","image-button-response_instructions","11","75669","0.0-11.0","A33B85TN97HQ33","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4918","","image-button-response_instructions","12","80589","0.0-12.0","A33B85TN97HQ33","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6110","","image-button-response_instructions","13","86701","0.0-13.0","A33B85TN97HQ33","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5774","","image-button-response_instructions","14","92477","0.0-14.0","A33B85TN97HQ33","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2711","","image-button-response_instructions","15","95189","0.0-15.0","A33B85TN97HQ33","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6790","","image-button-response_instructions","16","101980","0.0-16.0","A33B85TN97HQ33","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3464","","image-button-response_instructions","17","105445","0.0-17.0","A33B85TN97HQ33","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1424","","image-button-response_instructions","18","106869","0.0-18.0","A33B85TN97HQ33","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6394","","survey-text","19","113285","0.0-19.0-0.0","A33B85TN97HQ33","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"13702","","survey-text","20","126989","0.0-20.0-0.0","A33B85TN97HQ33","","","","{""Q0"":""i feel the need to clean and organize by looking at it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3925","","image-slider-response","21","130917","0.0-21.0","A33B85TN97HQ33","","","","","-32","","","","","","","","","","","","","","","","","","","","","",""
"4886","","image-button-response","22","135929","0.0-22.0","A33B85TN97HQ33","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1391","","image-button-response","23","137325","0.0-23.0","A33B85TN97HQ33","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2934","","image-button-response","24","140261","0.0-24.0-0.0","A33B85TN97HQ33","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"7014","","image-button-response","25","147277","0.0-25.0-0.0","A33B85TN97HQ33","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","147793","0.0-26.0","A33B85TN97HQ33","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-32","i feel the need to clean and organize by looking at it.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Beth","This color reminds me of poo,-46,60,20","0"
"11638","","survey-text","27","159453","0.0-27.0-0.0","A33B85TN97HQ33","","","","{""Q0"":""it seems like it could be evil""}","","","","","","","","","","","","","","","","","","","","","","",""
"3022","","image-slider-response","28","162477","0.0-28.0","A33B85TN97HQ33","","","","","-34","","","","","","","","","","","","","","","","","","","","","",""
"3174","","image-button-response","29","167486","0.0-29.0","A33B85TN97HQ33","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"700","","image-button-response","30","168188","0.0-30.0","A33B85TN97HQ33","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
