"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7445","external_page_harvard.html","external-html","0","7546","0.0-0.0","A3492HL94OVDR5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1933","","image-button-response","1","9480","0.0-1.0","A3492HL94OVDR5","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2324","","image-button-response","2","11809","0.0-2.0-0.0","A3492HL94OVDR5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"21577","","survey-text","3","33387","0.0-3.0-0.0","A3492HL94OVDR5","","","","{""Q0"":""A3492HL94OVDR5""}","","","","","","","","","","","","","","","","","","","","","","",""
"47331","","image-button-response_instructions","4","80721","0.0-4.0","A3492HL94OVDR5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10184","","image-button-response_instructions","5","90906","0.0-5.0","A3492HL94OVDR5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8751","","image-button-response_instructions","6","99659","0.0-6.0","A3492HL94OVDR5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8407","","image-button-response_instructions","7","108068","0.0-7.0","A3492HL94OVDR5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7464","","image-button-response_instructions","8","115533","0.0-8.0","A3492HL94OVDR5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2183","","image-button-response_instructions","9","117717","0.0-9.0","A3492HL94OVDR5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4959","","image-button-response_instructions","10","122678","0.0-10.0","A3492HL94OVDR5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2127","","image-button-response_instructions","11","124806","0.0-11.0","A3492HL94OVDR5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3856","","image-button-response_instructions","12","128662","0.0-12.0","A3492HL94OVDR5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9176","","image-button-response_instructions","13","137840","0.0-13.0","A3492HL94OVDR5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4016","","image-button-response_instructions","14","141856","0.0-14.0","A3492HL94OVDR5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1831","","image-button-response_instructions","15","143689","0.0-15.0","A3492HL94OVDR5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6688","","image-button-response_instructions","16","150378","0.0-16.0","A3492HL94OVDR5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7168","","image-button-response_instructions","17","157546","0.0-17.0","A3492HL94OVDR5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34268","","image-button-response_instructions","18","191815","0.0-18.0","A3492HL94OVDR5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10607","","survey-text","19","202449","0.0-19.0-0.0","A3492HL94OVDR5","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"32778","","survey-text","20","235229","0.0-20.0-0.0","A3492HL94OVDR5","","","","{""Q0"":""It's a tad bit juvenile but I kind of like it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6974","","image-slider-response","21","242205","0.0-21.0","A3492HL94OVDR5","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","247208","0.0-22.0","A3492HL94OVDR5","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13710","","image-button-response","23","260920","0.0-23.0","A3492HL94OVDR5","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1974","","image-button-response","24","262896","0.0-24.0-0.0","A3492HL94OVDR5","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"10367","","image-button-response","25","273265","0.0-25.0-0.0","A3492HL94OVDR5","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","274768","0.0-26.0","A3492HL94OVDR5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","16","It's a tad bit juvenile but I kind of like it.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Carl","very calming artwork,42,80,20","Alex","very creative work.,36,40,20","Adam","Seems like doodles,-20,20,20","0"
"40874","","survey-text","27","315646","0.0-27.0-0.0","A3492HL94OVDR5","","","","{""Q0"":""Love the bold colors and flow.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3414.8000000044703","","image-slider-response","28","319063","0.0-28.0","A3492HL94OVDR5","","","","","30","","","","","","","","","","","","","","","","","","","","","",""
"4967","","image-button-response","29","324066","0.0-29.0","A3492HL94OVDR5","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1404","","image-button-response","30","325471","0.0-30.0","A3492HL94OVDR5","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2630","","image-button-response","31","328104","0.0-31.0-0.0","A3492HL94OVDR5","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1006","","image-button-response","32","329112","0.0-32.0-0.0","A3492HL94OVDR5","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","330613","0.0-33.0","A3492HL94OVDR5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","30","Love the bold colors and flow.","Adam,Alex,James,Carl,John,Kyle","too much color,-18,20,20","I like the blocks of color arrangements,30,40,20","looks too angry,-50,140,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","Alex","I like the blocks of color arrangements,30,40,20","John","love the texture of paint,48,160,20","Carl","I can feel the artist's passion in it,45,80,20","0"
"63535","","survey-text","34","394152","0.0-34.0-0.0","A3492HL94OVDR5","","","","{""Q0"":""Love the flow.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4110.69999999553","","image-slider-response","35","398264","0.0-35.0","A3492HL94OVDR5","","","","","26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","403267","0.0-36.0","A3492HL94OVDR5","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1926","","image-button-response","37","405194","0.0-37.0","A3492HL94OVDR5","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1702","","image-button-response","38","406898","0.0-38.0-0.0","A3492HL94OVDR5","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1542","","image-button-response","39","408442","0.0-39.0-0.0","A3492HL94OVDR5","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1327","","image-button-response","40","416003","0.0-39.1-0.1","A3492HL94OVDR5","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2270","","image-button-response","41","423572","0.0-39.2-0.2","A3492HL94OVDR5","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
