"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13847","external_page_harvard.html","external-html","0","13972","0.0-0.0","A34CBV74LOV6E3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1797","","image-button-response","1","15770","0.0-1.0","A34CBV74LOV6E3","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2004","","image-button-response","2","17778","0.0-2.0-0.0","A34CBV74LOV6E3","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6279","","survey-text","3","24058","0.0-3.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""A34CBV74LOV6E3""}","","","","","","","","","","","","","","","","","","","","","","",""
"6871","","image-button-response_instructions","4","30930","0.0-4.0","A34CBV74LOV6E3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8143","","image-button-response_instructions","5","39074","0.0-5.0","A34CBV74LOV6E3","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6239","","image-button-response_instructions","6","45314","0.0-6.0","A34CBV74LOV6E3","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12367","","image-button-response_instructions","7","57682","0.0-7.0","A34CBV74LOV6E3","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4839","","image-button-response_instructions","8","62522","0.0-8.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6592","","image-button-response_instructions","9","69114","0.0-9.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2751","","image-button-response_instructions","10","71866","0.0-10.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2127","","image-button-response_instructions","11","73994","0.0-11.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4591","","image-button-response_instructions","12","78586","0.0-12.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11351","","image-button-response_instructions","13","89938","0.0-13.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5639","","image-button-response_instructions","14","95578","0.0-14.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3223","","image-button-response_instructions","15","98802","0.0-15.0","A34CBV74LOV6E3","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12640","","image-button-response_instructions","16","111442","0.0-16.0","A34CBV74LOV6E3","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4239","","image-button-response_instructions","17","115682","0.0-17.0","A34CBV74LOV6E3","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1903","","image-button-response_instructions","18","117585","0.0-18.0","A34CBV74LOV6E3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6219","","survey-text","19","123825","0.0-19.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"21655","","survey-text","20","145481","0.0-20.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""I like the bright colors. It feels like spring.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4989.800000071526","","image-slider-response","21","150473","0.0-21.0","A34CBV74LOV6E3","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","155477","0.0-22.0","A34CBV74LOV6E3","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7905","","image-button-response","23","163385","0.0-23.0","A34CBV74LOV6E3","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1518","","image-button-response","24","164905","0.0-24.0-0.0","A34CBV74LOV6E3","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"19174","","image-button-response","25","184082","0.0-25.0-0.0","A34CBV74LOV6E3","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","184584","0.0-26.0","A34CBV74LOV6E3","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","15","I like the bright colors. It feels like spring.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Alex","very creative work.,36,40,20","Carl","very calming artwork,42,80,20","Adam","Seems like doodles,-20,20,20","0"
"43184","","survey-text","27","227778","0.0-27.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""It feels aggressive and I get the impression of a shipyard.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3342.5","","image-slider-response","28","231122","0.0-28.0","A34CBV74LOV6E3","","","","","-4","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","236131","0.0-29.0","A34CBV74LOV6E3","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3517","","image-button-response","30","239650","0.0-30.0","A34CBV74LOV6E3","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"21374","","image-button-response","31","261026","0.0-31.0-0.0","A34CBV74LOV6E3","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3822","","image-button-response","32","264850","0.0-32.0-0.0","A34CBV74LOV6E3","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","265353","0.0-33.0","A34CBV74LOV6E3","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-4","It feels aggressive and I get the impression of a shipyard.","Adam,Alex,James,Carl,John,Kyle","too much color,-18,20,20","I like the blocks of color arrangements,30,40,20","looks too angry,-50,140,20","I can feel the artist's passion in it,45,80,20","love the texture of paint,48,160,20","Idk, it is just annoying,-32,180,20","James","looks too angry,-50,140,20","John","love the texture of paint,48,160,20","Alex","I like the blocks of color arrangements,30,40,20","0"
"15098","","survey-text","34","280458","0.0-34.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""Somehow it is calm and chaotic at the same time.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4558.800000071526","","image-slider-response","35","285018","0.0-35.0","A34CBV74LOV6E3","","","","","-14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","36","290020","0.0-36.0","A34CBV74LOV6E3","img_art/ins/3.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"651","","image-button-response","37","290674","0.0-37.0","A34CBV74LOV6E3","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2790","","image-button-response","38","293466","0.0-38.0-0.0","A34CBV74LOV6E3","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1990","","image-button-response","39","295458","0.0-39.0-0.0","A34CBV74LOV6E3","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","296959","0.0-40.0","A34CBV74LOV6E3","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","-14","Somehow it is calm and chaotic at the same time.","Ron,Alex,James,Mike,John,Sam","It looks depressing,-26,220,20","calming blue is very nice,36,40,20","My worst nightmare,-42,140,20","enjoy the different shades of blue,22,200,20","I like the overlapping of brushes,41,160,20","I can feel a rainy day from this painting,18,240,20","Mike","enjoy the different shades of blue,22,200,20","Sam","I can feel a rainy day from this painting,18,240,20","Ron","It looks depressing,-26,220,20","0"
"46104","","image-button-response_instructions","41","343073","0.0-41.0","A34CBV74LOV6E3","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13783","","survey-likert","42","356858","0.0-42.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4340","","survey-text","43","361202","0.0-43.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"29047","","survey-text","44","390250","0.0-44.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""Honestly? Feels like a disturbed child. It makes me uncomfortable.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3390.2000000476837","","image-slider-response","45","393641","0.0-45.0","A34CBV74LOV6E3","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","46","399099","0.0-46.0","A34CBV74LOV6E3","img_art/16.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"15204","","image-button-response","47","414306","0.0-47.0","A34CBV74LOV6E3","img_art/16.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3790","","image-button-response","48","418097","0.0-48.0-0.0","A34CBV74LOV6E3","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2975","","image-button-response","49","421073","0.0-49.0-0.0","A34CBV74LOV6E3","img_art/16.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1623","","image-button-response","50","425673","0.0-49.1-0.1","A34CBV74LOV6E3","img_art/16.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","426175","0.0-50.0","A34CBV74LOV6E3","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/16.jpg","-23","Honestly? Feels like a disturbed child. It makes me uncomfortable.","Matthew,Blake,Dalton,Kevin,John,Tyler","A lot fo these could abstract or childrens work.,23,120,20","cute and warm. i like the bear,15,280,20","lol i dont know how i feel about this.,1,300,20","Hmm i don't know what going on here.,1,320,20","It creeps me out.,-50,120,20","Pop art, Tate Modern horse dung.,-50,320,20","John","It creeps me out.,-50,120,20","Matthew","A lot fo these could abstract or childrens work.,23,120,20","Dalton","lol i dont know how i feel about this.,1,300,20","2"
"19387","","survey-text","52","445570","0.0-51.0-0.0","A34CBV74LOV6E3","","","","{""Q0"":""Aggressive. It reminds me of like an alley wall.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3053.2000000476837","","image-slider-response","53","448625","0.0-52.0","A34CBV74LOV6E3","","","","","-3","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","54","453641","0.0-53.0","A34CBV74LOV6E3","img_art/29.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8447","","image-button-response","55","462089","0.0-54.0","A34CBV74LOV6E3","img_art/29.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
