"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12198","external_page_harvard.html","external-html","0","12547","0.0-0.0","A34EHWOYRBL6OZ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2380","","image-button-response","1","14933","0.0-1.0","A34EHWOYRBL6OZ","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1613","","image-button-response","2","16560","0.0-2.0-0.0","A34EHWOYRBL6OZ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9520","","survey-text","3","26084","0.0-3.0-0.0","A34EHWOYRBL6OZ","","","","{""Q0"":""A34EHWOYRBL6OZ""}","","","","","","","","","","","","","","","","","","","","","","",""
"9154","","image-button-response_instructions","4","35244","0.0-4.0","A34EHWOYRBL6OZ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15537","","image-button-response_instructions","5","50784","0.0-5.0","A34EHWOYRBL6OZ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7173","","image-button-response_instructions","6","57960","0.0-6.0","A34EHWOYRBL6OZ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7963","","image-button-response_instructions","7","65926","0.0-7.0","A34EHWOYRBL6OZ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5969","","image-button-response_instructions","8","71898","0.0-8.0","A34EHWOYRBL6OZ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5271","","image-button-response_instructions","9","77172","0.0-9.0","A34EHWOYRBL6OZ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
