"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13636","external_page_harvard.html","external-html","0","13761","0.0-0.0","A34GH9SAZ3NAGE","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1618","","image-button-response","1","15383","0.0-1.0","A34GH9SAZ3NAGE","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2220","","image-button-response","2","17609","0.0-2.0-0.0","A34GH9SAZ3NAGE","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7517","","survey-text","3","25130","0.0-3.0-0.0","A34GH9SAZ3NAGE","","","","{""Q0"":""A34GH9SAZ3NAGE""}","","","","","","","","","","","","","","","","","","","","","","",""
"6624","","image-button-response_instructions","4","31758","0.0-4.0","A34GH9SAZ3NAGE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"22528","","image-button-response_instructions","5","54288","0.0-5.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6829","","image-button-response_instructions","6","61120","0.0-6.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5041","","image-button-response_instructions","7","66163","0.0-7.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12625","","image-button-response_instructions","8","78791","0.0-8.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2937","","image-button-response_instructions","9","81731","0.0-9.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3493","","image-button-response_instructions","10","85228","0.0-10.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5151","","image-button-response_instructions","11","90381","0.0-11.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7898","","image-button-response_instructions","12","98282","0.0-12.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12023","","image-button-response_instructions","13","110307","0.0-13.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12919","","image-button-response_instructions","14","123228","0.0-14.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4640","","image-button-response_instructions","15","127870","0.0-15.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8835","","image-button-response_instructions","16","136706","0.0-16.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6042","","image-button-response_instructions","17","142750","0.0-17.0","A34GH9SAZ3NAGE","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2534","","image-button-response_instructions","18","145286","0.0-18.0","A34GH9SAZ3NAGE","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9135","","survey-text","19","154446","0.0-19.0-0.0","A34GH9SAZ3NAGE","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"59745","","survey-text","20","214194","0.0-20.0-0.0","A34GH9SAZ3NAGE","","","","{""Q0"":""It is very colorful and I've seen art like this before but I don't really have a strong reaction to it. It looks drawn on with crayon.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9601.799999952316","","image-slider-response","21","223802","0.0-21.0","A34GH9SAZ3NAGE","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
