"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"15395","external_page_harvard.html","external-html","0","15472","0.0-0.0","A34XULBZ8UVPMG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1347","","image-button-response","1","16822","0.0-1.0","A34XULBZ8UVPMG","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3637","","image-button-response","2","20468","0.0-2.0-0.0","A34XULBZ8UVPMG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5635","","survey-text","3","26106","0.0-3.0-0.0","A34XULBZ8UVPMG","","","","{""Q0"":""A34XULBZ8UVPMG""}","","","","","","","","","","","","","","","","","","","","","","",""
"3515","","image-button-response_instructions","4","29626","0.0-4.0","A34XULBZ8UVPMG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8079","","image-button-response_instructions","5","37706","0.0-5.0","A34XULBZ8UVPMG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4209","","image-button-response_instructions","6","41917","0.0-6.0","A34XULBZ8UVPMG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3180","","image-button-response_instructions","7","45099","0.0-7.0","A34XULBZ8UVPMG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14962","","image-button-response_instructions","8","60062","0.0-8.0","A34XULBZ8UVPMG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1720","","image-button-response_instructions","9","61784","0.0-9.0","A34XULBZ8UVPMG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
