"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"49811","external_page_harvard.html","external-html","0","50033","0.0-0.0","A35KHUV798F28S","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1531","","image-button-response","1","51567","0.0-1.0","A35KHUV798F28S","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1325","","image-button-response","2","52899","0.0-2.0-0.0","A35KHUV798F28S","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5275","","survey-text","3","58175","0.0-3.0-0.0","A35KHUV798F28S","","","","{""Q0"":""A35KHUV798F28S""}","","","","","","","","","","","","","","","","","","","","","","",""
"89597","","image-button-response_instructions","4","147775","0.0-4.0","A35KHUV798F28S","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3670","","image-button-response_instructions","5","151446","0.0-5.0","A35KHUV798F28S","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3123","","image-button-response_instructions","6","154571","0.0-6.0","A35KHUV798F28S","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1423","","image-button-response_instructions","7","155994","0.0-7.0","A35KHUV798F28S","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1988","","image-button-response_instructions","8","157983","0.0-8.0","A35KHUV798F28S","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1918","","image-button-response_instructions","9","159903","0.0-9.0","A35KHUV798F28S","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1330","","image-button-response_instructions","10","161235","0.0-10.0","A35KHUV798F28S","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1631","","image-button-response_instructions","11","162867","0.0-11.0","A35KHUV798F28S","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1123","","image-button-response_instructions","12","163991","0.0-12.0","A35KHUV798F28S","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"427624","","image-button-response_instructions","13","591617","0.0-13.0","A35KHUV798F28S","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3032","","image-button-response_instructions","14","594651","0.0-14.0","A35KHUV798F28S","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"697","","image-button-response_instructions","15","595349","0.0-15.0","A35KHUV798F28S","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"887","","image-button-response_instructions","16","596237","0.0-16.0","A35KHUV798F28S","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"888","","image-button-response_instructions","17","597126","0.0-17.0","A35KHUV798F28S","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"918","","image-button-response_instructions","18","598045","0.0-18.0","A35KHUV798F28S","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5352","","survey-text","19","603425","0.0-19.0-0.0","A35KHUV798F28S","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"6584","","survey-text","20","610011","0.0-20.0-0.0","A35KHUV798F28S","","","","{""Q0"":""very sloppy""}","","","","","","","","","","","","","","","","","","","","","","",""
"4589.199999928474","","image-slider-response","21","614603","0.0-21.0","A35KHUV798F28S","","","","","-29","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","619606","0.0-22.0","A35KHUV798F28S","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1357","","image-button-response","23","620965","0.0-23.0","A35KHUV798F28S","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1636","","image-button-response","24","622604","0.0-24.0-0.0","A35KHUV798F28S","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
