"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"42216","external_page_harvard.html","external-html","0","42291","0.0-0.0","A35P5JYWFCCMDR","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1834","","image-button-response","1","44132","0.0-1.0","A35P5JYWFCCMDR","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2138","","image-button-response","2","46317","0.0-2.0-0.0","A35P5JYWFCCMDR","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"18835","","survey-text","3","65155","0.0-3.0-0.0","A35P5JYWFCCMDR","","","","{""Q0"":""A35P5JYWFCCMDR""}","","","","","","","","","","","","","","","","","","","","","","",""
"5718","","image-button-response_instructions","4","70877","0.0-4.0","A35P5JYWFCCMDR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"35774","","image-button-response_instructions","5","106657","0.0-5.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14037","","image-button-response_instructions","6","120696","0.0-6.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10837","","image-button-response_instructions","7","131537","0.0-7.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23547","","image-button-response_instructions","8","155088","0.0-8.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4190","","image-button-response_instructions","9","159281","0.0-9.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3383","","image-button-response_instructions","10","162666","0.0-10.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2616","","image-button-response_instructions","11","165286","0.0-11.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5771","","image-button-response_instructions","12","171060","0.0-12.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10907","","image-button-response_instructions","13","181969","0.0-13.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7212","","image-button-response_instructions","14","189185","0.0-14.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4232","","image-button-response_instructions","15","193420","0.0-15.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7041","","image-button-response_instructions","16","200464","0.0-16.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3869","","image-button-response_instructions","17","204337","0.0-17.0","A35P5JYWFCCMDR","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2018","","image-button-response_instructions","18","206360","0.0-18.0","A35P5JYWFCCMDR","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8476","","survey-text","19","214896","0.0-19.0-0.0","A35P5JYWFCCMDR","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"23005","","survey-text","20","237911","0.0-20.0-0.0","A35P5JYWFCCMDR","","","","{""Q0"":""This seems so chaotic.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6479.5","","image-slider-response","21","244402","0.0-21.0","A35P5JYWFCCMDR","","","","","-24","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","249416","0.0-22.0","A35P5JYWFCCMDR","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7351","","image-button-response","23","256770","0.0-23.0","A35P5JYWFCCMDR","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5358","","image-button-response","24","262136","0.0-24.0-0.0","A35P5JYWFCCMDR","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2943","","image-button-response","25","265088","0.0-25.0-0.0","A35P5JYWFCCMDR","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","266102","0.0-26.0","A35P5JYWFCCMDR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-24","This seems so chaotic.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","0"
"19473","","survey-text","27","285589","0.0-27.0-0.0","A35P5JYWFCCMDR","","","","{""Q0"":""Looks like a child did it.""}","","","","","","","","","","","","","","","","","","","","","","",""
"9637.40000000596","","image-slider-response","28","295237","0.0-28.0","A35P5JYWFCCMDR","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"4736","","image-button-response","29","300247","0.0-29.0","A35P5JYWFCCMDR","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4356","","image-button-response","30","304612","0.0-30.0","A35P5JYWFCCMDR","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2871","","image-button-response","31","307490","0.0-31.0-0.0","A35P5JYWFCCMDR","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9987","","image-button-response","32","317484","0.0-32.0-0.0","A35P5JYWFCCMDR","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","317996","0.0-33.0","A35P5JYWFCCMDR","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-22","Looks like a child did it.","Jenna,Ashley,Katie,Dora,Kara,Jen","One of my pet peevs,-48,140,20","Idk, it is just annoying,-32,40,20","too much color!,-28,180,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Dora","looks too angry,-50,80,20","Jenna","One of my pet peevs,-48,140,20","Ashley","Idk, it is just annoying,-32,40,20","0"
