"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3508","external_page_harvard.html","external-html","0","3626","0.0-0.0","A35TUIBF05DKM4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1111","","image-button-response","1","4738","0.0-1.0","A35TUIBF05DKM4","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1745","","image-button-response","2","6487","0.0-2.0-0.0","A35TUIBF05DKM4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4796","","survey-text","3","11284","0.0-3.0-0.0","A35TUIBF05DKM4","","","","{""Q0"":""A35TUIBF05DKM4""}","","","","","","","","","","","","","","","","","","","","","","",""
"1670","","image-button-response_instructions","4","12955","0.0-4.0","A35TUIBF05DKM4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11634","","image-button-response_instructions","5","24590","0.0-5.0","A35TUIBF05DKM4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6219","","image-button-response_instructions","6","30811","0.0-6.0","A35TUIBF05DKM4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3322","","image-button-response_instructions","7","34134","0.0-7.0","A35TUIBF05DKM4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4458","","image-button-response_instructions","8","38594","0.0-8.0","A35TUIBF05DKM4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3955","","image-button-response_instructions","9","42549","0.0-9.0","A35TUIBF05DKM4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2247","","image-button-response_instructions","10","44797","0.0-10.0","A35TUIBF05DKM4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4097","","image-button-response_instructions","11","48895","0.0-11.0","A35TUIBF05DKM4","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2560","","image-button-response_instructions","12","51456","0.0-12.0","A35TUIBF05DKM4","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
