"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"26538","external_page_harvard.html","external-html","0","26791","0.0-0.0","A366GBJUGP5F9Z","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1763","","image-button-response","1","28562","0.0-1.0","A366GBJUGP5F9Z","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2162","","image-button-response","2","30756","0.0-2.0-0.0","A366GBJUGP5F9Z","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5661","","survey-text","3","36423","0.0-3.0-0.0","A366GBJUGP5F9Z","","","","{""Q0"":""A366GBJUGP5F9Z""}","","","","","","","","","","","","","","","","","","","","","","",""
"6891","","image-button-response_instructions","4","43323","0.0-4.0","A366GBJUGP5F9Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13146","","image-button-response_instructions","5","56473","0.0-5.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11772","","image-button-response_instructions","6","68250","0.0-6.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2969","","image-button-response_instructions","7","71225","0.0-7.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7077","","image-button-response_instructions","8","78306","0.0-8.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11320","","image-button-response_instructions","9","89630","0.0-9.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2541","","image-button-response_instructions","10","92178","0.0-10.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1946","","image-button-response_instructions","11","94128","0.0-11.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4543","","image-button-response_instructions","12","98675","0.0-12.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3835","","image-button-response_instructions","13","102517","0.0-13.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5710","","image-button-response_instructions","14","108230","0.0-14.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3735","","image-button-response_instructions","15","111972","0.0-15.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8357","","image-button-response_instructions","16","120334","0.0-16.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3700","","image-button-response_instructions","17","124038","0.0-17.0","A366GBJUGP5F9Z","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1825","","image-button-response_instructions","18","125867","0.0-18.0","A366GBJUGP5F9Z","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8237","","survey-text","19","134230","0.0-19.0-0.0","A366GBJUGP5F9Z","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14874","","survey-text","20","149113","0.0-20.0-0.0","A366GBJUGP5F9Z","","","","{""Q0"":""it reminds me of a snowy day in spring.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3824.100000023842","","image-slider-response","21","152948","0.0-21.0","A366GBJUGP5F9Z","","","","","12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","157957","0.0-22.0","A366GBJUGP5F9Z","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"888","","image-button-response","23","158852","0.0-23.0","A366GBJUGP5F9Z","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"5268","","image-button-response","24","164130","0.0-24.0-0.0","A366GBJUGP5F9Z","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3363","","image-button-response","25","167505","0.0-25.0-0.0","A366GBJUGP5F9Z","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
