"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9003","external_page_harvard.html","external-html","0","9117","0.0-0.0","A368VH12R48BBH","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2191","","image-button-response","1","11313","0.0-1.0","A368VH12R48BBH","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2772","","image-button-response","2","14097","0.0-2.0-0.0","A368VH12R48BBH","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"15744","","survey-text","3","29846","0.0-3.0-0.0","A368VH12R48BBH","","","","{""Q0"":""A368VH12R48BBH""}","","","","","","","","","","","","","","","","","","","","","","",""
"6124","","image-button-response_instructions","4","35977","0.0-4.0","A368VH12R48BBH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12810","","image-button-response_instructions","5","48791","0.0-5.0","A368VH12R48BBH","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7493","","image-button-response_instructions","6","56287","0.0-6.0","A368VH12R48BBH","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5775","","image-button-response_instructions","7","62065","0.0-7.0","A368VH12R48BBH","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"54945","","image-button-response_instructions","8","117013","0.0-8.0","A368VH12R48BBH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3986","","image-button-response_instructions","9","121003","0.0-9.0","A368VH12R48BBH","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3241","","image-button-response_instructions","10","124247","0.0-10.0","A368VH12R48BBH","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1877","","image-button-response_instructions","11","126127","0.0-11.0","A368VH12R48BBH","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"185017","","image-button-response_instructions","12","311147","0.0-12.0","A368VH12R48BBH","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13009","","image-button-response_instructions","13","324159","0.0-13.0","A368VH12R48BBH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7880","","image-button-response_instructions","14","332042","0.0-14.0","A368VH12R48BBH","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3075","","image-button-response_instructions","15","335120","0.0-15.0","A368VH12R48BBH","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7889","","image-button-response_instructions","16","343011","0.0-16.0","A368VH12R48BBH","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2975","","image-button-response_instructions","17","345988","0.0-17.0","A368VH12R48BBH","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1215","","image-button-response_instructions","18","347205","0.0-18.0","A368VH12R48BBH","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7680","","survey-text","19","354979","0.0-19.0-0.0","A368VH12R48BBH","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12953","","survey-text","20","367937","0.0-20.0-0.0","A368VH12R48BBH","","","","{""Q0"":""looks like a mess to me""}","","","","","","","","","","","","","","","","","","","","","","",""
"7677.900000035763","","image-slider-response","21","375622","0.0-21.0","A368VH12R48BBH","","","","","-30","","","","","","","","","","","","","","","","","","","","","",""
