"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8342","external_page_harvard.html","external-html","0","8407","0.0-0.0","A36GR8MUA34VW6","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2254","","image-button-response","1","10662","0.0-1.0","A36GR8MUA34VW6","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2732","","image-button-response","2","13397","0.0-2.0-0.0","A36GR8MUA34VW6","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6895","","survey-text","3","20294","0.0-3.0-0.0","A36GR8MUA34VW6","","","","{""Q0"":""A36GR8MUA34VW6""}","","","","","","","","","","","","","","","","","","","","","","",""
"11742","","image-button-response_instructions","4","32038","0.0-4.0","A36GR8MUA34VW6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17535","","image-button-response_instructions","5","49574","0.0-5.0","A36GR8MUA34VW6","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2911","","image-button-response_instructions","6","52486","0.0-6.0","A36GR8MUA34VW6","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2503","","image-button-response_instructions","7","54989","0.0-7.0","A36GR8MUA34VW6","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5548","","image-button-response_instructions","8","60537","0.0-8.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2887","","image-button-response_instructions","9","63424","0.0-9.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3392","","image-button-response_instructions","10","66817","0.0-10.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4455","","image-button-response_instructions","11","71273","0.0-11.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4911","","image-button-response_instructions","12","76185","0.0-12.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14639","","image-button-response_instructions","13","90825","0.0-13.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6552","","image-button-response_instructions","14","97377","0.0-14.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5527","","image-button-response_instructions","15","102905","0.0-15.0","A36GR8MUA34VW6","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7863","","image-button-response_instructions","16","110769","0.0-16.0","A36GR8MUA34VW6","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2576","","image-button-response_instructions","17","113345","0.0-17.0","A36GR8MUA34VW6","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1551","","image-button-response_instructions","18","114897","0.0-18.0","A36GR8MUA34VW6","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10025","","survey-text","19","124941","0.0-19.0-0.0","A36GR8MUA34VW6","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"30871","","survey-text","20","155813","0.0-20.0-0.0","A36GR8MUA34VW6","","","","{""Q0"":""This painting is a little busy yet the colors are dull.""}","","","","","","","","","","","","","","","","","","","","","","",""
"10590.5","","image-slider-response","21","166406","0.0-21.0","A36GR8MUA34VW6","","","","","-30","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","171416","0.0-22.0","A36GR8MUA34VW6","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"7714","","image-button-response","23","179134","0.0-23.0","A36GR8MUA34VW6","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1031","","image-button-response","24","180166","0.0-24.0-0.0","A36GR8MUA34VW6","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"8699","","image-button-response","25","188867","0.0-25.0-0.0","A36GR8MUA34VW6","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","189379","0.0-26.0","A36GR8MUA34VW6","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-30","This painting is a little busy yet the colors are dull.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"29712","","survey-text","27","219099","0.0-27.0-0.0","A36GR8MUA34VW6","","","","{""Q0"":""It is hard to imagine what the theme is.""}","","","","","","","","","","","","","","","","","","","","","","",""
