"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17455","external_page_harvard.html","external-html","0","17660","0.0-0.0","A36N9D8OG0VZG9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5906","","image-button-response","1","23568","0.0-1.0","A36N9D8OG0VZG9","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2247","","image-button-response","2","25819","0.0-2.0-0.0","A36N9D8OG0VZG9","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8467","","survey-text","3","34289","0.0-3.0-0.0","A36N9D8OG0VZG9","","","","{""Q0"":""A36N9D8OG0VZG9""}","","","","","","","","","","","","","","","","","","","","","","",""
"23093","","image-button-response_instructions","4","57385","0.0-4.0","A36N9D8OG0VZG9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16287","","image-button-response_instructions","5","73672","0.0-5.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7553","","image-button-response_instructions","6","81227","0.0-6.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5045","","image-button-response_instructions","7","86274","0.0-7.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25076","","image-button-response_instructions","8","111351","0.0-8.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7178","","image-button-response_instructions","9","118530","0.0-9.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4519","","image-button-response_instructions","10","123050","0.0-10.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4228","","image-button-response_instructions","11","127280","0.0-11.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8424","","image-button-response_instructions","12","135705","0.0-12.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14347","","image-button-response_instructions","13","150053","0.0-13.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"60569","","image-button-response_instructions","14","210622","0.0-14.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4607","","image-button-response_instructions","15","215230","0.0-15.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8102","","image-button-response_instructions","16","223333","0.0-16.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11955","","image-button-response_instructions","17","235290","0.0-17.0","A36N9D8OG0VZG9","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2927","","image-button-response_instructions","18","238218","0.0-18.0","A36N9D8OG0VZG9","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9971","","survey-text","19","248215","0.0-19.0-0.0","A36N9D8OG0VZG9","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"21717","","survey-text","20","269934","0.0-20.0-0.0","A36N9D8OG0VZG9","","","","{""Q0"":""It's very abstract and I don't see anything that stands out as special""}","","","","","","","","","","","","","","","","","","","","","","",""
"4531","","image-slider-response","21","274467","0.0-21.0","A36N9D8OG0VZG9","","","","","-18","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","279471","0.0-22.0","A36N9D8OG0VZG9","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5107","","image-button-response","23","284581","0.0-23.0","A36N9D8OG0VZG9","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4319","","image-button-response","24","288902","0.0-24.0-0.0","A36N9D8OG0VZG9","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"6383","","image-button-response","25","295288","0.0-25.0-0.0","A36N9D8OG0VZG9","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","296795","0.0-26.0","A36N9D8OG0VZG9","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-18","It's very abstract and I don't see anything that stands out as special","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Beth","This color reminds me of poo,-46,60,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","0"
"24435","","survey-text","27","321236","0.0-27.0-0.0","A36N9D8OG0VZG9","","","","{""Q0"":""Nice colors and textures""}","","","","","","","","","","","","","","","","","","","","","","",""
"4531.0999999940395","","image-slider-response","28","325770","0.0-28.0","A36N9D8OG0VZG9","","","","","22","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","330772","0.0-29.0","A36N9D8OG0VZG9","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"9864","","image-button-response","30","340638","0.0-30.0","A36N9D8OG0VZG9","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"13166","","image-button-response","31","353806","0.0-31.0-0.0","A36N9D8OG0VZG9","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5184","","image-button-response","32","358992","0.0-32.0-0.0","A36N9D8OG0VZG9","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4489","","image-button-response","33","370598","0.0-32.1-0.1","A36N9D8OG0VZG9","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
