"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"4323","external_page_harvard.html","external-html","0","4363","0.0-0.0","A37OW71AEYVEDM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2227","","image-button-response","1","6591","0.0-1.0","A37OW71AEYVEDM","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1910","","image-button-response","2","8507","0.0-2.0-0.0","A37OW71AEYVEDM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8861","","survey-text","3","17370","0.0-3.0-0.0","A37OW71AEYVEDM","","","","{""Q0"":""A37OW71AEYVEDM""}","","","","","","","","","","","","","","","","","","","","","","",""
"5623","","image-button-response_instructions","4","22995","0.0-4.0","A37OW71AEYVEDM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13801","","image-button-response_instructions","5","36797","0.0-5.0","A37OW71AEYVEDM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7819","","image-button-response_instructions","6","44616","0.0-6.0","A37OW71AEYVEDM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9523","","image-button-response_instructions","7","54140","0.0-7.0","A37OW71AEYVEDM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6009","","image-button-response_instructions","8","60149","0.0-8.0","A37OW71AEYVEDM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8753","","image-button-response_instructions","9","68902","0.0-9.0","A37OW71AEYVEDM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19460","","image-button-response_instructions","10","88363","0.0-10.0","A37OW71AEYVEDM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
