"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"111960","external_page_harvard.html","external-html","0","112137","0.0-0.0","A39C22RIL0YJ4D","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2214","","image-button-response","1","114352","0.0-1.0","A39C22RIL0YJ4D","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1864","","image-button-response","2","116220","0.0-2.0-0.0","A39C22RIL0YJ4D","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4984","","survey-text","3","121205","0.0-3.0-0.0","A39C22RIL0YJ4D","","","","{""Q0"":""A39C22RIL0YJ4D""}","","","","","","","","","","","","","","","","","","","","","","",""
"49072","","image-button-response_instructions","4","170278","0.0-4.0","A39C22RIL0YJ4D","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7796","","image-button-response_instructions","5","178074","0.0-5.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3447","","image-button-response_instructions","6","181521","0.0-6.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2797","","image-button-response_instructions","7","184319","0.0-7.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"139168","","image-button-response_instructions","8","323488","0.0-8.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3661","","image-button-response_instructions","9","327150","0.0-9.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3212","","image-button-response_instructions","10","330363","0.0-10.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4137","","image-button-response_instructions","11","334501","0.0-11.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"80","","image-button-response_instructions","12","334582","0.0-12.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13510","","image-button-response_instructions","13","348093","0.0-13.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9276","","image-button-response_instructions","14","357370","0.0-14.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"73034","","image-button-response_instructions","15","430405","0.0-15.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12640","","image-button-response_instructions","16","443046","0.0-16.0","A39C22RIL0YJ4D","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
