"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"22695","external_page_harvard.html","external-html","0","22912","0.0-0.0","A39D2O58VQ5GMO","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1676","","image-button-response","1","24590","0.0-1.0","A39D2O58VQ5GMO","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1292","","image-button-response","2","25888","0.0-2.0-0.0","A39D2O58VQ5GMO","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4465","","survey-text","3","30356","0.0-3.0-0.0","A39D2O58VQ5GMO","","","","{""Q0"":""A39D2O58VQ5GMO""}","","","","","","","","","","","","","","","","","","","","","","",""
"11074","","image-button-response_instructions","4","41431","0.0-4.0","A39D2O58VQ5GMO","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4666","","image-button-response_instructions","5","46099","0.0-5.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2378","","image-button-response_instructions","6","48478","0.0-6.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4963","","image-button-response_instructions","7","53442","0.0-7.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3373","","image-button-response_instructions","8","56816","0.0-8.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3327","","image-button-response_instructions","9","60145","0.0-9.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1975","","image-button-response_instructions","10","62121","0.0-10.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2019","","image-button-response_instructions","11","64141","0.0-11.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1969","","image-button-response_instructions","12","66111","0.0-12.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4919","","image-button-response_instructions","13","71030","0.0-13.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12117","","image-button-response_instructions","14","83149","0.0-14.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1747","","image-button-response_instructions","15","84897","0.0-15.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8214","","image-button-response_instructions","16","93113","0.0-16.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2230","","image-button-response_instructions","17","95345","0.0-17.0","A39D2O58VQ5GMO","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1264","","image-button-response_instructions","18","96611","0.0-18.0","A39D2O58VQ5GMO","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5980","","survey-text","19","102617","0.0-19.0-0.0","A39D2O58VQ5GMO","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"19676","","survey-text","20","122295","0.0-20.0-0.0","A39D2O58VQ5GMO","","","","{""Q0"":""I like the different strokes of colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"12412.899999976158","","image-slider-response","21","134711","0.0-21.0","A39D2O58VQ5GMO","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","139716","0.0-22.0","A39D2O58VQ5GMO","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"11098","","image-button-response","23","150818","0.0-23.0","A39D2O58VQ5GMO","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1413","","image-button-response","24","152233","0.0-24.0-0.0","A39D2O58VQ5GMO","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"7575","","image-button-response","25","159811","0.0-25.0-0.0","A39D2O58VQ5GMO","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","160814","0.0-26.0","A39D2O58VQ5GMO","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","14","I like the different strokes of colors","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"28551","","survey-text","27","189375","0.0-27.0-0.0","A39D2O58VQ5GMO","","","","{""Q0"":""I like the varying colors and textures""}","","","","","","","","","","","","","","","","","","","","","","",""
"2290.600000023842","","image-slider-response","28","191668","0.0-28.0","A39D2O58VQ5GMO","","","","","16","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","196675","0.0-29.0","A39D2O58VQ5GMO","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"280","","image-button-response","30","196958","0.0-30.0","A39D2O58VQ5GMO","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2996","","image-button-response","31","199957","0.0-31.0-0.0","A39D2O58VQ5GMO","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"3496","","image-button-response","32","203456","0.0-32.0-0.0","A39D2O58VQ5GMO","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","204472","0.0-33.0","A39D2O58VQ5GMO","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","16","I like the varying colors and textures","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Kara","I like the blocks of color arrangements,30,160,20","0"
"28965","","survey-text","34","233447","0.0-34.0-0.0","A39D2O58VQ5GMO","","","","{""Q0"":""Reminds me of water tribe in Avatar The Last Airbender""}","","","","","","","","","","","","","","","","","","","","","","",""
"4889.300000071526","","image-slider-response","35","238338","0.0-35.0","A39D2O58VQ5GMO","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"3440","","image-button-response","36","243341","0.0-36.0","A39D2O58VQ5GMO","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","","image-button-response","37","243440","0.0-37.0","A39D2O58VQ5GMO","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
