"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"21641","external_page_harvard.html","external-html","0","21769","0.0-0.0","A39GKPIPC99NDV","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2721","","image-button-response","1","24492","0.0-1.0","A39GKPIPC99NDV","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2633","","image-button-response","2","27130","0.0-2.0-0.0","A39GKPIPC99NDV","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"13094","","survey-text","3","40224","0.0-3.0-0.0","A39GKPIPC99NDV","","","","{""Q0"":""A39GKPIPC99NDV""}","","","","","","","","","","","","","","","","","","","","","","",""
"12326","","image-button-response_instructions","4","52552","0.0-4.0","A39GKPIPC99NDV","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"62589","","image-button-response_instructions","5","115142","0.0-5.0","A39GKPIPC99NDV","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15148","","image-button-response_instructions","6","130292","0.0-6.0","A39GKPIPC99NDV","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5531","","image-button-response_instructions","7","135823","0.0-7.0","A39GKPIPC99NDV","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5033","","image-button-response_instructions","8","140857","0.0-8.0","A39GKPIPC99NDV","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3661","","image-button-response_instructions","9","144519","0.0-9.0","A39GKPIPC99NDV","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2999","","image-button-response_instructions","10","147520","0.0-10.0","A39GKPIPC99NDV","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5063","","image-button-response_instructions","11","152584","0.0-11.0","A39GKPIPC99NDV","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20371","","image-button-response_instructions","12","172956","0.0-12.0","A39GKPIPC99NDV","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
