"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"23098","external_page_harvard.html","external-html","0","23204","0.0-0.0","A39STYGRHAZ2WL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1707","","image-button-response","1","24914","0.0-1.0","A39STYGRHAZ2WL","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2314","","image-button-response","2","27234","0.0-2.0-0.0","A39STYGRHAZ2WL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8280","","survey-text","3","35515","0.0-3.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":""A39STYGRHAZ2WL""}","","","","","","","","","","","","","","","","","","","","","","",""
"6576","","image-button-response_instructions","4","42093","0.0-4.0","A39STYGRHAZ2WL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12080","","image-button-response_instructions","5","54175","0.0-5.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6221","","image-button-response_instructions","6","60398","0.0-6.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4743","","image-button-response_instructions","7","65143","0.0-7.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11649","","image-button-response_instructions","8","76793","0.0-8.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2895","","image-button-response_instructions","9","79688","0.0-9.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3647","","image-button-response_instructions","10","83337","0.0-10.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3032","","image-button-response_instructions","11","86369","0.0-11.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6592","","image-button-response_instructions","12","92963","0.0-12.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10728","","image-button-response_instructions","13","103691","0.0-13.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8304","","image-button-response_instructions","14","111996","0.0-14.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3960","","image-button-response_instructions","15","115957","0.0-15.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8271","","image-button-response_instructions","16","124230","0.0-16.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3639","","image-button-response_instructions","17","127871","0.0-17.0","A39STYGRHAZ2WL","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2238","","image-button-response_instructions","18","130110","0.0-18.0","A39STYGRHAZ2WL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5480","","survey-text","19","135615","0.0-19.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"25026","","survey-text","20","160643","0.0-20.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":""Colorful""}","","","","","","","","","","","","","","","","","","","","","","",""
"4685.5","","image-slider-response","21","165330","0.0-21.0","A39STYGRHAZ2WL","","","","","19","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","170336","0.0-22.0","A39STYGRHAZ2WL","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"354","","image-button-response","23","170692","0.0-23.0","A39STYGRHAZ2WL","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"9182","","image-button-response","24","179877","0.0-24.0-0.0","A39STYGRHAZ2WL","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3918","","image-button-response","25","183798","0.0-25.0-0.0","A39STYGRHAZ2WL","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","184802","0.0-26.0","A39STYGRHAZ2WL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","19","Colorful","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","Erika","I like the sophisticated brushwork,40,100,20","0"
"25140","","survey-text","27","209946","0.0-27.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":""Textural""}","","","","","","","","","","","","","","","","","","","","","","",""
"3775.5","","image-slider-response","28","213724","0.0-28.0","A39STYGRHAZ2WL","","","","","6","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","218737","0.0-29.0","A39STYGRHAZ2WL","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"5864","","image-button-response","30","224605","0.0-30.0","A39STYGRHAZ2WL","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3094","","image-button-response","31","227700","0.0-31.0-0.0","A39STYGRHAZ2WL","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1103","","image-button-response","32","228805","0.0-32.0-0.0","A39STYGRHAZ2WL","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","229308","0.0-33.0","A39STYGRHAZ2WL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","6","Textural","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Jen","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Allison","I don't have strong feelings about this,10,20,20","0"
"32773","","survey-text","34","262097","0.0-34.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":""I like the texture.""}","","","","","","","","","","","","","","","","","","","","","","",""
"5894.299999952316","","image-slider-response","35","267994","0.0-35.0","A39STYGRHAZ2WL","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"4656","","image-button-response","36","273000","0.0-36.0","A39STYGRHAZ2WL","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3409","","image-button-response","37","276411","0.0-37.0","A39STYGRHAZ2WL","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"463","","image-button-response","38","276875","0.0-38.0-0.0","A39STYGRHAZ2WL","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"31558","","image-button-response","39","308435","0.0-39.0-0.0","A39STYGRHAZ2WL","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","308949","0.0-40.0","A39STYGRHAZ2WL","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","31","I like the texture.","Allison,Kara,Rose,Leslie,Mary,Jen","enjoy the different shades of blue,22,20,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I like the overlapping of brushes,41,220,20","I can feel a rainy day from this painting,18,120,20","Jen","I can feel a rainy day from this painting,18,120,20","Mary","I like the overlapping of brushes,41,220,20","Allison","enjoy the different shades of blue,22,20,20","0"
"5299","","image-button-response_instructions","41","314252","0.0-41.0","A39STYGRHAZ2WL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12585","","survey-likert","42","326839","0.0-42.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4698","","survey-text","43","331543","0.0-43.0-0.0","A39STYGRHAZ2WL","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
