"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"613725","external_page_harvard.html","external-html","0","613833","0.0-0.0","A39UNTUXW8XO8T","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1277","","image-button-response","1","615112","0.0-1.0","A39UNTUXW8XO8T","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1552","","image-button-response","2","616668","0.0-2.0-0.0","A39UNTUXW8XO8T","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5897","","survey-text","3","622566","0.0-3.0-0.0","A39UNTUXW8XO8T","","","","{""Q0"":""A39UNTUXW8XO8T""}","","","","","","","","","","","","","","","","","","","","","","",""
"15926","","image-button-response_instructions","4","638494","0.0-4.0","A39UNTUXW8XO8T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9593","","image-button-response_instructions","5","648088","0.0-5.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6444","","image-button-response_instructions","6","654533","0.0-6.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3053","","image-button-response_instructions","7","657587","0.0-7.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4467","","image-button-response_instructions","8","662054","0.0-8.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3649","","image-button-response_instructions","9","665704","0.0-9.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2429","","image-button-response_instructions","10","668134","0.0-10.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2779","","image-button-response_instructions","11","670915","0.0-11.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3148","","image-button-response_instructions","12","674063","0.0-12.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4928","","image-button-response_instructions","13","678993","0.0-13.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4007","","image-button-response_instructions","14","683000","0.0-14.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2185","","image-button-response_instructions","15","685187","0.0-15.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5795","","image-button-response_instructions","16","690982","0.0-16.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2859","","image-button-response_instructions","17","693842","0.0-17.0","A39UNTUXW8XO8T","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1305","","image-button-response_instructions","18","695149","0.0-18.0","A39UNTUXW8XO8T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5167","","survey-text","19","700334","0.0-19.0-0.0","A39UNTUXW8XO8T","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"11721","","survey-text","20","712056","0.0-20.0-0.0","A39UNTUXW8XO8T","","","","{""Q0"":""nice colors, sunset like""}","","","","","","","","","","","","","","","","","","","","","","",""
"2169.2999999970198","","image-slider-response","21","714227","0.0-21.0","A39UNTUXW8XO8T","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","719230","0.0-22.0","A39UNTUXW8XO8T","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"2089","","image-button-response","23","721321","0.0-23.0","A39UNTUXW8XO8T","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4851","","image-button-response","24","726173","0.0-24.0-0.0","A39UNTUXW8XO8T","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"585","","image-button-response","25","726759","0.0-25.0-0.0","A39UNTUXW8XO8T","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
