"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"12025","external_page_harvard.html","external-html","0","13553","0.0-0.0","A3AX7TD0RPYKF8","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2230","","image-button-response","1","15786","0.0-1.0","A3AX7TD0RPYKF8","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2788","","image-button-response","2","18584","0.0-2.0-0.0","A3AX7TD0RPYKF8","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"13195","","survey-text","3","31782","0.0-3.0-0.0","A3AX7TD0RPYKF8","","","","{""Q0"":""A3AX7TD0RPYKF8""}","","","","","","","","","","","","","","","","","","","","","","",""
"9688","","image-button-response_instructions","4","41474","0.0-4.0","A3AX7TD0RPYKF8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18854","","image-button-response_instructions","5","60331","0.0-5.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17509","","image-button-response_instructions","6","77842","0.0-6.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8457","","image-button-response_instructions","7","86301","0.0-7.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18497","","image-button-response_instructions","8","104800","0.0-8.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7181","","image-button-response_instructions","9","111982","0.0-9.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8907","","image-button-response_instructions","10","120891","0.0-10.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4171","","image-button-response_instructions","11","125064","0.0-11.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11765","","image-button-response_instructions","12","136831","0.0-12.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2534","","image-button-response_instructions","13","139368","0.0-13.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15180","","image-button-response_instructions","14","154550","0.0-14.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4352","","image-button-response_instructions","15","158904","0.0-15.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20446","","image-button-response_instructions","16","179351","0.0-16.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4950","","image-button-response_instructions","17","184302","0.0-17.0","A3AX7TD0RPYKF8","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4104","","image-button-response_instructions","18","188408","0.0-18.0","A3AX7TD0RPYKF8","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21339","","survey-text","19","209768","0.0-19.0-0.0","A3AX7TD0RPYKF8","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"25761","","survey-text","20","235531","0.0-20.0-0.0","A3AX7TD0RPYKF8","","","","{""Q0"":""Light colors, cheerful""}","","","","","","","","","","","","","","","","","","","","","","",""
"80327.39999997616","","image-slider-response","21","315864","0.0-21.0","A3AX7TD0RPYKF8","","","","","10","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","320884","0.0-22.0","A3AX7TD0RPYKF8","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"17301","","image-button-response","23","338187","0.0-23.0","A3AX7TD0RPYKF8","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"5283","","image-button-response","24","343473","0.0-24.0-0.0","A3AX7TD0RPYKF8","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"8854","","image-button-response","25","352331","0.0-25.0-0.0","A3AX7TD0RPYKF8","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
