"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"146831","external_page_harvard.html","external-html","0","147146","0.0-0.0","A3B6TQSAA8YQ9T","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2057","","image-button-response","1","149208","0.0-1.0","A3B6TQSAA8YQ9T","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2441","","image-button-response","2","151661","0.0-2.0-0.0","A3B6TQSAA8YQ9T","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8303","","survey-text","3","159967","0.0-3.0-0.0","A3B6TQSAA8YQ9T","","","","{""Q0"":""A3B6TQSAA8YQ9T""}","","","","","","","","","","","","","","","","","","","","","","",""
"7173","","image-button-response_instructions","4","167144","0.0-4.0","A3B6TQSAA8YQ9T","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"49427","","image-button-response_instructions","5","216574","0.0-5.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"23036","","image-button-response_instructions","6","239615","0.0-6.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14323","","image-button-response_instructions","7","253942","0.0-7.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"38905","","image-button-response_instructions","8","292851","0.0-8.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6525","","image-button-response_instructions","9","299381","0.0-9.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7568","","image-button-response_instructions","10","306952","0.0-10.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6748","","image-button-response_instructions","11","313704","0.0-11.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14005","","image-button-response_instructions","12","327714","0.0-12.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"36448","","image-button-response_instructions","13","364165","0.0-13.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16779","","image-button-response_instructions","14","380948","0.0-14.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10686","","image-button-response_instructions","15","391637","0.0-15.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18088","","image-button-response_instructions","16","409728","0.0-16.0","A3B6TQSAA8YQ9T","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
