"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"303894","external_page_harvard.html","external-html","0","304032","0.0-0.0","A3BWZ6V34W8SXX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2518","","image-button-response","1","306553","0.0-1.0","A3BWZ6V34W8SXX","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"13638","","image-button-response","2","320198","0.0-2.0-0.0","A3BWZ6V34W8SXX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"14784","","survey-text","3","334985","0.0-3.0-0.0","A3BWZ6V34W8SXX","","","","{""Q0"":""A3BWZ6V34W8SXX""}","","","","","","","","","","","","","","","","","","","","","","",""
"10555","","image-button-response_instructions","4","345543","0.0-4.0","A3BWZ6V34W8SXX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15798","","image-button-response_instructions","5","361343","0.0-5.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6699","","image-button-response_instructions","6","368043","0.0-6.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5506","","image-button-response_instructions","7","373551","0.0-7.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"74809","","image-button-response_instructions","8","448362","0.0-8.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2580","","image-button-response_instructions","9","450943","0.0-9.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1804","","image-button-response_instructions","10","452748","0.0-10.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1752","","image-button-response_instructions","11","454501","0.0-11.0","A3BWZ6V34W8SXX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
