"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9639","external_page_harvard.html","external-html","0","9764","0.0-0.0","A3DIISD224GRPL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1809","","image-button-response","1","11582","0.0-1.0","A3DIISD224GRPL","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3305","","image-button-response","2","14900","0.0-2.0-0.0","A3DIISD224GRPL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8635","","survey-text","3","23543","0.0-3.0-0.0","A3DIISD224GRPL","","","","{""Q0"":""A3DIISD224GRPL""}","","","","","","","","","","","","","","","","","","","","","","",""
"7159","","image-button-response_instructions","4","30707","0.0-4.0","A3DIISD224GRPL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14518","","image-button-response_instructions","5","45231","0.0-5.0","A3DIISD224GRPL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8449","","image-button-response_instructions","6","53688","0.0-6.0","A3DIISD224GRPL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7724","","image-button-response_instructions","7","61419","0.0-7.0","A3DIISD224GRPL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11298","","image-button-response_instructions","8","72726","0.0-8.0","A3DIISD224GRPL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4357","","image-button-response_instructions","9","77091","0.0-9.0","A3DIISD224GRPL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9188","","image-button-response_instructions","10","86288","0.0-10.0","A3DIISD224GRPL","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5476","","image-button-response_instructions","11","91775","0.0-11.0","A3DIISD224GRPL","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11275","","image-button-response_instructions","12","103054","0.0-12.0","A3DIISD224GRPL","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13161","","image-button-response_instructions","13","116220","0.0-13.0","A3DIISD224GRPL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
