"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"5735","external_page_harvard.html","external-html","0","5861","0.0-0.0","A3E76V59BKGKCQ","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1618","","image-button-response","1","7484","0.0-1.0","A3E76V59BKGKCQ","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3051","","image-button-response","2","10555","0.0-2.0-0.0","A3E76V59BKGKCQ","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7761","","survey-text","3","18318","0.0-3.0-0.0","A3E76V59BKGKCQ","","","","{""Q0"":""A3E76V59BKGKCQ""}","","","","","","","","","","","","","","","","","","","","","","",""
"43982","","image-button-response_instructions","4","62304","0.0-4.0","A3E76V59BKGKCQ","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9400","","image-button-response_instructions","5","71707","0.0-5.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5183","","image-button-response_instructions","6","76892","0.0-6.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3862","","image-button-response_instructions","7","80755","0.0-7.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9061","","image-button-response_instructions","8","89823","0.0-8.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3453","","image-button-response_instructions","9","93283","0.0-9.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3813","","image-button-response_instructions","10","97099","0.0-10.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10032","","image-button-response_instructions","11","107134","0.0-11.0","A3E76V59BKGKCQ","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
