"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"1333296","external_page_harvard.html","external-html","0","1333454","0.0-0.0","A3EGV6547B8F0B","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3137","","image-button-response","1","1336596","0.0-1.0","A3EGV6547B8F0B","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5468","","image-button-response","2","1342077","0.0-2.0-0.0","A3EGV6547B8F0B","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"15678","","survey-text","3","1357759","0.0-3.0-0.0","A3EGV6547B8F0B","","","","{""Q0"":""A3EGV6547B8F0B""}","","","","","","","","","","","","","","","","","","","","","","",""
"16291","","image-button-response_instructions","4","1374054","0.0-4.0","A3EGV6547B8F0B","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25613","","image-button-response_instructions","5","1399669","0.0-5.0","A3EGV6547B8F0B","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19221","","image-button-response_instructions","6","1418893","0.0-6.0","A3EGV6547B8F0B","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14312","","image-button-response_instructions","7","1433207","0.0-7.0","A3EGV6547B8F0B","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12103","","image-button-response_instructions","8","1445314","0.0-8.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8567","","image-button-response_instructions","9","1453884","0.0-9.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7858","","image-button-response_instructions","10","1461744","0.0-10.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7553","","image-button-response_instructions","11","1469299","0.0-11.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13471","","image-button-response_instructions","12","1482772","0.0-12.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30295","","image-button-response_instructions","13","1513070","0.0-13.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7894","","image-button-response_instructions","14","1520967","0.0-14.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8033","","image-button-response_instructions","15","1529003","0.0-15.0","A3EGV6547B8F0B","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"25690","","image-button-response_instructions","16","1554696","0.0-16.0","A3EGV6547B8F0B","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"30258","","image-button-response_instructions","17","1584956","0.0-17.0","A3EGV6547B8F0B","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3289","","image-button-response_instructions","18","1588248","0.0-18.0","A3EGV6547B8F0B","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11801","","survey-text","19","1600118","0.0-19.0-0.0","A3EGV6547B8F0B","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
