"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"18913","external_page_harvard.html","external-html","0","18985","0.0-0.0","A3F2W4HZRDKNW7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1661","","image-button-response","1","20649","0.0-1.0","A3F2W4HZRDKNW7","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1708","","image-button-response","2","22364","0.0-2.0-0.0","A3F2W4HZRDKNW7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6630","","survey-text","3","28997","0.0-3.0-0.0","A3F2W4HZRDKNW7","","","","{""Q0"":""A3F2W4HZRDKNW7""}","","","","","","","","","","","","","","","","","","","","","","",""
"6880","","image-button-response_instructions","4","35880","0.0-4.0","A3F2W4HZRDKNW7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16981","","image-button-response_instructions","5","52863","0.0-5.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5930","","image-button-response_instructions","6","58794","0.0-6.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11258","","image-button-response_instructions","7","70054","0.0-7.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7136","","image-button-response_instructions","8","77191","0.0-8.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6945","","image-button-response_instructions","9","84138","0.0-9.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1691","","image-button-response_instructions","10","85831","0.0-10.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2548","","image-button-response_instructions","11","88381","0.0-11.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4451","","image-button-response_instructions","12","92834","0.0-12.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21491","","image-button-response_instructions","13","114326","0.0-13.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8058","","image-button-response_instructions","14","122387","0.0-14.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7275","","image-button-response_instructions","15","129664","0.0-15.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11784","","image-button-response_instructions","16","141449","0.0-16.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5032","","image-button-response_instructions","17","146485","0.0-17.0","A3F2W4HZRDKNW7","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1816","","image-button-response_instructions","18","148302","0.0-18.0","A3F2W4HZRDKNW7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9297","","survey-text","19","157640","0.0-19.0-0.0","A3F2W4HZRDKNW7","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"16057","","survey-text","20","173698","0.0-20.0-0.0","A3F2W4HZRDKNW7","","","","{""Q0"":""This piece is ugly.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3229","","image-slider-response","21","176932","0.0-21.0","A3F2W4HZRDKNW7","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","181952","0.0-22.0","A3F2W4HZRDKNW7","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"13435","","image-button-response","23","195390","0.0-23.0","A3F2W4HZRDKNW7","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2547","","image-button-response","24","197939","0.0-24.0-0.0","A3F2W4HZRDKNW7","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"979","","image-button-response","25","198921","0.0-25.0-0.0","A3F2W4HZRDKNW7","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","199931","0.0-26.0","A3F2W4HZRDKNW7","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-50","This piece is ugly.","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Daniel","It looks like a murder scene.,-48,100,20","Ben","This color reminds me of poo,-46,60,20","Adam","Seems like doodles,-20,20,20","0"
"13586","","survey-text","27","213534","0.0-27.0-0.0","A3F2W4HZRDKNW7","","","","{""Q0"":""I enjoy this piece.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2822","","image-slider-response","28","216358","0.0-28.0","A3F2W4HZRDKNW7","","","","","31","","","","","","","","","","","","","","","","","","","","","",""
"1792","","image-button-response","29","221362","0.0-29.0","A3F2W4HZRDKNW7","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"5629","","image-button-response","30","226995","0.0-30.0","A3F2W4HZRDKNW7","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1328","","image-button-response","31","228325","0.0-31.0-0.0","A3F2W4HZRDKNW7","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
