"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"45138","external_page_harvard.html","external-html","0","45243","0.0-0.0","A3KCG60100K3Y5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1704","","image-button-response","1","46949","0.0-1.0","A3KCG60100K3Y5","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3146","","image-button-response","2","50101","0.0-2.0-0.0","A3KCG60100K3Y5","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"16208","","survey-text","3","66311","0.0-3.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""A3KCG60100K3Y5""}","","","","","","","","","","","","","","","","","","","","","","",""
"5604","","image-button-response_instructions","4","71917","0.0-4.0","A3KCG60100K3Y5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28182","","image-button-response_instructions","5","100101","0.0-5.0","A3KCG60100K3Y5","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15302","","image-button-response_instructions","6","115405","0.0-6.0","A3KCG60100K3Y5","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7526","","image-button-response_instructions","7","122933","0.0-7.0","A3KCG60100K3Y5","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7520","","image-button-response_instructions","8","130455","0.0-8.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7817","","image-button-response_instructions","9","138273","0.0-9.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3421","","image-button-response_instructions","10","141695","0.0-10.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5083","","image-button-response_instructions","11","146779","0.0-11.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6428","","image-button-response_instructions","12","153209","0.0-12.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7000","","image-button-response_instructions","13","160211","0.0-13.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5406","","image-button-response_instructions","14","165619","0.0-14.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3784","","image-button-response_instructions","15","169405","0.0-15.0","A3KCG60100K3Y5","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6002","","image-button-response_instructions","16","175409","0.0-16.0","A3KCG60100K3Y5","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6184","","image-button-response_instructions","17","181595","0.0-17.0","A3KCG60100K3Y5","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2101","","image-button-response_instructions","18","183697","0.0-18.0","A3KCG60100K3Y5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9441","","survey-text","19","193162","0.0-19.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12498","","survey-text","20","205663","0.0-20.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""It just okay.""}","","","","","","","","","","","","","","","","","","","","","","",""
"6936.899999976158","","image-slider-response","21","212602","0.0-21.0","A3KCG60100K3Y5","","","","","-24","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","217609","0.0-22.0","A3KCG60100K3Y5","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"733","","image-button-response","23","218347","0.0-23.0","A3KCG60100K3Y5","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1045","","image-button-response","24","219395","0.0-24.0-0.0","A3KCG60100K3Y5","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1345","","image-button-response","25","220743","0.0-25.0-0.0","A3KCG60100K3Y5","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","221745","0.0-26.0","A3KCG60100K3Y5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-24","It just okay.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Jen","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"8934","","survey-text","27","230696","0.0-27.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""plain""}","","","","","","","","","","","","","","","","","","","","","","",""
"10362","","survey-text","28","243148","0.0-27.1-0.1","A3KCG60100K3Y5","","","","{""Q0"":""kind of plain""}","","","","","","","","","","","","","","","","","","","","","","",""
"8143.700000047684","","image-slider-response","29","251294","0.0-28.0","A3KCG60100K3Y5","","","","","-28","","","","","","","","","","","","","","","","","","","","","",""
"3942","","image-button-response","30","256298","0.0-29.0","A3KCG60100K3Y5","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2180","","image-button-response","31","258482","0.0-30.0","A3KCG60100K3Y5","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"9006","","image-button-response","32","267491","0.0-31.0-0.0","A3KCG60100K3Y5","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2282","","image-button-response","33","269775","0.0-32.0-0.0","A3KCG60100K3Y5","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","34","271278","0.0-33.0","A3KCG60100K3Y5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-1","img_art/ins/2.jpg","-28","kind of plain","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Allison","I don't have strong feelings about this,10,20,20","Kara","I like the blocks of color arrangements,30,160,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","0"
"13989","","survey-text","35","285285","0.0-34.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""kind of interesting""}","","","","","","","","","","","","","","","","","","","","","","",""
"6244.100000023842","","image-slider-response","36","291531","0.0-35.0","A3KCG60100K3Y5","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"4619","","image-button-response","37","296534","0.0-36.0","A3KCG60100K3Y5","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1143","","image-button-response","38","297681","0.0-37.0","A3KCG60100K3Y5","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2779","","image-button-response","39","300463","0.0-38.0-0.0","A3KCG60100K3Y5","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3676","","image-button-response","40","304142","0.0-39.0-0.0","A3KCG60100K3Y5","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","41","304646","0.0-40.0","A3KCG60100K3Y5","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","0","img_art/ins/3.jpg","20","kind of interesting","Allison,Kara,Mary,Leslie,Erika,Rose","enjoy the different shades of blue,22,20,20","calming blue is very nice,36,160,20","I like the overlapping of brushes,41,220,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","My daily routine, it's depressing,-20,240,20","Allison","enjoy the different shades of blue,22,20,20","Leslie","It's an alright work,15,200,20","Mary","I like the overlapping of brushes,41,220,20","0"
"3025","","image-button-response_instructions","42","307689","0.0-41.0","A3KCG60100K3Y5","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16664","","survey-likert","43","324355","0.0-42.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"7280","","survey-text","44","331643","0.0-43.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"10646","","survey-text","45","342291","0.0-44.0-0.0","A3KCG60100K3Y5","","","","{""Q0"":""kind of creepy""}","","","","","","","","","","","","","","","","","","","","","","",""
