"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"16115","external_page_harvard.html","external-html","0","16293","0.0-0.0","A3KU7DD8Q1NQ7P","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1739","","image-button-response","1","18034","0.0-1.0","A3KU7DD8Q1NQ7P","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"3197","","image-button-response","2","21236","0.0-2.0-0.0","A3KU7DD8Q1NQ7P","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8556","","survey-text","3","29794","0.0-3.0-0.0","A3KU7DD8Q1NQ7P","","","","{""Q0"":""A3KU7DD8Q1NQ7P""}","","","","","","","","","","","","","","","","","","","","","","",""
"6166","","image-button-response_instructions","4","35963","0.0-4.0","A3KU7DD8Q1NQ7P","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13471","","image-button-response_instructions","5","49435","0.0-5.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8141","","image-button-response_instructions","6","57577","0.0-6.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4193","","image-button-response_instructions","7","61772","0.0-7.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6455","","image-button-response_instructions","8","68227","0.0-8.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4738","","image-button-response_instructions","9","72967","0.0-9.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5305","","image-button-response_instructions","10","78274","0.0-10.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4411","","image-button-response_instructions","11","82688","0.0-11.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4917","","image-button-response_instructions","12","87608","0.0-12.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9919","","image-button-response_instructions","13","97528","0.0-13.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6915","","image-button-response_instructions","14","104445","0.0-14.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4805","","image-button-response_instructions","15","109250","0.0-15.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8555","","image-button-response_instructions","16","117806","0.0-16.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4999","","image-button-response_instructions","17","122806","0.0-17.0","A3KU7DD8Q1NQ7P","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1809","","image-button-response_instructions","18","124617","0.0-18.0","A3KU7DD8Q1NQ7P","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8041","","survey-text","19","132682","0.0-19.0-0.0","A3KU7DD8Q1NQ7P","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17600","","survey-text","20","150285","0.0-20.0-0.0","A3KU7DD8Q1NQ7P","","","","{""Q0"":""Very bland . Not worth hanging on the wall""}","","","","","","","","","","","","","","","","","","","","","","",""
"4732","","image-slider-response","21","155022","0.0-21.0","A3KU7DD8Q1NQ7P","","","","","-26","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","160027","0.0-22.0","A3KU7DD8Q1NQ7P","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
