"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9764","external_page_harvard.html","external-html","0","9896","0.0-0.0","A3MD34XEB4H6JF","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3410","","image-button-response","1","13308","0.0-1.0","A3MD34XEB4H6JF","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2091","","image-button-response","2","15404","0.0-2.0-0.0","A3MD34XEB4H6JF","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"2983","","survey-text","3","18388","0.0-3.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""A3MD34XEB4H6JF""}","","","","","","","","","","","","","","","","","","","","","","",""
"10245","","image-button-response_instructions","4","28634","0.0-4.0","A3MD34XEB4H6JF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15351","","image-button-response_instructions","5","43987","0.0-5.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6518","","image-button-response_instructions","6","50507","0.0-6.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6661","","image-button-response_instructions","7","57168","0.0-7.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6450","","image-button-response_instructions","8","63618","0.0-8.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5323","","image-button-response_instructions","9","68942","0.0-9.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3955","","image-button-response_instructions","10","72898","0.0-10.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3933","","image-button-response_instructions","11","76832","0.0-11.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5891","","image-button-response_instructions","12","82725","0.0-12.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"21311","","image-button-response_instructions","13","104037","0.0-13.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4923","","image-button-response_instructions","14","108960","0.0-14.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4942","","image-button-response_instructions","15","113903","0.0-15.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7396","","image-button-response_instructions","16","121301","0.0-16.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4008","","image-button-response_instructions","17","125309","0.0-17.0","A3MD34XEB4H6JF","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1911","","image-button-response_instructions","18","127221","0.0-18.0","A3MD34XEB4H6JF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9610","","survey-text","19","136869","0.0-19.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14001","","survey-text","20","150871","0.0-20.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""Beautiful and hopeful""}","","","","","","","","","","","","","","","","","","","","","","",""
"4261.5","","image-slider-response","21","155135","0.0-21.0","A3MD34XEB4H6JF","","","","","43","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","160140","0.0-22.0","A3MD34XEB4H6JF","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3530","","image-button-response","23","163673","0.0-23.0","A3MD34XEB4H6JF","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1162","","image-button-response","24","164839","0.0-24.0-0.0","A3MD34XEB4H6JF","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"9649","","image-button-response","25","174491","0.0-25.0-0.0","A3MD34XEB4H6JF","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","174995","0.0-26.0","A3MD34XEB4H6JF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","43","Beautiful and hopeful","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Erika","I like the sophisticated brushwork,40,100,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"19701","","survey-text","27","194705","0.0-27.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""Interesting and thoughtful, it's also somehow positive.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3636.899999976158","","image-slider-response","28","198344","0.0-28.0","A3MD34XEB4H6JF","","","","","14","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","203348","0.0-29.0","A3MD34XEB4H6JF","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"630","","image-button-response","30","203980","0.0-30.0","A3MD34XEB4H6JF","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"998","","image-button-response","31","204980","0.0-31.0-0.0","A3MD34XEB4H6JF","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1285","","image-button-response","32","206268","0.0-32.0-0.0","A3MD34XEB4H6JF","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","207282","0.0-33.0","A3MD34XEB4H6JF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","14","Interesting and thoughtful, it's also somehow positive.","Allison,Kara,Katie,Jenna,Erika,Jen","I don't have strong feelings about this,10,20,20","I like the blocks of color arrangements,30,160,20","too much color!,-28,180,20","One of my pet peevs,-48,140,20","I would never be able to compose a sophisticated pallete like this,48,100,20","It reminds me of a fireplace,36,120,20","Kara","I like the blocks of color arrangements,30,160,20","Erika","I would never be able to compose a sophisticated pallete like this,48,100,20","Jen","It reminds me of a fireplace,36,120,20","0"
"17639","","survey-text","34","224924","0.0-34.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""Wow, I love the colors and they make me feel kind of happy and hopeful.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4459.800000011921","","image-slider-response","35","229386","0.0-35.0","A3MD34XEB4H6JF","","","","","30","","","","","","","","","","","","","","","","","","","","","",""
"4109","","image-button-response","36","234391","0.0-36.0","A3MD34XEB4H6JF","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"151","","image-button-response","37","234544","0.0-37.0","A3MD34XEB4H6JF","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"748","","image-button-response","38","235294","0.0-38.0-0.0","A3MD34XEB4H6JF","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1222","","image-button-response","39","236517","0.0-39.0-0.0","A3MD34XEB4H6JF","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","237520","0.0-40.0","A3MD34XEB4H6JF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","30","Wow, I love the colors and they make me feel kind of happy and hopeful.","Mary,Kara,Rose,Leslie,Erika,Jen","I like the overlapping of brushes,41,220,20","calming blue is very nice,36,160,20","My daily routine, it's depressing,-20,240,20","It's an alright work,15,200,20","I feel connected to the artist,40,100,20","I can feel a rainy day from this painting,18,120,20","Mary","I like the overlapping of brushes,41,220,20","Kara","calming blue is very nice,36,160,20","Erika","I feel connected to the artist,40,100,20","0"
"7344","","image-button-response_instructions","41","244870","0.0-41.0","A3MD34XEB4H6JF","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8239","","survey-likert","42","253111","0.0-42.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"3985","","survey-text","43","257107","0.0-43.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"8273","","survey-text","44","265382","0.0-44.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""Mysterious and beautiful""}","","","","","","","","","","","","","","","","","","","","","","",""
"2741.5","","image-slider-response","45","268126","0.0-45.0","A3MD34XEB4H6JF","","","","","17","","","","","","","","","","","","","","","","","","","","","",""
"4713","","image-button-response","46","273167","0.0-46.0","A3MD34XEB4H6JF","img_art/9.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"983","","image-button-response","47","274152","0.0-47.0","A3MD34XEB4H6JF","img_art/9.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1222","","image-button-response","48","275376","0.0-48.0-0.0","A3MD34XEB4H6JF","img_art/9.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"3574","","image-button-response","49","278952","0.0-49.0-0.0","A3MD34XEB4H6JF","img_art/9.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","50","279464","0.0-50.0","A3MD34XEB4H6JF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/9.jpg","17","Mysterious and beautiful","Jordan,Kylie,Chloe,Gabriela,Dominique,Emma","I just dont like it, no reaction from me at all,-50,20,20","Peaceful dreaming,40,300,20","Cheesy. Looks unprofessional,-20,220,20","This photo make me feel peaceful. It looks like a woman sleeping in a garden,42,140,20","This speaks to me like a personalities and sides and not all are nice,19,400,20","Feels angry .....,-40,60,20","Kylie","Peaceful dreaming,40,300,20","Gabriela","This photo make me feel peaceful. It looks like a woman sleeping in a garden,42,140,20","Dominique","This speaks to me like a personalities and sides and not all are nice,19,400,20","0"
"15996","","survey-text","51","295470","0.0-51.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""It's more mental than feeling, but it's also beautiful.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2596.199999988079","","image-slider-response","52","298068","0.0-52.0","A3MD34XEB4H6JF","","","","","3","","","","","","","","","","","","","","","","","","","","","",""
"4085","","image-button-response","53","303070","0.0-53.0","A3MD34XEB4H6JF","img_art/19.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"347","","image-button-response","54","303418","0.0-54.0","A3MD34XEB4H6JF","img_art/19.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1606","","image-button-response","55","305026","0.0-55.0-0.0","A3MD34XEB4H6JF","img_art/19.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"4687","","image-button-response","56","309714","0.0-56.0-0.0","A3MD34XEB4H6JF","img_art/19.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","57","310716","0.0-57.0","A3MD34XEB4H6JF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/19.jpg","3","It's more mental than feeling, but it's also beautiful.","Abigail,Kylie,Katie,Gabriela,Dominique,Vanessa","I dont like the gray shadows, ruins it,-7,20,20","Reminds me of a quaint little town I once visited in Italy,50,300,20","Too busy, makes me anxious and frustrated. Lots of movement in the brush strokes.,-9,160,20","it looks messy and non-unique.,-9,140,20","I really like the colors and feel of this one and alot of life,41,400,20","Again, this is too abstract.,-10,380,20","Kylie","Reminds me of a quaint little town I once visited in Italy,50,300,20","Dominique","I really like the colors and feel of this one and alot of life,41,400,20","Abigail","I dont like the gray shadows, ruins it,-7,20,20","0"
"12612","","survey-text","58","323332","0.0-58.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""Wow, it looks like people in the universe.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2538.0999999940395","","image-slider-response","59","325872","0.0-59.0","A3MD34XEB4H6JF","","","","","13","","","","","","","","","","","","","","","","","","","","","",""
"4395","","image-button-response","60","330874","0.0-60.0","A3MD34XEB4H6JF","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"376","","image-button-response","61","331254","0.0-61.0","A3MD34XEB4H6JF","img_art/23.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1939","","image-button-response","62","333194","0.0-62.0-0.0","A3MD34XEB4H6JF","img_art/23.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1840","","image-button-response","63","335036","0.0-63.0-0.0","A3MD34XEB4H6JF","img_art/23.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","64","336538","0.0-64.0","A3MD34XEB4H6JF","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","3","img_art/23.jpg","13","Wow, it looks like people in the universe.","Abigail,Kylie,Courtney,Cheyenne,Dominique,Caitlin","I like the contrast,29,20,20","Universal celebration,40,300,20","Looks like fish fossils,12,280,20","Solid colors but the white throws it off for me.,4,200,20","Very happy , busy , free, and full of Hope,28,400,20","SOME thought was put into this one.,5,80,20","Kylie","Universal celebration,40,300,20","Dominique","Very happy , busy , free, and full of Hope,28,400,20","Abigail","I like the contrast,29,20,20","0"
"9723","","survey-text","65","346264","0.0-65.0-0.0","A3MD34XEB4H6JF","","","","{""Q0"":""Nice, it's calm and intriguing.""}","","","","","","","","","","","","","","","","","","","","","","",""
"2467.9000000059605","","image-slider-response","66","348734","0.0-66.0","A3MD34XEB4H6JF","","","","","5","","","","","","","","","","","","","","","","","","","","","",""
"4113","","image-button-response","67","353737","0.0-67.0","A3MD34XEB4H6JF","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"292","","image-button-response","68","354031","0.0-68.0","A3MD34XEB4H6JF","img_art/10.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1099","","image-button-response","69","355133","0.0-69.0-0.0","A3MD34XEB4H6JF","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"894","","image-button-response","70","356029","0.0-70.0-0.0","A3MD34XEB4H6JF","img_art/10.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
