"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"17444","external_page_harvard.html","external-html","0","17704","0.0-0.0","A3MYRZ02DWKZW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1360","","image-button-response","1","19066","0.0-1.0","A3MYRZ02DWKZW","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1367","","image-button-response","2","20437","0.0-2.0-0.0","A3MYRZ02DWKZW","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"3641","","survey-text","3","24081","0.0-3.0-0.0","A3MYRZ02DWKZW","","","","{""Q0"":""A3MYRZ02DWKZW""}","","","","","","","","","","","","","","","","","","","","","","",""
"3540","","image-button-response_instructions","4","27623","0.0-4.0","A3MYRZ02DWKZW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"20052","","image-button-response_instructions","5","47678","0.0-5.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7616","","image-button-response_instructions","6","55296","0.0-6.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2720","","image-button-response_instructions","7","58017","0.0-7.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6247","","image-button-response_instructions","8","64266","0.0-8.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5693","","image-button-response_instructions","9","69959","0.0-9.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2735","","image-button-response_instructions","10","72696","0.0-10.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"894","","image-button-response_instructions","11","73592","0.0-11.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1699","","image-button-response_instructions","12","75291","0.0-12.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6410","","image-button-response_instructions","13","81702","0.0-13.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8812","","image-button-response_instructions","14","90514","0.0-14.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8982","","image-button-response_instructions","15","99498","0.0-15.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6979","","image-button-response_instructions","16","106478","0.0-16.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7087","","image-button-response_instructions","17","113566","0.0-17.0","A3MYRZ02DWKZW","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1982","","image-button-response_instructions","18","115548","0.0-18.0","A3MYRZ02DWKZW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9946","","survey-text","19","125521","0.0-19.0-0.0","A3MYRZ02DWKZW","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"36652","","survey-text","20","162175","0.0-20.0-0.0","A3MYRZ02DWKZW","","","","{""Q0"":""reminds me arrangement of flora in spring time""}","","","","","","","","","","","","","","","","","","","","","","",""
"3132.4000000059605","","image-slider-response","21","165311","0.0-21.0","A3MYRZ02DWKZW","","","","","41","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","170315","0.0-22.0","A3MYRZ02DWKZW","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1070","","image-button-response","23","171387","0.0-23.0","A3MYRZ02DWKZW","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"6810","","image-button-response","24","178199","0.0-24.0-0.0","A3MYRZ02DWKZW","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1970","","image-button-response","25","180171","0.0-25.0-0.0","A3MYRZ02DWKZW","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"4778","","image-button-response","26","187994","0.0-25.1-0.1","A3MYRZ02DWKZW","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
