"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"8802","external_page_harvard.html","external-html","0","8884","0.0-0.0","A3NG205QJ48IM4","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1994","","image-button-response","1","10880","0.0-1.0","A3NG205QJ48IM4","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2910","","image-button-response","2","13796","0.0-2.0-0.0","A3NG205QJ48IM4","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"11680","","survey-text","3","25477","0.0-3.0-0.0","A3NG205QJ48IM4","","","","{""Q0"":""A3NG205QJ48IM4""}","","","","","","","","","","","","","","","","","","","","","","",""
"4324","","image-button-response_instructions","4","29804","0.0-4.0","A3NG205QJ48IM4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"31753","","image-button-response_instructions","5","61558","0.0-5.0","A3NG205QJ48IM4","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4651","","image-button-response_instructions","6","66211","0.0-6.0","A3NG205QJ48IM4","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6109","","image-button-response_instructions","7","72322","0.0-7.0","A3NG205QJ48IM4","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6117","","image-button-response_instructions","8","78441","0.0-8.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5083","","image-button-response_instructions","9","83525","0.0-9.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3878","","image-button-response_instructions","10","87405","0.0-10.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3407","","image-button-response_instructions","11","90814","0.0-11.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10482","","image-button-response_instructions","12","101297","0.0-12.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12214","","image-button-response_instructions","13","113513","0.0-13.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12017","","image-button-response_instructions","14","125531","0.0-14.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6870","","image-button-response_instructions","15","132402","0.0-15.0","A3NG205QJ48IM4","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10004","","image-button-response_instructions","16","142407","0.0-16.0","A3NG205QJ48IM4","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5069","","image-button-response_instructions","17","147476","0.0-17.0","A3NG205QJ48IM4","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2929","","image-button-response_instructions","18","150407","0.0-18.0","A3NG205QJ48IM4","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8387","","survey-text","19","158821","0.0-19.0-0.0","A3NG205QJ48IM4","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"14187","","survey-text","20","173009","0.0-20.0-0.0","A3NG205QJ48IM4","","","","{""Q0"":""motion and waves""}","","","","","","","","","","","","","","","","","","","","","","",""
"9273.600000023842","","image-slider-response","21","182285","0.0-21.0","A3NG205QJ48IM4","","","","","-42","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","187295","0.0-22.0","A3NG205QJ48IM4","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"8719","","image-button-response","23","196018","0.0-23.0","A3NG205QJ48IM4","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2842","","image-button-response","24","198862","0.0-24.0-0.0","A3NG205QJ48IM4","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"7221","","image-button-response","25","206085","0.0-25.0-0.0","A3NG205QJ48IM4","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","207589","0.0-26.0","A3NG205QJ48IM4","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","-2","img_art/ins/1.jpg","-42","motion and waves","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","Allison","looks like a lot of things going on in the mist,20,20,20","0"
"42058","","survey-text","27","249660","0.0-27.0-0.0","A3NG205QJ48IM4","","","","{""Q0"":""stucco art with many hidden faces and objects""}","","","","","","","","","","","","","","","","","","","","","","",""
"6032","","image-slider-response","28","255695","0.0-28.0","A3NG205QJ48IM4","","","","","-8","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","260709","0.0-29.0","A3NG205QJ48IM4","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"4783","","image-button-response","30","265495","0.0-30.0","A3NG205QJ48IM4","img_art/ins/2.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1572","","image-button-response","31","267069","0.0-31.0-0.0","A3NG205QJ48IM4","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"6727","","image-button-response","32","273799","0.0-32.0-0.0","A3NG205QJ48IM4","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"5232","","image-button-response","33","286612","0.0-32.1-0.1","A3NG205QJ48IM4","img_art/ins/2.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
