"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"120664","external_page_harvard.html","external-html","0","120719","0.0-0.0","A3NLTWZWNTWA34","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78256","","image-button-response","1","198980","0.0-1.0","A3NLTWZWNTWA34","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2082","","image-button-response","2","201070","0.0-2.0-0.0","A3NLTWZWNTWA34","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"7911","","survey-text","3","208984","0.0-3.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""A3NLTWZWNTWA34""}","","","","","","","","","","","","","","","","","","","","","","",""
"3406","","image-button-response_instructions","4","212392","0.0-4.0","A3NLTWZWNTWA34","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6497","","image-button-response_instructions","5","218893","0.0-5.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2777","","image-button-response_instructions","6","221672","0.0-6.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2368","","image-button-response_instructions","7","224042","0.0-7.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5149","","image-button-response_instructions","8","229192","0.0-8.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3296","","image-button-response_instructions","9","232490","0.0-9.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1964","","image-button-response_instructions","10","234457","0.0-10.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1444","","image-button-response_instructions","11","235903","0.0-11.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5834","","image-button-response_instructions","12","241741","0.0-12.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6292","","image-button-response_instructions","13","248035","0.0-13.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5334","","image-button-response_instructions","14","253372","0.0-14.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10177","","image-button-response_instructions","15","263551","0.0-15.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4424","","image-button-response_instructions","16","267977","0.0-16.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2892","","image-button-response_instructions","17","270871","0.0-17.0","A3NLTWZWNTWA34","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2540","","image-button-response_instructions","18","273413","0.0-18.0","A3NLTWZWNTWA34","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5937","","survey-text","19","279382","0.0-19.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"10549","","survey-text","20","289933","0.0-20.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""disorganized. childlike""}","","","","","","","","","","","","","","","","","","","","","","",""
"2868","","image-slider-response","21","292806","0.0-21.0","A3NLTWZWNTWA34","","","","","-25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","297817","0.0-22.0","A3NLTWZWNTWA34","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3107","","image-button-response","23","300928","0.0-23.0","A3NLTWZWNTWA34","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"4777","","image-button-response","24","305709","0.0-24.0-0.0","A3NLTWZWNTWA34","img_art/ins/1.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3331","","image-button-response","25","309045","0.0-25.0-0.0","A3NLTWZWNTWA34","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","310050","0.0-26.0","A3NLTWZWNTWA34","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-25","disorganized. childlike","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Jen","It reminds me of a candy land dream I had,36,120,20","Beth","This color reminds me of poo,-46,60,20","0"
"25625","","survey-text","27","335682","0.0-27.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""The texture is interesting but the colors are awful""}","","","","","","","","","","","","","","","","","","","","","","",""
"2054.7999999998137","","image-slider-response","28","337739","0.0-28.0","A3NLTWZWNTWA34","","","","","-12","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","29","342748","0.0-29.0","A3NLTWZWNTWA34","img_art/ins/2.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"3603","","image-button-response","30","346356","0.0-30.0","A3NLTWZWNTWA34","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"1733","","image-button-response","31","348093","0.0-31.0-0.0","A3NLTWZWNTWA34","img_art/ins/2.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1496","","image-button-response","32","349593","0.0-32.0-0.0","A3NLTWZWNTWA34","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","350095","0.0-33.0","A3NLTWZWNTWA34","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-1","img_art/ins/2.jpg","-12","The texture is interesting but the colors are awful","Katie,Jenna,Beth,Dora,Kara,Jen","too much color!,-28,180,20","One of my pet peevs,-48,140,20","meaningless painting,-45,60,20","looks too angry,-50,80,20","I like the blocks of color arrangements,30,160,20","It reminds me of a fireplace,36,120,20","Dora","looks too angry,-50,80,20","Beth","meaningless painting,-45,60,20","Jenna","One of my pet peevs,-48,140,20","0"
"16960","","survey-text","34","367062","0.0-34.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""Cold. Feels like winter. I can picture birds too""}","","","","","","","","","","","","","","","","","","","","","","",""
"6266.899999999907","","image-slider-response","35","373331","0.0-35.0","A3NLTWZWNTWA34","","","","","11","","","","","","","","","","","","","","","","","","","","","",""
"3621","","image-button-response","36","378340","0.0-36.0","A3NLTWZWNTWA34","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"792","","image-button-response","37","379137","0.0-37.0","A3NLTWZWNTWA34","img_art/ins/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3300","","image-button-response","38","382441","0.0-38.0-0.0","A3NLTWZWNTWA34","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"3028","","image-button-response","39","385474","0.0-39.0-0.0","A3NLTWZWNTWA34","img_art/ins/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","386977","0.0-40.0","A3NLTWZWNTWA34","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","0","img_art/ins/3.jpg","11","Cold. Feels like winter. I can picture birds too","Leslie,Jenna,Beth,Dora,Mary,Rose","It's an alright work,15,200,20","looks like a murder room,-35,140,20","This thing gives me anxiety,-41,60,20","My worst nightmare,-42,80,20","I like the overlapping of brushes,41,220,20","My daily routine, it's depressing,-20,240,20","Jenna","looks like a murder room,-35,140,20","Rose","My daily routine, it's depressing,-20,240,20","Leslie","It's an alright work,15,200,20","0"
"3323","","image-button-response_instructions","41","390309","0.0-41.0","A3NLTWZWNTWA34","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9465","","survey-likert","42","399777","0.0-42.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":"""",""Q1"":0,""Q2"":0}","","","","","","","","","","","","","","","","","","","","","","",""
"4906","","survey-likert","43","406490","0.0-42.1-0.1","A3NLTWZWNTWA34","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"7103","","survey-text","44","413603","0.0-43.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"15931","","survey-text","45","429535","0.0-44.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""What happens when you tell a child to draw a tree""}","","","","","","","","","","","","","","","","","","","","","","",""
"3672.5","","image-slider-response","46","433210","0.0-45.0","A3NLTWZWNTWA34","","","","","-13","","","","","","","","","","","","","","","","","","","","","",""
"4475","","image-button-response","47","438239","0.0-46.0","A3NLTWZWNTWA34","img_art/14.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1049","","image-button-response","48","439292","0.0-47.0","A3NLTWZWNTWA34","img_art/14.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1325","","image-button-response","49","440620","0.0-48.0-0.0","A3NLTWZWNTWA34","img_art/14.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"7792","","image-button-response","50","452727","0.0-48.1-0.1","A3NLTWZWNTWA34","img_art/14.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"2102","","image-button-response","51","454833","0.0-49.0-0.0","A3NLTWZWNTWA34","img_art/14.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1061","","image-button-response","52","459087","0.0-49.1-0.1","A3NLTWZWNTWA34","img_art/14.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","53","460592","0.0-50.0","A3NLTWZWNTWA34","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1500","1","1","img_art/14.jpg","-13","What happens when you tell a child to draw a tree","Cassidy,Autumn,Erica,Chloe,Morgan,Cynthia","Meh. Pleasant to look at. Colors are nice,6,140,20","It's too basic.,23,340,20","positive colours, makes me to look at it and investigate what is going on,27,80,20","Like the brushstrokes but not the composition,9,220,20","Angled, colored, boxy.,10,380,20","unsure and dull feeling,-1,320,20","Cassidy","Meh. Pleasant to look at. Colors are nice,6,140,20","Erica","positive colours, makes me to look at it and investigate what is going on,27,80,20","Autumn","It's too basic.,23,340,20","5"
"8084","","survey-text","54","468683","0.0-51.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""It's too drab and depressing""}","","","","","","","","","","","","","","","","","","","","","","",""
"2997.5","","image-slider-response","55","471683","0.0-52.0","A3NLTWZWNTWA34","","","","","-17","","","","","","","","","","","","","","","","","","","","","",""
"1792","","image-button-response","56","476686","0.0-53.0","A3NLTWZWNTWA34","img_art/26.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1855","","image-button-response","57","478544","0.0-54.0","A3NLTWZWNTWA34","img_art/26.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4185","","image-button-response","58","482732","0.0-55.0-0.0","A3NLTWZWNTWA34","img_art/26.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1923","","image-button-response","59","484659","0.0-56.0-0.0","A3NLTWZWNTWA34","img_art/26.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","60","485663","0.0-57.0","A3NLTWZWNTWA34","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","2","img_art/26.jpg","-17","It's too drab and depressing","Cassidy,Autumn,Erica,Taylor,Amy,Leslie","the trees are cool,1,140,20","Murky, messy, kid like.,-45,340,20","very relaxing and easy going,22,80,20","Makes me want to walk down a cool street,20,340,20","The feeling that I am looking at the world through a dingy filter makes this unpleasant for me.,-20,220,20","It's a cute city scene. I like the trees.,10,380,20","Autumn","Murky, messy, kid like.,-45,340,20","Amy","The feeling that I am looking at the world through a dingy filter makes this unpleasant for me.,-20,220,20","Leslie","It's a cute city scene. I like the trees.,10,380,20","5"
"40262","","survey-text","61","525933","0.0-58.0-0.0","A3NLTWZWNTWA34","","","","{""Q0"":""I like the brush strokes. At first I saw a violin but the longer I look I almost see like a shoe?""}","","","","","","","","","","","","","","","","","","","","","","",""
"10989.400000000373","","image-slider-response","62","536925","0.0-59.0","A3NLTWZWNTWA34","","","","","25","","","","","","","","","","","","","","","","","","","","","",""
"1618","","image-button-response","63","541929","0.0-60.0","A3NLTWZWNTWA34","img_art/10.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"2106","","image-button-response","64","544041","0.0-61.0","A3NLTWZWNTWA34","img_art/10.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1242","","image-button-response","65","545289","0.0-62.0-0.0","A3NLTWZWNTWA34","img_art/10.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"1499","","image-button-response","66","546794","0.0-63.0-0.0","A3NLTWZWNTWA34","img_art/10.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
