"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"13257","external_page_harvard.html","external-html","0","13361","0.0-0.0","A3O39S9T9LRU52","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1267","","image-button-response","1","14630","0.0-1.0","A3O39S9T9LRU52","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2128","","image-button-response","2","16762","0.0-2.0-0.0","A3O39S9T9LRU52","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6506","","survey-text","3","23270","0.0-3.0-0.0","A3O39S9T9LRU52","","","","{""Q0"":""A3O39S9T9LRU52""}","","","","","","","","","","","","","","","","","","","","","","",""
"5386","","image-button-response_instructions","4","28658","0.0-4.0","A3O39S9T9LRU52","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14672","","image-button-response_instructions","5","43331","0.0-5.0","A3O39S9T9LRU52","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8157","","image-button-response_instructions","6","51489","0.0-6.0","A3O39S9T9LRU52","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11332","","image-button-response_instructions","7","62823","0.0-7.0","A3O39S9T9LRU52","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3185","","image-button-response_instructions","8","66009","0.0-8.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6709","","image-button-response_instructions","9","72719","0.0-9.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6432","","image-button-response_instructions","10","79153","0.0-10.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4087","","image-button-response_instructions","11","83243","0.0-11.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7891","","image-button-response_instructions","12","91136","0.0-12.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16633","","image-button-response_instructions","13","107770","0.0-13.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9492","","image-button-response_instructions","14","117263","0.0-14.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4542","","image-button-response_instructions","15","121806","0.0-15.0","A3O39S9T9LRU52","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7713","","image-button-response_instructions","16","129520","0.0-16.0","A3O39S9T9LRU52","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3697","","image-button-response_instructions","17","133218","0.0-17.0","A3O39S9T9LRU52","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1683","","image-button-response_instructions","18","134902","0.0-18.0","A3O39S9T9LRU52","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6400","","survey-text","19","141322","0.0-19.0-0.0","A3O39S9T9LRU52","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"12653","","survey-text","20","153978","0.0-20.0-0.0","A3O39S9T9LRU52","","","","{""Q0"":""colorful but a gross mess""}","","","","","","","","","","","","","","","","","","","","","","",""
"11954","","image-slider-response","21","165936","0.0-21.0","A3O39S9T9LRU52","","","","","0","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","170940","0.0-22.0","A3O39S9T9LRU52","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
