"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"3965","external_page_harvard.html","external-html","0","4011","0.0-0.0","A3P3T6XWCUWJEM","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1381","","image-button-response","1","5392","0.0-1.0","A3P3T6XWCUWJEM","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1061","","image-button-response","2","6456","0.0-2.0-0.0","A3P3T6XWCUWJEM","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10974","","survey-text","3","17430","0.0-3.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""A3P3T6XWCUWJEM""}","","","","","","","","","","","","","","","","","","","","","","",""
"1561","","image-button-response_instructions","4","18992","0.0-4.0","A3P3T6XWCUWJEM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"523","","image-button-response_instructions","5","19516","0.0-5.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"983","","image-button-response_instructions","6","20500","0.0-6.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"571","","image-button-response_instructions","7","21072","0.0-7.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"385","","image-button-response_instructions","8","21458","0.0-8.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"450","","image-button-response_instructions","9","21908","0.0-9.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"500","","image-button-response_instructions","10","22408","0.0-10.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"264","","image-button-response_instructions","11","22674","0.0-11.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"531","","image-button-response_instructions","12","23206","0.0-12.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"402","","image-button-response_instructions","13","23608","0.0-13.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"523","","image-button-response_instructions","14","24132","0.0-14.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"444","","image-button-response_instructions","15","24576","0.0-15.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"668","","image-button-response_instructions","16","25244","0.0-16.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"701","","image-button-response_instructions","17","25946","0.0-17.0","A3P3T6XWCUWJEM","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"418","","image-button-response_instructions","18","26364","0.0-18.0","A3P3T6XWCUWJEM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4133","","survey-text","19","30510","0.0-19.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"8664","","survey-text","20","39174","0.0-20.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Looks messy to me. Hate it!""}","","","","","","","","","","","","","","","","","","","","","","",""
"2680.5999999046326","","image-slider-response","21","41856","0.0-21.0","A3P3T6XWCUWJEM","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"1504","","image-button-response","22","46858","0.0-22.0","A3P3T6XWCUWJEM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"871","","image-button-response","23","47730","0.0-23.0","A3P3T6XWCUWJEM","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"3543","","image-button-response","24","51274","0.0-24.0-0.0","A3P3T6XWCUWJEM","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1464","","image-button-response","25","52740","0.0-25.0-0.0","A3P3T6XWCUWJEM","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","53241","0.0-26.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","-2","img_art/ins/1.jpg","-50","Looks messy to me. Hate it!","Adam,Alex,Ben,Carl,Daniel,Jack","Seems like doodles,-20,20,20","very creative work.,36,40,20","This color reminds me of poo,-46,60,20","very calming artwork,42,80,20","It looks like a murder scene.,-48,100,20","I like the sophisticated brushwork,40,120,20","Ben","This color reminds me of poo,-46,60,20","Daniel","It looks like a murder scene.,-48,100,20","Adam","Seems like doodles,-20,20,20","0"
"14094","","survey-text","27","67337","0.0-27.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Interesting patterns and colors""}","","","","","","","","","","","","","","","","","","","","","","",""
"3133.2000000476837","","image-slider-response","28","70471","0.0-28.0","A3P3T6XWCUWJEM","","","","","15","","","","","","","","","","","","","","","","","","","","","",""
"2385","","image-button-response","29","75473","0.0-29.0","A3P3T6XWCUWJEM","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"3636","","image-button-response","30","79109","0.0-30.0","A3P3T6XWCUWJEM","img_art/ins/2.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1553","","image-button-response","31","80664","0.0-31.0-0.0","A3P3T6XWCUWJEM","img_art/ins/2.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"4027","","image-button-response","32","84692","0.0-32.0-0.0","A3P3T6XWCUWJEM","img_art/ins/2.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","33","85693","0.0-33.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-1","img_art/ins/2.jpg","15","Interesting patterns and colors","Adam,John,Ben,James,Daniel,Kyle","too much color,-18,20,20","love the texture of paint,48,160,20","meaningless painting,-45,60,20","looks too angry,-50,140,20","One of my pet peevs,-48,100,20","Idk, it is just annoying,-32,180,20","Adam","too much color,-18,20,20","John","love the texture of paint,48,160,20","James","looks too angry,-50,140,20","0"
"9200","","survey-text","34","94895","0.0-34.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Makes me feel cold""}","","","","","","","","","","","","","","","","","","","","","","",""
"2779.2000000476837","","image-slider-response","35","97675","0.0-35.0","A3P3T6XWCUWJEM","","","","","-23","","","","","","","","","","","","","","","","","","","","","",""
"4793","","image-button-response","36","102678","0.0-36.0","A3P3T6XWCUWJEM","img_art/ins/3.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1056","","image-button-response","37","103735","0.0-37.0","A3P3T6XWCUWJEM","img_art/ins/3.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"655","","image-button-response","38","104391","0.0-38.0-0.0","A3P3T6XWCUWJEM","img_art/ins/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"571","","image-button-response","39","104963","0.0-39.0-0.0","A3P3T6XWCUWJEM","img_art/ins/3.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","40","105964","0.0-40.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","0","img_art/ins/3.jpg","-23","Makes me feel cold","Adam,John,Mike,James,Ron,Sam","My daily routine, it's depressing,-20,20,20","I like the overlapping of brushes,41,160,20","enjoy the different shades of blue,22,200,20","My worst nightmare,-42,140,20","It looks depressing,-26,220,20","I can feel a rainy day from this painting,18,240,20","Sam","I can feel a rainy day from this painting,18,240,20","Ron","It looks depressing,-26,220,20","James","My worst nightmare,-42,140,20","0"
"5249","","image-button-response_instructions","41","111215","0.0-41.0","A3P3T6XWCUWJEM","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8320","","survey-likert","42","119536","0.0-42.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":"""",""Q1"":0,""Q2"":1}","","","","","","","","","","","","","","","","","","","","","","",""
"4118","","survey-text","43","123656","0.0-43.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""rock""}","","","","","","","","","","","","","","","","","","","","","","",""
"12788","","survey-text","44","136446","0.0-44.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Looks angry and upsetting.""}","","","","","","","","","","","","","","","","","","","","","","",""
"3029.2000000476837","","image-slider-response","45","139476","0.0-45.0","A3P3T6XWCUWJEM","","","","","-22","","","","","","","","","","","","","","","","","","","","","",""
"4102","","image-button-response","46","144490","0.0-46.0","A3P3T6XWCUWJEM","img_art/9.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"839","","image-button-response","47","145330","0.0-47.0","A3P3T6XWCUWJEM","img_art/9.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"934","","image-button-response","48","146264","0.0-48.0-0.0","A3P3T6XWCUWJEM","img_art/9.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"2720","","image-button-response","49","152202","0.0-48.1-0.1","A3P3T6XWCUWJEM","img_art/9.jpg","5","","","","","","","","","","","","","","","","","","","","","","","","",""
"2158","","image-button-response","50","154362","0.0-49.0-0.0","A3P3T6XWCUWJEM","img_art/9.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","51","154878","0.0-50.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","1","img_art/9.jpg","-22","Looks angry and upsetting.","Jeremy,Garrett,Christopher,Steven,Joseph,Cody","I feel this incites anger,-16,60,20","This looks like someone sleeping in a bed, and I think the colors make it look interesting.,20,180,20","I really like the color balance but the image is odd,-5,160,20","I just dont like it, no reaction from me at all,-50,160,20","It's nice. Peaceful. Calming.,11,220,20","Feels angry .....,-40,180,20","Jeremy","I feel this incites anger,-16,60,20","Cody","Feels angry .....,-40,180,20","Christopher","I really like the color balance but the image is odd,-5,160,20","2"
"8622","","survey-text","52","163502","0.0-51.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Very cool, fall-like!""}","","","","","","","","","","","","","","","","","","","","","","",""
"2479.0999999046326","","image-slider-response","53","165982","0.0-52.0","A3P3T6XWCUWJEM","","","","","35","","","","","","","","","","","","","","","","","","","","","",""
"3549","","image-button-response","54","170983","0.0-53.0","A3P3T6XWCUWJEM","img_art/17.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"159","","image-button-response","55","171144","0.0-54.0","A3P3T6XWCUWJEM","img_art/17.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"2138","","image-button-response","56","173282","0.0-55.0-0.0","A3P3T6XWCUWJEM","img_art/17.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"4080","","image-button-response","57","177364","0.0-56.0-0.0","A3P3T6XWCUWJEM","img_art/17.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","58","177865","0.0-57.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","2","img_art/17.jpg","35","Very cool, fall-like!","Jeremy,Nicholas,Christopher,Dalton,Brendan,Cody","very pretty. Makes me happy,45,60,20","Nice colors, shapes, flow,31,240,20","i like the delicate wispy part, but overall i don't love it,10,160,20","Beautiful simply beautiful. i would love this,,50,300,20","colorful tree really cool,27,340,20","Love the colors and the movement,46,180,20","Brendan","colorful tree really cool,27,340,20","Christopher","i like the delicate wispy part, but overall i don't love it,10,160,20","Jeremy","very pretty. Makes me happy,45,60,20","2"
"7954","","survey-text","59","185822","0.0-58.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Looks like a crime scene""}","","","","","","","","","","","","","","","","","","","","","","",""
"2215","","image-slider-response","60","188037","0.0-59.0","A3P3T6XWCUWJEM","","","","","-50","","","","","","","","","","","","","","","","","","","","","",""
"4381","","image-button-response","61","193038","0.0-60.0","A3P3T6XWCUWJEM","img_art/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"158","","image-button-response","62","193198","0.0-61.0","A3P3T6XWCUWJEM","img_art/3.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
"1579","","image-button-response","63","194778","0.0-62.0-0.0","A3P3T6XWCUWJEM","img_art/3.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1655","","image-button-response","64","196434","0.0-63.0-0.0","A3P3T6XWCUWJEM","img_art/3.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","65","196943","0.0-64.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","3","img_art/3.jpg","-50","Looks like a crime scene","Jeremy,Scott,Christopher,Antonio,Brendan,Isaiah","seems too angry,-50,60,20","I like that it's messy,14,20,20","the red is impactful but the work overall doesn't say anything to me,-8,160,20","The red makes me think of blood which makes me think of pain,-50,220,20","i really cant get it,-44,340,20","I feel uncomfortable, like I am looking at a crime scene.,-17,300,20","Brendan","i really cant get it,-44,340,20","Scott","I like that it's messy,14,20,20","Jeremy","seems too angry,-50,60,20","2"
"12974","","survey-text","66","209920","0.0-65.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Somewhat interesting...IDK""}","","","","","","","","","","","","","","","","","","","","","","",""
"2737","","image-slider-response","67","212657","0.0-66.0","A3P3T6XWCUWJEM","","","","","20","","","","","","","","","","","","","","","","","","","","","",""
"3569","","image-button-response","68","217659","0.0-67.0","A3P3T6XWCUWJEM","img_art/25.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"243","","image-button-response","69","217904","0.0-68.0","A3P3T6XWCUWJEM","img_art/25.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"2633","","image-button-response","70","220538","0.0-69.0-0.0","A3P3T6XWCUWJEM","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"659","","image-button-response","71","221198","0.0-70.0-0.0","A3P3T6XWCUWJEM","img_art/25.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"845","","image-button-response","72","225435","0.0-70.1-0.1","A3P3T6XWCUWJEM","img_art/25.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","73","225937","0.0-71.0","A3P3T6XWCUWJEM","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","500","1","4","img_art/25.jpg","20","Somewhat interesting...IDK","Jeremy,Scott,Dustin,Spencer,Brendan,Corey","reminds me of ancient history which makes me happy,40,60,20","reminds me of a zombie,-36,20,20","Reminds me of ancient civilization art. I like the aqua color; soothing to me.,1,20,20","I really like it, very simple, very tribal,38,120,20","is this an ancient woman?,-16,340,20","love the color and the contrast of the black on teal,50,260,20","Spencer","I really like it, very simple, very tribal,38,120,20","Dustin","Reminds me of ancient civilization art. I like the aqua color; soothing to me.,1,20,20","Jeremy","reminds me of ancient history which makes me happy,40,60,20","4"
"7884","","survey-text","74","233823","0.0-72.0-0.0","A3P3T6XWCUWJEM","","","","{""Q0"":""Nice colors and composition""}","","","","","","","","","","","","","","","","","","","","","","",""
"2359.2000000476837","","image-slider-response","75","236183","0.0-73.0","A3P3T6XWCUWJEM","","","","","50","","","","","","","","","","","","","","","","","","","","","",""
"4249","","image-button-response","76","241185","0.0-74.0","A3P3T6XWCUWJEM","img_art/26.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
