"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"9326","external_page_harvard.html","external-html","0","9349","0.0-0.0","A3P8XKLTF07QZW","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1934","","image-button-response","1","11288","0.0-1.0","A3P8XKLTF07QZW","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1667","","image-button-response","2","12968","0.0-2.0-0.0","A3P8XKLTF07QZW","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"4335","","survey-text","3","17309","0.0-3.0-0.0","A3P8XKLTF07QZW","","","","{""Q0"":""A3P8XKLTF07QZW""}","","","","","","","","","","","","","","","","","","","","","","",""
"2227","","image-button-response_instructions","4","19541","0.0-4.0","A3P8XKLTF07QZW","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1133","","image-button-response_instructions","5","20678","0.0-5.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"961","","image-button-response_instructions","6","21645","0.0-6.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"760","","image-button-response_instructions","7","22410","0.0-7.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"837","","image-button-response_instructions","8","23252","0.0-8.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"702","","image-button-response_instructions","9","23958","0.0-9.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"657","","image-button-response_instructions","10","24620","0.0-10.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"649","","image-button-response_instructions","11","25273","0.0-11.0","A3P8XKLTF07QZW","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
