"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7836","external_page_harvard.html","external-html","0","7938","0.0-0.0","A3P9YXCVZEPKGG","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1455","","image-button-response","1","9395","0.0-1.0","A3P9YXCVZEPKGG","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1611","","image-button-response","2","11009","0.0-2.0-0.0","A3P9YXCVZEPKGG","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6519","","survey-text","3","17529","0.0-3.0-0.0","A3P9YXCVZEPKGG","","","","{""Q0"":""A3P9YXCVZEPKGG""}","","","","","","","","","","","","","","","","","","","","","","",""
"3798","","image-button-response_instructions","4","21330","0.0-4.0","A3P9YXCVZEPKGG","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"14950","","image-button-response_instructions","5","36282","0.0-5.0","A3P9YXCVZEPKGG","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5079","","image-button-response_instructions","6","41362","0.0-6.0","A3P9YXCVZEPKGG","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2015","","image-button-response_instructions","7","43378","0.0-7.0","A3P9YXCVZEPKGG","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6703","","image-button-response_instructions","8","50083","0.0-8.0","A3P9YXCVZEPKGG","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1895","","image-button-response_instructions","9","51978","0.0-9.0","A3P9YXCVZEPKGG","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4815","","image-button-response_instructions","10","56794","0.0-10.0","A3P9YXCVZEPKGG","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
