"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"20141","external_page_harvard.html","external-html","0","20309","0.0-0.0","A3PIHDC8LXVQ4H","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2197","","image-button-response","1","22508","0.0-1.0","A3PIHDC8LXVQ4H","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"6795","","image-button-response","2","29307","0.0-2.0-0.0","A3PIHDC8LXVQ4H","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"29527","","survey-text","3","58837","0.0-3.0-0.0","A3PIHDC8LXVQ4H","","","","{""Q0"":""A3PIHDC8LXVQ4H""}","","","","","","","","","","","","","","","","","","","","","","",""
"6117","","image-button-response_instructions","4","64956","0.0-4.0","A3PIHDC8LXVQ4H","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"47534","","image-button-response_instructions","5","112492","0.0-5.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13966","","image-button-response_instructions","6","126460","0.0-6.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"11806","","image-button-response_instructions","7","138268","0.0-7.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"52567","","image-button-response_instructions","8","190837","0.0-8.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18102","","image-button-response_instructions","9","208940","0.0-9.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16775","","image-button-response_instructions","10","225717","0.0-10.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9814","","image-button-response_instructions","11","235532","0.0-11.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12246","","image-button-response_instructions","12","247780","0.0-12.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13271","","image-button-response_instructions","13","261053","0.0-13.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24399","","image-button-response_instructions","14","285453","0.0-14.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17374","","image-button-response_instructions","15","302829","0.0-15.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9022","","image-button-response_instructions","16","311853","0.0-16.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5902","","image-button-response_instructions","17","317756","0.0-17.0","A3PIHDC8LXVQ4H","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2103","","image-button-response_instructions","18","319860","0.0-18.0","A3PIHDC8LXVQ4H","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12755","","survey-text","19","332637","0.0-19.0-0.0","A3PIHDC8LXVQ4H","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"36374","","survey-text","20","369013","0.0-20.0-0.0","A3PIHDC8LXVQ4H","","","","{""Q0"":""It looks very messy to me.""}","","","","","","","","","","","","","","","","","","","","","","",""
"8068.700000047684","","image-slider-response","21","377084","0.0-21.0","A3PIHDC8LXVQ4H","","","","","-35","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","382088","0.0-22.0","A3PIHDC8LXVQ4H","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"1890","","image-button-response","23","383981","0.0-23.0","A3PIHDC8LXVQ4H","img_art/ins/1.jpg","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"7038","","image-button-response","24","391021","0.0-24.0-0.0","A3PIHDC8LXVQ4H","img_art/ins/1.jpg","3","","","","","","","","","","","","","","","","","","","","","","","","",""
"20141","","image-button-response","25","411165","0.0-25.0-0.0","A3PIHDC8LXVQ4H","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"null","","html-keyboard-response","26","412168","0.0-26.0","A3PIHDC8LXVQ4H","<p style=""font-size: 48px;"">+</p>","","","","","null","allTrialResponses","1000","1","-2","img_art/ins/1.jpg","-35","It looks very messy to me.","Allison,Ashley,Beth,Dora,Erika,Jen","looks like a lot of things going on in the mist,20,20,20","I just don't get why these type of art would be popular,-32,40,20","This color reminds me of poo,-46,60,20","looks like what my niece in 3rd grade did this afternoon,-50,80,20","I like the sophisticated brushwork,40,100,20","It reminds me of a candy land dream I had,36,120,20","Ashley","I just don't get why these type of art would be popular,-32,40,20","Dora","looks like what my niece in 3rd grade did this afternoon,-50,80,20","Beth","This color reminds me of poo,-46,60,20","0"
