"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"6124","external_page_harvard.html","external-html","0","6224","0.0-0.0","A3QZIWRRJWP1PK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1772","","image-button-response","1","7998","0.0-1.0","A3QZIWRRJWP1PK","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1764","","image-button-response","2","9766","0.0-2.0-0.0","A3QZIWRRJWP1PK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"5960","","survey-text","3","15727","0.0-3.0-0.0","A3QZIWRRJWP1PK","","","","{""Q0"":""A3QZIWRRJWP1PK""}","","","","","","","","","","","","","","","","","","","","","","",""
"7695","","image-button-response_instructions","4","23424","0.0-4.0","A3QZIWRRJWP1PK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"19914","","image-button-response_instructions","5","43339","0.0-5.0","A3QZIWRRJWP1PK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8519","","image-button-response_instructions","6","51859","0.0-6.0","A3QZIWRRJWP1PK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6281","","image-button-response_instructions","7","58141","0.0-7.0","A3QZIWRRJWP1PK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"34614","","image-button-response_instructions","8","92755","0.0-8.0","A3QZIWRRJWP1PK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4407","","image-button-response_instructions","9","97163","0.0-9.0","A3QZIWRRJWP1PK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
