"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"19014","external_page_harvard.html","external-html","0","19152","0.0-0.0","A3R6UEMK36XGA7","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1587","","image-button-response","1","20741","0.0-1.0","A3R6UEMK36XGA7","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1561","","image-button-response","2","22307","0.0-2.0-0.0","A3R6UEMK36XGA7","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"9776","","survey-text","3","32085","0.0-3.0-0.0","A3R6UEMK36XGA7","","","","{""Q0"":""A3R6UEMK36XGA7""}","","","","","","","","","","","","","","","","","","","","","","",""
"14344","","image-button-response_instructions","4","46432","0.0-4.0","A3R6UEMK36XGA7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13512","","image-button-response_instructions","5","59946","0.0-5.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7568","","image-button-response_instructions","6","67514","0.0-6.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9415","","image-button-response_instructions","7","76932","0.0-7.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"12384","","image-button-response_instructions","8","89317","0.0-8.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4144","","image-button-response_instructions","9","93462","0.0-9.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3183","","image-button-response_instructions","10","96646","0.0-10.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2471","","image-button-response_instructions","11","99118","0.0-11.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6913","","image-button-response_instructions","12","106033","0.0-12.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"18696","","image-button-response_instructions","13","124730","0.0-13.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10112","","image-button-response_instructions","14","134843","0.0-14.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5928","","image-button-response_instructions","15","140772","0.0-15.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"17368","","image-button-response_instructions","16","158142","0.0-16.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5472","","image-button-response_instructions","17","163616","0.0-17.0","A3R6UEMK36XGA7","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3606","","image-button-response_instructions","18","167223","0.0-18.0","A3R6UEMK36XGA7","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8029","","survey-text","19","175273","0.0-19.0-0.0","A3R6UEMK36XGA7","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"17567","","survey-text","20","192843","0.0-20.0-0.0","A3R6UEMK36XGA7","","","","{""Q0"":""confused by what this is supposed to be""}","","","","","","","","","","","","","","","","","","","","","","",""
