"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"136367","external_page_harvard.html","external-html","0","136668","0.0-0.0","A3R97T5D3RR9JX","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17782","","image-button-response","1","154453","0.0-1.0","A3R97T5D3RR9JX","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"34011","","image-button-response","2","188471","0.0-2.0-0.0","A3R97T5D3RR9JX","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"8558","","survey-text","3","197032","0.0-3.0-0.0","A3R97T5D3RR9JX","","","","{""Q0"":""A3R97T5D3RR9JX""}","","","","","","","","","","","","","","","","","","","","","","",""
"18693","","image-button-response_instructions","4","215728","0.0-4.0","A3R97T5D3RR9JX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"52424","","image-button-response_instructions","5","268154","0.0-5.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9338","","image-button-response_instructions","6","277494","0.0-6.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"9884","","image-button-response_instructions","7","287380","0.0-7.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15077","","image-button-response_instructions","8","302458","0.0-8.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5554","","image-button-response_instructions","9","308014","0.0-9.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5323","","image-button-response_instructions","10","313338","0.0-10.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"28616","","image-button-response_instructions","11","341956","0.0-11.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"8412","","image-button-response_instructions","12","350369","0.0-12.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"16750","","image-button-response_instructions","13","367121","0.0-13.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"13121","","image-button-response_instructions","14","380244","0.0-14.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4760","","image-button-response_instructions","15","385006","0.0-15.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"15357","","image-button-response_instructions","16","400364","0.0-16.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"5790","","image-button-response_instructions","17","406156","0.0-17.0","A3R97T5D3RR9JX","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2495","","image-button-response_instructions","18","408651","0.0-18.0","A3R97T5D3RR9JX","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
