"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"52926","external_page_harvard.html","external-html","0","53009","0.0-0.0","A3SQV2L85UE5BK","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4890","","image-button-response","1","57903","0.0-1.0","A3SQV2L85UE5BK","","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1761","","image-button-response","2","59670","0.0-2.0-0.0","A3SQV2L85UE5BK","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"6725","","survey-text","3","66397","0.0-3.0-0.0","A3SQV2L85UE5BK","","","","{""Q0"":""A3SQV2L85UE5BK""}","","","","","","","","","","","","","","","","","","","","","","",""
"6289","","image-button-response_instructions","4","72690","0.0-4.0","A3SQV2L85UE5BK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"10490","","image-button-response_instructions","5","83182","0.0-5.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2066","","image-button-response_instructions","6","85250","0.0-6.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1842","","image-button-response_instructions","7","87094","0.0-7.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4186","","image-button-response_instructions","8","91282","0.0-8.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3034","","image-button-response_instructions","9","94318","0.0-9.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"994","","image-button-response_instructions","10","95314","0.0-10.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3ARatingpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"846","","image-button-response_instructions","11","96162","0.0-11.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3ATextpop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4741","","image-button-response_instructions","12","100903","0.0-12.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3ALikespop.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"4789","","image-button-response_instructions","13","105694","0.0-13.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2182","","image-button-response_instructions","14","107878","0.0-14.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3_5RED.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"886","","image-button-response_instructions","15","108766","0.0-15.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"840","","image-button-response_instructions","16","109607","0.0-16.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins4KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1378","","image-button-response_instructions","17","110986","0.0-17.0","A3SQV2L85UE5BK","img_art/ins/popularity/ins5KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"1190","","image-button-response_instructions","18","112178","0.0-18.0","A3SQV2L85UE5BK","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"6779","","survey-text","19","118991","0.0-19.0-0.0","A3SQV2L85UE5BK","","","","{""Q0"":""but""}","","","","","","","","","","","","","","","","","","","","","","",""
"41157","","survey-text","20","160149","0.0-20.0-0.0","A3SQV2L85UE5BK","","","","{""Q0"":""It looks like random colors mixed together. I don't see art.""}","","","","","","","","","","","","","","","","","","","","","","",""
"4271.5","","image-slider-response","21","164426","0.0-21.0","A3SQV2L85UE5BK","","","","","-25","","","","","","","","","","","","","","","","","","","","","",""
"null","","image-button-response","22","169438","0.0-22.0","A3SQV2L85UE5BK","img_art/ins/1.jpg","null","","","","","","","","","","","","","","","","","","","","","","","","",""
"10753","","image-button-response","23","180194","0.0-23.0","A3SQV2L85UE5BK","img_art/ins/1.jpg","0","","","","","","","","","","","","","","","","","","","","","","","","",""
"1406","","image-button-response","24","181603","0.0-24.0-0.0","A3SQV2L85UE5BK","img_art/ins/1.jpg","2","","","","","","","","","","","","","","","","","","","","","","","","",""
"1953","","image-button-response","25","183558","0.0-25.0-0.0","A3SQV2L85UE5BK","img_art/ins/1.jpg","4","","","","","","","","","","","","","","","","","","","","","","","","",""
