"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","participant_id","stimulus","button_pressed","Name","responses","response","key_press","variableName","fixationTime","condition","trial","photo","subjectRating","subjectResponse","agentsNames","agent_1_Response","agent_2_Response","agent_3_Response","agent_4_Response","agent_5_Response","agent_6_Response","kept_1_name","kept_1_response","kept_2_name","kept_2_response","kept_3_name","kept_3_response","errorCounter"
"7743","external_page_harvard.html","external-html","0","7822","0.0-0.0","A3TXECGOC6JHBL","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1853","","image-button-response","1","9676","0.0-1.0","A3TXECGOC6JHBL","","1","","","","","","","","","","","","","","","","","","","","","","","","",""
"1716","","image-button-response","2","11396","0.0-2.0-0.0","A3TXECGOC6JHBL","","1","phone","","","","","","","","","","","","","","","","","","","","","","","",""
"10399","","survey-text","3","21796","0.0-3.0-0.0","A3TXECGOC6JHBL","","","","{""Q0"":""A3TXECGOC6JHBL""}","","","","","","","","","","","","","","","","","","","","","","",""
"9575","","image-button-response_instructions","4","31372","0.0-4.0","A3TXECGOC6JHBL","","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"24536","","image-button-response_instructions","5","55909","0.0-5.0","A3TXECGOC6JHBL","img_art/ins/popularity/ins1.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"7814","","image-button-response_instructions","6","63724","0.0-6.0","A3TXECGOC6JHBL","img_art/ins/popularity/ins2.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2327","","image-button-response_instructions","7","66052","0.0-7.0","A3TXECGOC6JHBL","img_art/ins/popularity/ins2Extreme.png","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"2495","","image-button-response_instructions","8","68548","0.0-8.0","A3TXECGOC6JHBL","img_art/ins/popularity/ins3KEEPpop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
"3599","","image-button-response_instructions","9","72148","0.0-9.0","A3TXECGOC6JHBL","img_art/ins/popularity/ins3ANamepop.PNG","0","instructions","","","","","","","","","","","","","","","","","","","","","","","",""
